,0
0,WE HAVE TWO MOONS?!
1,right who forgot to thank Beyonce
2,Suddenly it’s Fahrenheit to make it look worse
3,hahahaha why wla here in mindanao kawawa hahaha
4,i’m scared i won’t grow up tbh.
5,nature is REALLY telling us something but are we prepared?
6,really Paré prevented one from following his scooter transported by the current ....
7,Oi stop showing naked Mount Fuji … Perverts ….
8,what was the reason 130 years ago?
9,this is a bad thing..
10,Been saying this since to 60’s wake up people
11,that's the 1st image I've seen of mount Fuji without snow 😳
12,This happened in NC mountains. I’m see a trend and it’s scary
13,We really have 30 mins left
14,Will it effect my eye lashes
15,"The difference between one and the other is that for Lady Gaga did not draw on the true glass of the Mona Lisa, in agreement with the museum, while the act of activists is considered vandalism since nobody n was aware and that contrario threw him on the real window"
16,no warning?
17,"y'all,this is normal....,this happens every year,this is called events👽"
18,"I would have made them sit on the tables at least not with my legs soaking, poor"
19,"You have seen how in life, it doesn't matter the color of the skin! But the heart ♥ ️ What one has inside."
20,We must pray for all of you and for the whole world that Jesus will help you amen 🙏🏻🙏🏻
21,"Dear God, please protect us all in your hands. amen"
22,"Why is norway, Sweden and Denmark on the antarctica is turning green"
23,"Milton = Oz country
Sahara with water = bye bye global warming
Green Antarctica = more oxygen and a greener world there is no reason to complain xikos"
24,Why is this happening... 😕
25,We all know what happened at 3mile 😂😂
26,Citizenship deserves and certainly a prize for courage and altruism.
27,i think all of them are honestly good thinks because nature is procecting + recovering itself. antartica was probably frozen because of the meteaours that hit the earth million years ago-
28,"I'm at the top of Mount Fuji and it all seems to be fine, there's snow everywhere..."
29,"It’s truuuu, u can check mt fuji live cam 😭"
30,🙏🙏😢😢 Lord Jesus The Time Is At Hand And we need you more every Day.Calling On Uour Holy Name Help Spain Thankyou Praise glory is Yours
31,But but wind and solar hahah
32,are you kidding me with these comments. do these people actually believe this isn’t a problem?
33,People who talk about the museum agreement you have understood nothing about the serious message ...
34,"Yes finally after throwing soup is not hyper ecological and everything is good, there is no point in doing that to campaign regardless of the cause. If you want to campaign you, you have to know how to do it correctly"
35,I who watch the video on the toilet
36,Why is it still raining
37,Wow people have understood anything…. Protecting the planet and preventing is less important than a film
38,They already said this before
39,I don't understand if we humans are destroying the environment why do we need data centres that use up insane amounts of electricity
40,Congratulations to you and shame to those who have not moved a finger to help you!
41,😂 More like geo engineering 😏
42,"I don't think it's a moon it might be a biblical angel, it could also be the star of Jacob for it also say that the messiah will come for his people and i think it says his sight will be a star."
43,"his explanation of halal meat isn’t entirely correct. as muslims we have a set of rules on how we should treat the animal before it’s slaughtered. so in order for our meat to be halal, we need to 1/"
44,but the second moon is do small we will not be able to see it
45,"Well finally, we can imagine that it was in agreement with the museum, and that it had no real impact, there was no intention of harming the work."
46,"Nuuuu🥺🥺la most elderly with disabilities, I cry my heart🥺🥺🥺"
47,"Guys, for people in the comment section who are sad because we ""did this"" Earth is always changing and even if we did do this earth is able to wipe us out if it wants. Maybe thats what its doing.🤷🏻"
48,"The thing is that it was in accordance with the museum, it was legal"
49,pls pray for Luzon and Visaya🥺
50,How to compare the incomparable
51,our houses r made out of bricks not cardboard 🤣🤣🤣
52,Why they still giving out 30+ year mortgage loans then?
53,"In May, Brazil also had a flood, a flood in Rio Grande do Sul"
54,"No such thing. Temperature changes planet wide are natural, adapt"
55,October I missed us and this is Lina
56,"this is so sad , my prayers go to people and animals 🙏"
57,God bless them all.
