,cleaned_text
0,Spain Europe
1,map upside down
2,last check portugal Europe so make sense people think align Europe
3,common knowledge Europe 😂 Edinburgh Copenhagen Moscow share same latitude
4,winter Scotland more mild recent year
5,wait people ask have smart phone again 🥰
6,put here Earth fund Jeff Bezos existential crisis
7,man captitalism use AirPods Pro 😭 😭 😭
8,mean exactly think thing UK
9,Ireland UK
10,Shakira outro top
11,cry bathroom sell separately 😅 😅
12,need take account humidity irish winter wet cold dry cold so feel colder
13,just finish book very good
14,Shakira impression 😭 point 👏
15,think most people think grow map lol
16,guess UK
17,fun fact same latitude Canada be polar bear swim sea UK Ireland Titanic hit iceberg far
18,love Gulf Stream ’m west coast Scotland same latitude Moscow gs temperate instead freeze 🥰
19,technically true have minor effect climate have more do position continent West coast
20,common knowledge
21,New York Rome same latitude
22,Spain Portugal Europe
23,say Portugal look map
24,Northern Europe get cold winter last winter properly cold snowy
25,already helsinki winter want get colder 😅
26,1st one common knowledge EU
27,literally say Portugal US need teach well
28,start get extreme temperature more frequently over here mean least france
29,live north UK same latitude south Greenland Alaska 🤣 🤣
30,learn new today cheer actually never even think
31,tiktok excellent
32,video bring so much joy use humor address ’ so validate see ’m only think thing
33,✨ illusion choice ✨
34,dear … awesome Lelololailolee
35,tag Greenpeace 💀
36,BillionaireBehavior 😭
37,true kid use want want world well place now adult just want more more rich
38,intelligence post 💯
39,so deep
40,last orientation say wear say invoke emotion dystopian society
41,actually go Ocean Isle Beach NC November very lay back much more peaceful
42,Most Europe so much dark cold USA ’ main problem live Europe
43,Spain Europe
44,european country do city line
45,map upside down
46,last check portugal Europe so make sense people think align Europe
47,’ alternative
48,western Oregon Washington weather resemble UK weather low latitude
49,common knowledge Europe 😂 Edinburgh Copenhagen Moscow share same latitude
50,Europe geography thin squiggly landmass sorounde water contribute more climate gulf stream
51,winter Scotland more mild recent year
52,wait people ask have smart phone again 🥰
53,put here Earth fund Jeff Bezos existential crisis
54,man captitalism use AirPods Pro 😭 😭 😭
55,mean exactly think thing UK
56,talk Japan have super hot Summers Winter snowy country World m snow
57,Ireland UK
58,take personal responsability corporation result own cosumption
59,Australian think obvious
60,so exactly think ’m canadian very much know europe Americans show globe
61,illusion choice hit little too hard
62,california far north canada
63,have argument year ago American insist mistaken home latitude degree north ’
64,already feel dead inside capitalism give upgrade
65,Shakira outro top
66,worry big corporation pollute give bunch money now ✨ carbon neutral ✨
67,geep hit OPT OUT button hear laughter HELP
68,cry bathroom sell separately 😅 😅
69,compare oceanic climate Dublin Edmonton Canada continental even gulf stream warm
70,need take account humidity irish winter wet cold dry cold so feel colder
71,guess UK
72,New York Rome same latitude
73,technically true have minor effect climate have more do position continent West coast
74,european here happen summer all europe month C(104F predict very heavy winter 🥶
75,fun fact same latitude Canada be polar bear swim sea UK Ireland Titanic hit iceberg far
76,know ever look map
77,think most people think grow map lol
78,Spain Portugal Europe
79,twerking exquisite die
80,capitalism freedom rich economic prosperity rich
81,Shakira impression 😭 point 👏
82,hope package fine ahahahahha
83,one probably joke
84,socialism comunism solution tho
85,lot people already choose capitalism wait 😁
86,make just have feeling
87,want millionaire help earth never happen
88,just want get married start family
89,go have covid 😭 😭
90,methan release ancient ice add ozone 30x bad CO2
91,go happen
92,so depressing
