,cleaned_text
0,waiter waiter cup attention ahh
1,know else hit Florida ahh
2,Wetter Manipulation Harp
3,have 4year leave planet earth climate clock say so
4,tree give oxygen pretty sure
5,dawg know go happen year 💀
6,even cut tree
7,first one underwater
8,😔 last second Houston
9,warm letter beyonce letter know
10,so basically js chapter season lap
11,love fact one seem read text just yap whole RATATATATA thing go background
12,black mirror real life confuse
13,believe never have glass ice water never ever see glass ice water flow climate change melt ice
14,spot Hahaha
15,know ratatata
16,guarantee Los Angeles Bay Area San Diego go underwater too many military basis rich people 💀
17,scientific event
18,background 💀
19,talk becuase want happen think 😓
20,shadow moon end 🤌🏼
21,have 4year leave planet earth climate clock say so
22,tree give oxygen pretty sure
23,even cut tree
24,water deep ocean get cold as well
25,talk becuase want happen think 😓
26,background 💀
27,scientific event
28,know ratatata
29,love fact one seem read text just yap whole RATATATATA thing go background
30,have 4year leave planet earth climate clock say so
31,hit time young lady 😁
32,have 4year leave planet earth climate clock say so
33,hit time young lady 😁
34,waiter waiter cup attention ahh
35,know else hit Florida ahh
36,Wetter Manipulation Harp
