aweme_id,cid,create_time,text,reply_comment_total
7146900341810810139,7146918553109807899,2022-09-24,กินน้อยลง ขาดสารอาหารจ้า น๊อคเข้ารพ,257
7153721007835008298,7153745256013120302,2022-10-12,better than oil,150
7144330799645543685,7301692469962769158,2023-11-15,todo eso esta pasando mientras estoy cagando?,120
7151334610167794950,7153233211937260294,2022-10-11,no ok va bene ma a parte gli scherzi l'ansia per il cambiamento climatico ce l'ha qualcuno?,109
7149209471833820462,7149578861365674757,2022-10-01,never understood building wooden homes in hurricane zones.,103
7145493259815603461,7146669944012374790,2022-09-23,she is 100% correct,92
7145493259815603461,7145867129648218885,2022-09-21,Climate change happens with or without Humans. The problem is we are accelerating it and the negative effects will become exponential.,92
7145493259815603461,7145506170433880838,2022-09-20,Do I believe in a fact? No.,91
7146396688104590634,7146431532080382762,2022-09-23,"2024: ""You know, if we don't fix the environment, we will all be underwater in a few years""",89
7155163691657350405,7155380740322476806,2022-10-17,Who's gonna tell her that High Viz jacket is ultimately made from Oil?,83
7144330799645543685,7144333485117047557,2022-09-17,The fact the government see images like this and do nothing. 😞,81
7145493259815603461,7146652818963137286,2022-09-23,Climate change was dreamed up by politicians for one reason money 💰,77
7146396688104590634,7146445970578129707,2022-09-23,"Hey bud, pal, friend...some people have already been displaced by rising water, and while we've gained landmass it's less and less fertile.",71
7153721007835008298,7153827884191253290,2022-10-13,Nuclear is the superior resource,60
7145493259815603461,7145497803631969030,2022-09-20,"she believes but there are facts that it is true, i'm sorry",59
7146396688104590634,7146434699187127086,2022-09-23,Anyone else notice how the climate one kept happening sooner?,58
7146900341810810139,7146938376574468890,2022-09-24,เคยลองแล้วค่ะ ใจสั่นมือสั่น หน้ามืดจะเป็นลม ทำอะไรไม่ได้เลย,58
7146900341810810139,7146909881056363291,2022-09-24,เบิ่งข้างนืกว่าลุ้งพล,55
7145493259815603461,7146740650577789739,2022-09-24,Rogan is on the wrong side on this topic,53
7153721007835008298,7153771360292553518,2022-10-12,Love this! If only more people were accepting of this form of safe energy.,52
7146396688104590634,7147434111598232322,2022-09-25,...climate change is a real issue tho,51
7152250702553779462,7152590264682021637,2022-10-09,MAke a video and tell us how to get rid of them,50
7153721007835008298,7153781341620044590,2022-10-13,"Fun fact, the blue glow is radiation moving faster than the speed of light (in water)",49
7149209471833820462,7149459754040541957,2022-10-01,the little trees are stronger than the house,49
7145493259815603461,7145925855666127622,2022-09-21,"Scientists don’t know, if they were actually right. We would have already been underwater, killed by acid rain, or died from a huge hole in ozone.",39
7153721007835008298,7153785129100526382,2022-10-13,"See comrade, everything is fine. The core is still intact. There was no graphite.",38
7144904794828737838,7144909562029179654,2022-09-19,Most of Europe is so much darker and colder than the USA. That’s my main problem with living in Europe,36
7144904794828737838,7144917068189680430,2022-09-19,Isn’t Spain in Europe,35
7154097477094870318,7154159366991676202,2022-10-14,I want a day we all turn off the lights,32
7146396688104590634,7147108870707626795,2022-09-25,"Literally every summer now is a record breaking temperatures, glaciers are visably disappearing (& not reforming), the climate crisis is all around u",32
7149209471833820462,7149471547257864965,2022-10-01,"where the from that amount of water is coming from, ffs",31
