id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7143344050417077509,2022-09-14,6606355564501762053,#mtl was fun yesterday!! #mtltiktok #rain#innondation#water#climatechange ,"['https://v77.tiktokcdn-eu.com/99fcbc45eec4fb36db0f6bcd4d7fd55b/678f818c/video/tos/useast2a/tos-useast2a-ve-0068c003/c8b2496583e44729bf1cdcb0025d22ea/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2970&bt=1485&cs=0&ds=6&ft=XsFbEqT0mIsPD12ycuyJ3wUlokVSEeF~O5&mime_type=video_mp4&qs=0&rc=ZDw6NTNnNzpoaWU7OGRkNEBpM2lqbWk6ZnM2ZjMzNzczM0AyYC01Ni8xNmMxMGBeNTNeYSMybTFpcjRfc2VgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201114048CDF0663FE868CE94D39&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/65ec751fa5b7e57084fb8c32f065f063/678f818c/video/tos/useast2a/tos-useast2a-ve-0068c003/c8b2496583e44729bf1cdcb0025d22ea/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2970&bt=1485&cs=0&ds=6&ft=XsFbEqT0mIsPD12ycuyJ3wUlokVSEeF~O5&mime_type=video_mp4&qs=0&rc=ZDw6NTNnNzpoaWU7OGRkNEBpM2lqbWk6ZnM2ZjMzNzczM0AyYC01Ni8xNmMxMGBeNTNeYSMybTFpcjRfc2VgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201114048CDF0663FE868CE94D39&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=a16a8aa5c83b4ffe97442d908207c95a&is_play_url=1&item_id=7143344050417077509&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmRkMzcxNzVmZDBjZTJhMDJiZDk5MjEwNGU2MzM5MDBm&source=CHALLENGE_AWEME&video_id=v09044g40000cch3vpbc77uflj4gpf50']",4790,5864825,4972
7143623069284748550,2022-09-15,6966234696955872261,Together we can still do it 🙏🏼🌎 #saveourplanet #climatechange #savetheworld ,"['https://v16m.tiktokcdn-eu.com/4f1314ce092dfc7f9d7fb3ce11be3ee5/678f81b1/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/og3xIeCffDAkhUCyxwFtGrNQiEygYEDKEPfnVE/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=872&bt=436&cs=0&ds=6&ft=XsFbEqT0mI2PD12ycuyJ3wUgiiK6aeF~O5&mime_type=video_mp4&qs=0&rc=ODwzNzs3Ojk1N2U7NWg7PEBpM3J5b3A5cmlydDMzZjgzM0BjXjBgXmJfNTAxMTY1YWNiYSMuMS5zMmRzYF5gLS1kL2Nzcw%3D%3D&vvpl=1&l=20250120111404E438A636A8240BE65C4A&btag=e00088000', 'https://v77.tiktokcdn-eu.com/98a3f66da3c665098b333590ae6e30ed/678f81b1/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/og3xIeCffDAkhUCyxwFtGrNQiEygYEDKEPfnVE/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=872&bt=436&cs=0&ds=6&ft=XsFbEqT0mI2PD12ycuyJ3wUgiiK6aeF~O5&mime_type=video_mp4&qs=0&rc=ODwzNzs3Ojk1N2U7NWg7PEBpM3J5b3A5cmlydDMzZjgzM0BjXjBgXmJfNTAxMTY1YWNiYSMuMS5zMmRzYF5gLS1kL2Nzcw%3D%3D&vvpl=1&l=20250120111404E438A636A8240BE65C4A&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=e9f8de82984b443286b7e4a8c430a9f5&is_play_url=1&item_id=7143623069284748550&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmRkOTA4YzhlNmJhNzM4YzAwMzNmOTAxZTYwMDU4ZTI0&source=CHALLENGE_AWEME&video_id=v0f025gc0000cqaocfvog65mvl1v4o10']",3736,2943007,3036
7143962475757604101,2022-09-16,6757754163742032902,Forza Marche! 🇮🇹 #neiperte #climatechange #italy #marche #storm ,"['https://v15m.tiktokcdn-eu.com/bf5de354933e63a1e4f16d9a75f75d66/678f81c1/video/tos/useast2a/tos-useast2a-ve-0068c004/68c33bee9d904443bc417418a247d149/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2646&bt=1323&cs=0&ds=6&ft=td_Lr8QLodzR12Nvufq8eIxRZ-Q.xq_45SY&mime_type=video_mp4&qs=0&rc=ZjhpNDw1ODhpNjtmOTo0aEBpajpvPDc6Zms6ZjMzNzczM0AyLjQ1MC8uNjIxYWIzLy1eYSNrZWtvcjQwNGZgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201114404F89EA561FFCC8EB6D3F&btag=e00088000', 'https://v45.tiktokcdn-eu.com/d9345d551cd22e939fc372f28973875b/678f81c1/video/tos/useast2a/tos-useast2a-ve-0068c004/68c33bee9d904443bc417418a247d149/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2646&bt=1323&cs=0&ds=6&ft=td_Lr8QLodzR12Nvufq8eIxRZ-Q.xq_45SY&mime_type=video_mp4&qs=0&rc=ZjhpNDw1ODhpNjtmOTo0aEBpajpvPDc6Zms6ZjMzNzczM0AyLjQ1MC8uNjIxYWIzLy1eYSNrZWtvcjQwNGZgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201114404F89EA561FFCC8EB6D3F&btag=e0008d000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=ae012766ecd8435f95152239817f155c&is_play_url=1&item_id=7143962475757604101&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjUwYTEyNDNhNWJlMDBlNzUyMDk3ODFiZjBlNWE2MjMx&source=CHALLENGE_AWEME&video_id=v09044g40000cci77h3c77u4r9nlh7ng']",847,573977,961
7144330799645543685,2022-09-17,7125391387152270341,i haven’t posted in awhile #fyp #foryou #foryoupage #saveourearth #climatecrisis #climate #earth #lettheearthbreathe #savetheearth #climatechange ,"['https://v77.tiktokcdn-eu.com/4d701426728dd34f1004c03c95f4e175/678f819a/video/tos/useast2a/tos-useast2a-ve-0068c002/1f99036f0634460f9fe18117c3a8365c/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=906&bt=453&cs=0&ds=6&ft=XsFbEqT0mIsPD12ycuyJ3wUlokVSEeF~O5&mime_type=video_mp4&qs=0&rc=ZTpmOWRlZzw6aDg4PDtlNUBpamlycTM6Zmp2ZjMzNzczM0A2X2MtL2JfNWIxYGIvMzZeYSMvLWxmcjRnMmZgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201114048CDF0663FE868CE94D39&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/a4c44f071e9c4faccb670f56ed8f18ca/678f819a/video/tos/useast2a/tos-useast2a-ve-0068c002/1f99036f0634460f9fe18117c3a8365c/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=906&bt=453&cs=0&ds=6&ft=XsFbEqT0mIsPD12ycuyJ3wUlokVSEeF~O5&mime_type=video_mp4&qs=0&rc=ZTpmOWRlZzw6aDg4PDtlNUBpamlycTM6Zmp2ZjMzNzczM0A2X2MtL2JfNWIxYGIvMzZeYSMvLWxmcjRnMmZgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201114048CDF0663FE868CE94D39&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=a29b6829e5c54ee789bdeb2a06fcb79b&is_play_url=1&item_id=7144330799645543685&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjRmZTQ1ZjI0NmZkZjA0ZWU4YTBiYWQ3N2RkODI5NjBk&source=CHALLENGE_AWEME&video_id=v09044g40000ccis5gjc77u0inoo0f2g']",2099,2300380,2339
7144573582440484122,2022-09-18,6928760643127264258,#ทางออก #ทุกปัญหา #ทุกปัญหามีทางออก ไม่มีการชนะใดยิ่งใหญ่เท่าการ #ชนะใจตัวเอง #คติธรรม จาก #ฟาร์ม #เฮือนซายโท่ง #โคกหนองนาโมเดล #เกษตรทฤษฎีใหม่ #เศรษฐกิจพอเพียง #ศาสตร์พระราชา #เกษตรอินทรีย์ #เกษตรผสมผสาน #เกษตรกร #เกษตรกรรุ่นใหม่ #อาหารสมอง #เปิดการมองเห็น #agriculture #organicfarm #farmer #farmerlife #reducecarbonfootprint #climatechange #fyp #tiktoklife #tiktoklifehacks #tiktokagri #tiktokagriculture #tiktokuni #ฮาวทูTikTok #tiktoklive #tiktokthailand ,"['https://v16m.tiktokcdn-eu.com/7e7cf15b97d61ce5eae5eb03dbcef452/678f8220/video/tos/useast2a/tos-useast2a-pve-0037-aiso/0321f88fc6da410fabcea03ce6644aa5/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=7104&bt=3552&cs=0&ds=6&ft=XsFbEqT0mIsPD12sxMyJ3wUH.J6ijeF~O5&mime_type=video_mp4&qs=0&rc=PDppNTRlZzg6O2ZmaWUzOEBpam5ybDg6ZmY8ZjMzZjgzM0AvMDIyLmA0XjExXjUwNWIzYSMzaC9jcjRncmdgLS1kL2Nzcw%3D%3D&vvpl=1&l=202501201114129A506DD9F05D7FF0D14B&btag=e00090000', 'https://v77.tiktokcdn-eu.com/8c73cf0d04ef521a02b16fa292de4005/678f8220/video/tos/useast2a/tos-useast2a-pve-0037-aiso/0321f88fc6da410fabcea03ce6644aa5/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=7104&bt=3552&cs=0&ds=6&ft=XsFbEqT0mIsPD12sxMyJ3wUH.J6ijeF~O5&mime_type=video_mp4&qs=0&rc=PDppNTRlZzg6O2ZmaWUzOEBpam5ybDg6ZmY8ZjMzZjgzM0AvMDIyLmA0XjExXjUwNWIzYSMzaC9jcjRncmdgLS1kL2Nzcw%3D%3D&vvpl=1&l=202501201114129A506DD9F05D7FF0D14B&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=65e08b3f8cac4847a57dcb11525f3729&is_play_url=1&item_id=7144573582440484122&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmVjNDQ3Y2UzN2EzMzRlMjExMmE3MTYzZWNhOTQyMTY4&source=CHALLENGE_AWEME&video_id=v0f025gc0000ccj9ucjc77u5fi2okk6g']",1174,2453440,5011
7144844623851064618,2022-09-19,6738446549145764869,"Hurricane Fiona brought powerful winds and catastrophic flooding to Puerto Rico, leaving the entire country without power. #puertorico #weather #climatechange ","['https://v77.tiktokcdn-eu.com/81842ef0022218e05bf4dfcea0ea0c14/678f81a6/video/tos/maliva/tos-maliva-ve-0068c799-us/cc09ba7143f04da588bd30d14c635e20/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3530&bt=1765&cs=0&ds=6&ft=XsFbEqT0mI2PD12OxMyJ3wUjPKKLaeF~O5&mime_type=video_mp4&qs=0&rc=aGlkZDRoOzw0NDtnOWRnNUBpMzRydGc6ZmhzZjMzZzczNEAuLTZfYWFhNi8xYy1jMF40YSM2M2UtcjRnNmdgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012011141632C48B5037A622EE08FE&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/c241e1b24697ac17b0ff00e520ffe0cd/678f81a6/video/tos/maliva/tos-maliva-ve-0068c799-us/cc09ba7143f04da588bd30d14c635e20/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3530&bt=1765&cs=0&ds=6&ft=XsFbEqT0mI2PD12OxMyJ3wUjPKKLaeF~O5&mime_type=video_mp4&qs=0&rc=aGlkZDRoOzw0NDtnOWRnNUBpMzRydGc6ZmhzZjMzZzczNEAuLTZfYWFhNi8xYy1jMF40YSM2M2UtcjRnNmdgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012011141632C48B5037A622EE08FE&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=72ad3af60df8412199d8ded1ba9a0f1e&is_play_url=1&item_id=7144844623851064618&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjFmZmI1ZDg4MDA5YmYyNzIzYmNlMjU5NjIyY2Y4MDYy&source=CHALLENGE_AWEME&video_id=v12044gd0000ccjp9ejc77ud0qho6190']",546,762135,972
7145493259815603461,2022-09-20,7144735520425526278,Why Climate Change Is Fake #climatechange #fyp #alpha #ben #shapiro #benshapiro #democratsareidiots #democratsareidiots #foryoupage,"['https://v77.tiktokcdn-eu.com/083cf56998330e7092010cddd1d99392/678f81e7/video/tos/useast2a/tos-useast2a-ve-0068c001/e1c18be418894afc9c2bf798b8a545a8/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=840&bt=420&cs=0&ds=6&ft=p6JrAMMK8Zmo0fQWHb4jVDjn~SWrKsd.&mime_type=video_mp4&qs=0&rc=aDw1aGhlNTQ6OzpnNTgzO0BpamtkbTo6Zmh4ZjMzNzgzM0AvY18wYjExX2MxNTI2LmJjYSNtcC5vcjRfM2hgLS1kLzZzcw%3D%3D&vvpl=1&l=2025012011141814E5E9E10C4103E77D9E&btag=e00090000', 'https://v45-p.tiktokcdn-eu.com/443727fe60e5f396821500c2f494c4d0/678f81e7/video/tos/useast2a/tos-useast2a-ve-0068c001/e1c18be418894afc9c2bf798b8a545a8/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=840&bt=420&cs=0&ds=6&ft=p6JrAMMK8Zmo0fQWHb4jVDjn~SWrKsd.&mime_type=video_mp4&qs=0&rc=aDw1aGhlNTQ6OzpnNTgzO0BpamtkbTo6Zmh4ZjMzNzgzM0AvY18wYjExX2MxNTI2LmJjYSNtcC5vcjRfM2hgLS1kLzZzcw%3D%3D&vvpl=1&l=2025012011141814E5E9E10C4103E77D9E&btag=e00095000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=f8e015925d8748f7b1424bee3eb2f92e&is_play_url=1&item_id=7145493259815603461&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmQ2NmIyYTAzNjBlYjNjMmZiODFkYTQ2ZDg3NjNiOTNj&source=CHALLENGE_AWEME&video_id=v09025g40000ccku6ebc77u7rj1ashpg']",1029,1355917,4784
7145640089220222254,2022-09-21,6749773962819486726,#greenscreen the more we ignore our climate emergency the harsher it will greet us. #fiona #puertorico #mexico #earthquake #climatechange #latinxHeritagMonth #CasaTikTok ,['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000ccl6g6jc77udjrij2l6g&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7145640089220222254&sign=b8a56313aa53d0ef687fc6e94f5fd044&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjVlZjJkZmUxMmQ3MzY1MDMwOGMwM2RjMTJmMzNmOTUw&shp=d05b14bd&shcp=-'],390,167931,305
7146396688104590634,2022-09-23,6643983493737791493,Let's all just calm down and trust God to take care of things... #conspiracy #prophecy #liberal #conservative #climatechange #apocalypse #christian #endtimes,"['https://v16m.tiktokcdn-eu.com/4708c843e7ebd46df81e15a076c01cfa/678f8226/video/tos/maliva/tos-maliva-ve-0068c799-us/4e5e30c836bb413a93ffb34d4c33a145/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2774&bt=1387&cs=0&ds=6&ft=XsFbEqT0mI2PD122xMyJ3wU.WGSwjeF~O5&mime_type=video_mp4&qs=0&rc=ODs0NzhoaDk2aWk1PGk8NEBpang8cGY6ZnJrZjMzZzczNEAvLi0wMzReXzIxLTYwXzIwYSM1YWZfcjRfL2pgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120111409437F47D44A2DFDE65576&btag=e00090000', 'https://v77.tiktokcdn-eu.com/a597c8a4d0f7e7febc4cb11fd752df5e/678f8226/video/tos/maliva/tos-maliva-ve-0068c799-us/4e5e30c836bb413a93ffb34d4c33a145/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2774&bt=1387&cs=0&ds=6&ft=XsFbEqT0mI2PD122xMyJ3wU.WGSwjeF~O5&mime_type=video_mp4&qs=0&rc=ODs0NzhoaDk2aWk1PGk8NEBpang8cGY6ZnJrZjMzZzczNEAvLi0wMzReXzIxLTYwXzIwYSM1YWZfcjRfL2pgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120111409437F47D44A2DFDE65576&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=3159bf39920f4f53b6ae7e6534011825&is_play_url=1&item_id=7146396688104590634&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjgyMzEwMTAxZTE0ODYwZGQ2MWFlMzM5NGQ0MTI4ZDBl&source=CHALLENGE_AWEME&video_id=v12044gd0000ccmh2obc77ucbmi9du8g']",4456,1063001,2829
7146900341810810139,2022-09-24,6928760643127264258,#ประโยชน์ ของการ #กินมื้อเดียว #ยิ่งหิวยิ่งสุขภาพดี #กินน้อย #ทุกข์น้อย #สุขภาพดี จาก #ฟาร์ม #เฮือนซายโท่ง #โคกหนองนาโมเดล #เกษตรทฤษฎีใหม่ #เศรษฐกิจพอเพียง #ศาสตร์พระราชา #เกษตรอินทรีย์ #เกษตรผสมผสาน #เกษตรกร #เกษตรกรรุ่นใหม่ #อาหารสมอง #เปิดการมองเห็น #agriculture #organicfarm #farmer #farmerlife #reducecarbonfootprint #climatechange #fyp #tiktoklife #tiktoklifehacks #tiktokagri #tiktokagriculture #tiktokuni #ฮาวทูTikTok #tiktoklive #tiktokthailand ,"['https://v45.tiktokcdn-eu.com/b18d5df8f3a041fd4e0bf7f920024b55/678f81c6/video/tos/useast2a/tos-useast2a-pve-0037c001-aiso/e6ee0c92cd8349fb82d869d7365f6363/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2328&bt=1164&cs=0&ds=6&ft=td_Lr8QLodzR12Nv8pd8eIxRZ-Q.xq_45SY&mime_type=video_mp4&qs=0&rc=PGc4ZmYzPGkzOjo7NjM0ZEBpajp5Ozc6Zm9oZjMzZjgzM0BjM2AzYDJgNS4xMjQ2NGAtYSNeYGNscjRnM2tgLS1kL2Nzcw%3D%3D&vvpl=1&l=20250120111404C47BB4BEE5A327EE106A&btag=e00095000', 'https://v16m.tiktokcdn-eu.com/5de45968a0fc93832813da7f54a5796a/678f81c6/video/tos/useast2a/tos-useast2a-pve-0037c001-aiso/e6ee0c92cd8349fb82d869d7365f6363/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2328&bt=1164&cs=0&ds=6&ft=td_Lr8QLodzR12Nv8pd8eIxRZ-Q.xq_45SY&mime_type=video_mp4&qs=0&rc=PGc4ZmYzPGkzOjo7NjM0ZEBpajp5Ozc6Zm9oZjMzZjgzM0BjM2AzYDJgNS4xMjQ2NGAtYSNeYGNscjRnM2tgLS1kL2Nzcw%3D%3D&vvpl=1&l=20250120111404C47BB4BEE5A327EE106A&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=0ac17093785747108fc950cc6cc56df9&is_play_url=1&item_id=7146900341810810139&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmVlODUyYWVmYzFlNjdjMzlmZjNlYjU1ZWQ0ODUzY2U0&source=CHALLENGE_AWEME&video_id=v0f025gc0000ccne6ljc77u4o8fvc7ag']",22101,4328050,6987
