aweme_id,cid,create_time,text,reply_comment_total
7285320931457649952,7285496611609281313,2023-10-02,Gotta love posting this from the comfort of my home,240
7272820833368739114,7272833117151904554,2023-08-29,I spoke to a guy who said they can’t know if there was climate change because humans weren’t around to take the temperature long ago 😖 clueless,132
7277317545454177582,7277406077766058794,2023-09-11,I love the fact that we are making our selves aware but tell me what we do…,130
7287680374136786219,7287682816212599595,2023-10-08,Minecraft and Pokemon are definitely the ways to go...debatable tbh but still,97
7286673402717424903,7307329001723527982,2023-11-30,Can nobody tell that this is AI😭,82
7278314820888169734,7278702067316409093,2023-09-14,Londres no tiene barro en sus aceras xd ni empozamiento como en Villa María y VES,75
7272820833368739114,7272841104004530987,2023-08-29,he was very close to the realization,63
7272820833368739114,7272846889035399978,2023-08-29,Do they not hear themselves?,56
7277317545454177582,7277808265378693931,2023-09-12,You sound like Brenda off scary movie lol but yo message is on point,47
7277894454084685089,7277960443946107680,2023-09-12,The Dutch are so greedy ‘dutch’ they rent this bloody thing from the Germans 🤢,47
7275412673473514798,7275423413313258286,2023-09-05,My IQ just dropped for even allowing my brain to attempt trying process this.,46
7275412673473514798,7275463524990763822,2023-09-05,How do her colleagues not burst into laughter?? Why do they remain silent and let this level of ignorance go on?,43
7278314820888169734,7278515976651932421,2023-09-14,Londres??? No! Lima es única e inigualable- lima la gris,43
7276434003060854062,7278333241378620203,2023-09-13,Basically everything they sell you in this country is designed to keep the medical industry going,40
7286673402717424903,7304840396134482719,2023-11-24,nobody told me that octopuses are actually scary looking or strong enough to crush a car,40
7277317545454177582,7278153440747307818,2023-09-13,"can you please make a video saying ""Cindy, your tvs leaking""",39
7286673402717424903,7292212842924557057,2023-10-21,is that real😳,39
7278314820888169734,7278446497225917190,2023-09-13,Comparar Londres con Lima. 😂😂😂😂,38
7284316139633577259,7284459331675554565,2023-09-30,love how you speak to both wings.. because it's all part of the same bird. we all need to be that bird.. youre my fav by far.,37
7272820833368739114,7278342158696088325,2023-09-13,They have record temps where I live high one year low the next. What’s the point here??,36
7275412673473514798,7275426859612455722,2023-09-05,Better to remain silent and be thought a fool than to speak and to remove all doubt,34
7283138470149672224,7283148151371825953,2023-09-26,"Europe produces barely any of the world's carbon, so pushing the deadline back isn't gonna affect jack shit",34
7277317545454177582,7277401294058603306,2023-09-11,The thing is we hear everything! But what are we going to do about it as a whole 🤨,34
7284316139633577259,7284351816870003461,2023-09-29,How do we make you Canada’s next Prime Minister 🥺,33
7283138470149672224,7283563485060383521,2023-09-27,"bro the UK contributes less than 1%, what are we gonna do?",32
7275412673473514798,7275703228632073003,2023-09-06,Shouldn't there be at least a simple test to get in the Congress?,31
7283876381547695393,7354342798123205409,2024-04-05,HoW dArE yOu 🫵,30
7286673402717424903,7303666281780495146,2023-11-20,I feel bad whoevers car that is,30
7284316139633577259,7284470227952272174,2023-09-30,Id vote for you to be president.,30
7285526435232714030,7286135322206995246,2023-10-04,I'd rather have zombies ngl,30
7284316139633577259,7284322818120074026,2023-09-29,What you just did here is so important,29
7285320931457649952,7285441658065404678,2023-10-02,earth aint being killed its killing us and itll move on for billions of years,27
7285320931457649952,7285464575850873607,2023-10-02,ALL THE LEAVES ARE BROOOWN,27
7283876381547695393,7394472600674206497,2024-07-22,Why is the search greta thunberg Nike pro😭,25
7286673402717424903,7298927027821495082,2023-11-08,I hope bro got octopus insurance,25
7273854909378759969,7274214920673346312,2023-09-02,“Oh well just replant the trees!” Yeah sure…,25
7281621191889014048,7282004165860901665,2023-09-23,Are you Yes Yet Scotland? 🤷🏼,25
7287680374136786219,7287938565861311262,2023-10-09,How did you not mention Minecraft? I think more kids are playing that now then Fortnite.,24
7282816128613649696,7283847250522014469,2023-09-28,"WHAAATTT😓😓😓😭😭😭, MY BIGGEST FEAR. LORD PLEASE PROTECT US AND HEAL THE WORLD😭😭😭😭",23
7275412673473514798,7275425322643260191,2023-09-05,"And think, millions of people are like, ""Yeah! I love her! She always says what needs to be said.""",23
7282816128613649696,7284284702138827521,2023-09-29,I'M TOO YOUNG TO DIEEEE 😭😭😭,23
7277894454084685089,7277941765482103585,2023-09-12,Come on uk learn something here,22
7279350028651613442,7279653661923246849,2023-09-17,testo chiso ma chiso nai khane chai ko hola 😆,22
7275412673473514798,7275434027447681822,2023-09-05,I know for a fact I did not have an adult gummie yet today. Why do I feel like I did???😂,21
7272820833368739114,7272825991692960554,2023-08-29,Pops brain melted,21
7272820833368739114,7276335699430654763,2023-09-08,Now they’re saying it will be one of the most brutal winters. And that colder weather weather is forming on the opposite poles. Dk what to believe,21
7280983016686554410,7281012776125547307,2023-09-20,"If adapting to the needs of people and planet will bankrupt a business, the business model is a failure.",20
7285526435232714030,7286708910013793067,2023-10-06,Also it is one of the signs showing no coming back from climate change the next one is the water levels rising rate change,20
7282816128613649696,7282854710888350496,2023-09-25,I’ll just fly,19
7278314820888169734,7278469543751516933,2023-09-14,en villa María parece diluvio nomás diré,19
7285320931457649952,7285705424950264581,2023-10-03,que aestethic es esta disculpe ?,18
7287680374136786219,7287683211501470510,2023-10-08,"Yeah, you forgot Minecraft.",17
7287680374136786219,7287681587340673834,2023-10-08,Honestly just avoid the online only games stick to story mode single player driven games like Mario/Zelda,17
7281935325604171013,7282949460547126022,2023-09-26,Tiba tiba indonesia ada musim salju 😭,17
7272820833368739114,7272848928973603626,2023-08-29,Did he say he had heat stroke earlier in the day? maybe heat exhaustion…,16
7282816128613649696,7283354684147073822,2023-09-27,the sun will make the water go away i forgot what it’s call,16
7286673402717424903,7304019412516389675,2023-11-21,Ain’t no way this is real brooo like where it came from 😭😭,16
7281935325604171013,7282709238862234374,2023-09-25,"bunga tumbuh di antartika,
rumput tumbuh di gurun Arab
🤔",16
7284316139633577259,7284317468510667551,2023-09-29,I love your balance...we need more of that in this world ❤️,15
7280983016686554410,7281010006996255534,2023-09-20,It’s mainly costly when your whole economy is based on burning fossil fuels and you don’t invest in renewables,15
7273854909378759969,7274238706927698721,2023-09-02,"we need wood after all, but not like that.",15
7274689988548185376,7276781016852398881,2023-09-09,Δες Harp και θα καταλάβεις. Παγκόσμια κυβέρνηση παγκόσμιος πανικός σπερνεται.. Σκοπός παγκόσμια διαχείριση μέσω του φόβου,14
7285526435232714030,7287182473845719840,2023-10-07,Antarctica gone ✨viral✨,14
7273854909378759969,7278783883918197510,2023-09-14,Шкода не шкода але такі дерева зазвичай порохно всередині і ні на що не годяться тільки дрова і тирса,14
7272820833368739114,7272902865692476206,2023-08-30,"Literally, in the face of facts!😂😂🤣",13
7284316139633577259,7285106625548534574,2023-10-01,There's a Rogan podcast with Will Harris. After listening to it I only want to buy meat from White Oak Pastures. Recommended listening.,13
7285526435232714030,7285573694127325998,2023-10-03,last of us part three here we come,13
7275412673473514798,7275467037349675822,2023-09-05,that made my brain feel itchy...,13
7285320931457649952,7286487624780792618,2023-10-05,Post your screen time,13
7287680374136786219,7287698088282964782,2023-10-08,*Not an add for Shell V powered Nitro plus premium gasoline,12
7287680374136786219,7293772248660853522,2023-10-25,"the fact that 91 is premium in the USA is crazy to me, that's our lowest quality in Australia. 98 octane is our premium",12
7281621191889014048,7281705002144826145,2023-09-22,The idea that a Tory Government can tell the truth… gone!,11
7282816128613649696,7283141929989112581,2023-09-26,Its not gonna melt any time soon its a dign of an ice age in a few hundred years,10
7276434003060854062,7279004269675594539,2023-09-15,"Thank you, my brother. I hail from a farm and ranch operation in Texas run by my family. Corporate farming is destroying our country.",10
7284316139633577259,7285453945521947423,2023-10-02,"soil is important and not many people pay attention. as a soil science student, it's crazy to see how much they push pesticides, need crop rotation",10
7273854909378759969,7278597923859743493,2023-09-14,البشر اسوه كان حي,10
7287680374136786219,7287682542864663326,2023-10-08,hear me out companies were banned from advertising in ads but not putting ads in games kids play ironically,10
7276434003060854062,7278258312502772526,2023-09-13,And that right there is why we raise all our meat and have for 20 years.,9
7285320931457649952,7285741640583529222,2023-10-03,show screentime,9
7274689988548185376,7276723619076719392,2023-09-09,Οι 7 πληγές τού Φαραώ ξεκίνησαν 😳,9
7286673402717424903,7298916740490232618,2023-11-08,"am I the only one that thought of ""finding Dory"" 😭",9
7276434003060854062,7279212070842106670,2023-09-16,"When a video starts with, “Let me tell you abt the pork YOU eat” rather than “Let me tell you about the pork WE eat” 😳",9
7286673402717424903,7304498656869581614,2023-11-23,I’m actually creeped out 😳,8
7273854909378759969,7274474501428593413,2023-09-03,"e triste, infelizmente os humanos não liga pra isso eles só liga pra dinheiro e fama um dia irei mudar isso.",8
7273854909378759969,7274387374979728133,2023-09-03,500 anos em algumas horas,8
7273122381269617925,7274461765831475973,2023-09-03,kuya flat ba talaga ang earth?,8
7274689988548185376,7276811064506221344,2023-09-09,Die Erde rächt sich ! Alles kommt zurück im leben,8
7283876381547695393,7419680662393520902,2024-09-28,But making electric cars damages nature more than a gasoline car.,8
7277317545454177582,7277371542203826987,2023-09-11,It’s a war against good & evil,8
7283876381547695393,7368623030944039726,2024-05-13,GRETTA YOU ARE BRAVE & AN INSPIRATION 🙌🏼,8
7276894831199145249,7277988446253630240,2023-09-12,the answer is nearly zero,8
