id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7271342302382148907,2023-08-25,6803462802675844101,"Out with cars, in with bikes & public transit 🚲🚌  #climatechange #Sustainability #sustainableliving #cliamteaction #activism #greencity #urbanplanning #sustainabledesign #cycling #biking #urbandesign #cityplanning #sustainabletravel #publictransport",['https://sf16-music-sign.tiktokcdn.com/obj/tos-alisg-ve-2774/oQBihoqSMAF0GIiCLfsFWz8AFpBAQw5sOwB1iy?lk3s=08d74b56&x-expires=1737394744&x-signature=iv4EUjWnKbX7s9JNclMvchuxqfM%3D'],932,393410,364
7271410119622020395,2023-08-26,6777593631172838406,#goodmorningbadnews #boomers #climate #climatechange #corporations #disaster #energy #environment #fossilfuels #gas #globalwarming #green #biden #inflationreductionact #bigoil #oilcompanies #doomer #doomerboomer #boomers ,"['https://v77.tiktokcdn-eu.com/ef7a54a6353bfd5a677975676f5264ad/678f8791/video/tos/maliva/tos-maliva-ve-0068c799-us/o0eCkiebAAh7HiGNj52QnJPCld0eJHI8v0EuBk/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2270&bt=1135&cs=0&ds=6&ft=XsFbEqT0mmjPD12yeMyJ3wUEe3tuEeF~O5&mime_type=video_mp4&qs=0&rc=aDY2aWg1PGZkNjUzaDppaEBpajQ1Nzs6ZmdtbTMzZzczNEA1NS1fMGBhXzAxNS00LmEvYSNoY2RucjRvbGhgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120113836F07AF22F42FBC7E2DCEF&btag=e00090000', 'https://v16m.tiktokcdn-eu.com/13e3862fb57bc4bf8baca5a563019496/678f8791/video/tos/maliva/tos-maliva-ve-0068c799-us/o0eCkiebAAh7HiGNj52QnJPCld0eJHI8v0EuBk/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2270&bt=1135&cs=0&ds=6&ft=XsFbEqT0mmjPD12yeMyJ3wUEe3tuEeF~O5&mime_type=video_mp4&qs=0&rc=aDY2aWg1PGZkNjUzaDppaEBpajQ1Nzs6ZmdtbTMzZzczNEA1NS1fMGBhXzAxNS00LmEvYSNoY2RucjRvbGhgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120113836F07AF22F42FBC7E2DCEF&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=2edf177e0082433abcd9c23ebf03838e&is_play_url=1&item_id=7271410119622020395&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjQzZGQzNWYyMzc4NGZjODM0ODNmYmI4NjY5MzkwOTk2&source=CHALLENGE_AWEME&video_id=v12044gd0000cjkjodrc77u8q4g2f1kg']",1811,365905,728
7272451010495302954,2023-08-28,7023454894796719110,Clear-air turbulence is becoming more frequent and intense as the atmosphere warms. But the real question is…how did our hosts sneak onto this private jet?? 🎤 Kelso Harper and Timmy Broderick  ✏️ Katherine Wright and Annie Roth  🎞️ Kylie Murphy  #turbulence #airtravel #airplanetok #climatechange #scitok #physics #STEM #scientificamerican,"['https://v45.tiktokcdn-eu.com/5dc8a8e9d56c917194f7240f392ed3f8/678f8786/video/tos/maliva/tos-maliva-ve-0068c799-us/o4JgtDbDTg75kjYSqoBxRFAmTvQfeJELnPHO3Z/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2322&bt=1161&cs=0&ds=6&ft=td_Lr8QLodzR12Nvhdq8eIxRs28biq_45SY&mime_type=video_mp4&qs=0&rc=NDU2OTg1ZDs2ZjdlMzo4aEBpM3Bsbzo6ZnJobTMzZzczNEAwXmIuXzNfNV4xYi9hMjVjYSNqMnBucjRvbGpgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120113842CF26BDE1EF22C5F256E4&btag=e00095000', 'https://v15m.tiktokcdn-eu.com/ba2e4400fe38c93fa5c6a368ab09862f/678f8786/video/tos/maliva/tos-maliva-ve-0068c799-us/o4JgtDbDTg75kjYSqoBxRFAmTvQfeJELnPHO3Z/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2322&bt=1161&cs=0&ds=6&ft=td_Lr8QLodzR12Nvhdq8eIxRs28biq_45SY&mime_type=video_mp4&qs=0&rc=NDU2OTg1ZDs2ZjdlMzo4aEBpM3Bsbzo6ZnJobTMzZzczNEAwXmIuXzNfNV4xYi9hMjVjYSNqMnBucjRvbGpgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120113842CF26BDE1EF22C5F256E4&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=fe8557d02be44ca388ba62b516e3a231&is_play_url=1&item_id=7272451010495302954&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjI5ZDc0Mjk4ZTlhYjIzNTg2YWFmOTA4MzNkMmE2NWEw&source=CHALLENGE_AWEME&video_id=v12044gd0000cjmeoorc77u7qlsi5mm0']",7324,765558,565
7272820833368739114,2023-08-29,6724659169629340678,We talked to this guy on a record-setting hot day at the GOP Debate. #fyp #gopdebate #milwuakee #climatechange #globalwarming #interview #hm,"['https://v16m.tiktokcdn-eu.com/8df0ce1f5262a1c0fff92174d317277e/678f8761/video/tos/maliva/tos-maliva-ve-0068c799-us/ogNeISCaVzABQMF7IjfKDRkQXEIgiBZ7UstXuh/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2402&bt=1201&cs=0&ds=6&ft=XsFbEqT0mgdPD12teMyJ3wUQrmtSjeF~O5&mime_type=video_mp4&qs=0&rc=NzozOmQzaWdmNGU3MzM8O0BpMzVqNmQ6ZmQ2bTMzZzczNEBiYTYuLTEwXy0xLTBhM2JiYSMuZTJhcjRvcmtgLS1kMS9zcw%3D%3D&vvpl=1&l=202501201138367D1F9B21DC9F40E6796C&btag=e00088000', 'https://v58.tiktokcdn-eu.com/video/tos/maliva/tos-maliva-ve-0068c799-us/ogNeISCaVzABQMF7IjfKDRkQXEIgiBZ7UstXuh/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2402&bt=1201&cs=0&ds=6&ft=XsFbEqT0mgdPD12teMyJ3wUQrmtSjeF~O5&mime_type=video_mp4&qs=0&rc=NzozOmQzaWdmNGU3MzM8O0BpMzVqNmQ6ZmQ2bTMzZzczNEBiYTYuLTEwXy0xLTBhM2JiYSMuZTJhcjRvcmtgLS1kMS9zcw%3D%3D&vvpl=1&l=202501201138367D1F9B21DC9F40E6796C&VExpiration=1737459553&VSignature=0bpXI15SObl6kLUWmPZvoQ&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=e8e960d0340b410cbd3f400a1790d7e4&is_play_url=1&item_id=7272820833368739114&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmZiNTExZTQ5YzY5N2RiYmY0YzYyYzJlNDIxNTZkNmIz&source=CHALLENGE_AWEME&video_id=v12044gd0000cjn3uarc77uad35gh210']",4840,942926,2360
7273122381269617925,2023-08-30,19663988,SKL Vid Ep. XXX: Is the Philippines the country most affected by climate change? #LearnItOnTikTok #eduwow #sklbidyuuu #PoweredByFirstGen #cleanenergy #decarbonization #climatechange,"['https://v16m.tiktokcdn-eu.com/cf7b4626c39baf74e12aabe47fa61cfa/678f87cc/video/tos/useast2a/tos-useast2a-pve-0068/oYABAcgeGjkRbBev0On1bgmoJ7pRDH8Q9nDEgN/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1616&bt=808&cs=0&ds=6&ft=XsFbEqx4m3lPD12KuMyJ3wUAfvOjaeF~O5&mime_type=video_mp4&qs=0&rc=aTc5OjxnM2g2Ozo7Ozw5ZUBpM3I2Zmc6ZnNvbTMzNzczM0AtLzNgYjU0Nl4xLWItYy01YSMxYW4xcjRnMGtgLS1kMTZzcw%3D%3D&vvpl=1&l=20250120113857CB97A5FBF11EE5E37349&btag=e00090000', 'https://v77.tiktokcdn-eu.com/9e527d6324a0cc5af33fdd0da663407d/678f87cc/video/tos/useast2a/tos-useast2a-pve-0068/oYABAcgeGjkRbBev0On1bgmoJ7pRDH8Q9nDEgN/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1616&bt=808&cs=0&ds=6&ft=XsFbEqx4m3lPD12KuMyJ3wUAfvOjaeF~O5&mime_type=video_mp4&qs=0&rc=aTc5OjxnM2g2Ozo7Ozw5ZUBpM3I2Zmc6ZnNvbTMzNzczM0AtLzNgYjU0Nl4xLWItYy01YSMxYW4xcjRnMGtgLS1kMTZzcw%3D%3D&vvpl=1&l=20250120113857CB97A5FBF11EE5E37349&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=8b06f908e80748a39e708de9c766240f&is_play_url=1&item_id=7273122381269617925&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjEzODhjMWY0ZTI1ZjhjMzRjMGI0YWUwYjIwZDMwODc4&source=CHALLENGE_AWEME&video_id=v09044g40000cjnl3pjc77ud4cq3do40']",581,486559,292
7273854909378759969,2023-09-01,6970050888732279814,#anprimgang #anprimmemes #nature #naturelovers #fightfornature #protectwildlife #savetheplanet #anprim #ecofriendly #greenanarchism #forest #antitechnology #anticiv #based #earthfirst #earthliberationfront #animalliberationfront #climate #climatechange #nature #environment #climateaction #climatestrike #globalwarming #fridaysforfuture #Sustainability #climatechangeisreal #earth #climatejustice #climatecrisis,['https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/ooeiYGO1DYglsk5JCmFdQgZMKBfpnqBQEUgktJ'],2328,2154688,1207
7274689988548185376,2023-09-03,7192662362943734789,Explore what's happening to the climate. Support the solution. #climatechange #climatecrisis #naturaldisaster ,"['https://v77.tiktokcdn-eu.com/a0b89f867a65ecb512e018e186c9d532/678f8773/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oYXePIPEzH3GnB5xQhtBAZQAifJSGkDEZICRF0/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1982&bt=991&cs=0&ds=6&ft=XsFbEqT0mgdPD122uMyJ3wUEHFtSjeF~O5&mime_type=video_mp4&qs=0&rc=O2YzNGg8OTY7Ozo2ODdkZkBpM2t4bjs6ZjpobTMzZjczM0BfLmJfXi41NjExYzBeMDReYSMuMmQxcjRvM25gLS1kMWNzcw%3D%3D&vvpl=1&l=20250120113840C1605CB1E65D06EA2D32&btag=e00088000', 'https://v16m.tiktokcdn-eu.com/b5d4a14e9c0b824a5c2ea25f00788d77/678f8773/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oYXePIPEzH3GnB5xQhtBAZQAifJSGkDEZICRF0/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1982&bt=991&cs=0&ds=6&ft=XsFbEqT0mgdPD122uMyJ3wUEHFtSjeF~O5&mime_type=video_mp4&qs=0&rc=O2YzNGg8OTY7Ozo2ODdkZkBpM2t4bjs6ZjpobTMzZjczM0BfLmJfXi41NjExYzBeMDReYSMuMmQxcjRvM25gLS1kMWNzcw%3D%3D&vvpl=1&l=20250120113840C1605CB1E65D06EA2D32&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=ac7a34a533f74848938619aeb1e01cb8&is_play_url=1&item_id=7274689988548185376&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjdiMDE1MTMwYzU0NWM1NWIzYTZjMTg4ODEwM2RkNzZk&source=CHALLENGE_AWEME&video_id=v0f044gc0000cjqe67rc77u84kgu5h10']",21332,1677128,2084
7275083944171719979,2023-09-04,6668094621179428870,and weather says its about to rain again 🙃 #fyp #burningman2023 #burningmannews #burningman #climatechange #news #didyouknow #LearnOnTikTok #edutok,"['https://v45.tiktokcdn-eu.com/d1460c1088874f88dfb66b6f0819d786/678f878c/video/tos/maliva/tos-maliva-ve-0068c799-us/oADR4II2x3jffMnnBgbM8gASgjQ7nV0LDk9kSE/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1852&bt=926&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SeyxRBPXtSa61-xyqF_4&mime_type=video_mp4&qs=0&rc=ZWg6ODc5PGVkODY8Nmc2PEBpM3drNmY6Zmw3bTMzZzczNEAwMy4vMzUxNTIxYGA0Yy4wYSNnNHNgcjRvZW9gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120113817B972F2A497F6CFF7BE98&btag=e00095000', 'https://v15m.tiktokcdn-eu.com/fc8bdba0587c36e208a98c8a6c0557be/678f878c/video/tos/maliva/tos-maliva-ve-0068c799-us/oADR4II2x3jffMnnBgbM8gASgjQ7nV0LDk9kSE/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1852&bt=926&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SeyxRBPXtSa61-xyqF_4&mime_type=video_mp4&qs=0&rc=ZWg6ODc5PGVkODY8Nmc2PEBpM3drNmY6Zmw3bTMzZzczNEAwMy4vMzUxNTIxYGA0Yy4wYSNnNHNgcjRvZW9gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120113817B972F2A497F6CFF7BE98&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=3913fd73c9c3455a8b49866425176e3b&is_play_url=1&item_id=7275083944171719979&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjIyMmRhZWMwNDU4N2U5MmEyOWE3YmZkYzAwMWE2Nzc4&source=CHALLENGE_AWEME&video_id=v12044gd0000cjr4hirc77ucc3vh7tj0']",7612,909926,1174
7275412673473514798,2023-09-05,6940967490765128710,#greenscreenvideo #fyp #trending #facts #feelings #wtf #climatechange #congress #fail #iceage #duhok #liberal #democrat #dobetter #conservative #history #dumb #patriots #goodtimes #goodvibes #vibing #wordsofwisdom ,"['https://v15m-perf.tiktokcdn-eu.com/cd82d4836b0013323ceeb1a1552b61e0/678f8788/video/tos/maliva/tos-maliva-ve-0068c799-us/oQgDmakE3Ljz1BIdgVSW7NhEfEAR7QeIXTTsJI/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2510&bt=1255&cs=0&ds=6&ft=g-XtnN2WCjVQyYGCApkcm.CKtQ9hZcAmJFHaWH6KJE&mime_type=video_mp4&qs=0&rc=NGk1NDw6NmVkPGYzaDg7NkBpajY0NTs6ZmRwbTMzZzczNEAyMWMwYjYtNTExYTBhNF5jYSM2NG1qcjRnbm9gLS1kMS9zcw%3D%3D&vvpl=1&l=202501201138485C89CB276993F0FA24F9&btag=e00090000', 'https://v16m-perf.tiktokcdn-eu.com/80fdcaeb5becc974cf30a3f2db3940b3/678f8788/video/tos/maliva/tos-maliva-ve-0068c799-us/oQgDmakE3Ljz1BIdgVSW7NhEfEAR7QeIXTTsJI/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2510&bt=1255&cs=0&ds=6&ft=g-XtnN2WCjVQyYGCApkcm.CKtQ9hZcAmJFHaWH6KJE&mime_type=video_mp4&qs=0&rc=NGk1NDw6NmVkPGYzaDg7NkBpajY0NTs6ZmRwbTMzZzczNEAyMWMwYjYtNTExYTBhNF5jYSM2NG1qcjRnbm9gLS1kMS9zcw%3D%3D&vvpl=1&l=202501201138485C89CB276993F0FA24F9&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=f3a875de30dc494a8b0397e931f24f51&is_play_url=1&item_id=7275412673473514798&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmIxOTJiZTA0MWRhZDY5YWMzZWQyMGU4MmM1MmEwMjky&source=CHALLENGE_AWEME&video_id=v12044gd0000cjrmqajc77u8m2p1739g']",6872,259582,4309
7275799559224282374,2023-09-06,7165860667278279685,#africaclimatesummit #african #africa #africantiktok #climatechange #climate #sdgs #hustler #togetherness #presidency #africaunite #nairobi ,"['https://v77.tiktokcdn-eu.com/4c794eb732d85c96a3c81e9353ef86f2/678f876e/video/tos/useast2a/tos-useast2a-ve-0068c003/ok7gNexuCnVeAS9jr48PgTRDjAwrAeQbIRCJcN/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1036&bt=518&cs=0&ds=6&ft=XsFbEqT0mI2PD12aeMyJ3wUGPKKLaeF~O5&mime_type=video_mp4&qs=4&rc=OmhoOzppPDVoZGg7ODY2PEBpM3YzaGY6Zm5nbTMzNzczM0BgLTYyMWMzNS4xYC1iYjAtYSNjcnA0cjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201138179C96C4C34A33EDEBACFB&btag=e00090000', 'https://v16m.tiktokcdn-eu.com/27c6d0cbd9f5dcd524c78aaab1904a41/678f876e/video/tos/useast2a/tos-useast2a-ve-0068c003/ok7gNexuCnVeAS9jr48PgTRDjAwrAeQbIRCJcN/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1036&bt=518&cs=0&ds=6&ft=XsFbEqT0mI2PD12aeMyJ3wUGPKKLaeF~O5&mime_type=video_mp4&qs=4&rc=OmhoOzppPDVoZGg7ODY2PEBpM3YzaGY6Zm5nbTMzNzczM0BgLTYyMWMzNS4xYC1iYjAtYSNjcnA0cjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=202501201138179C96C4C34A33EDEBACFB&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=0933e3e508ce4a1e8269ff47589e0ec7&is_play_url=1&item_id=7275799559224282374&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjY2ZmE3MDAyZTNhZjU2YWNhZjkwOTE5ZGVhMzk5MDZl&source=CHALLENGE_AWEME&video_id=v09044g40000cjsd9k3c77uc7es0usf0']",4398,4156604,3209
