aweme_id,cid,create_time,text,reply_comment_total
7434632512497863979,7435275799127950110,2024-11-09,And we elected a president who doesn’t believe in this,903
7424137487708163361,7424199506567480086,2024-10-10,WE HAVE TWO MOONS?!,597
7423763675086884138,7423765048692130590,2024-10-09,Unbelievable that THIS is a candidate for president and he could win.,496
7423763675086884138,7423768759153738542,2024-10-09,And the trailer home owners go wild for the billionaire 😂👌,406
7423763675086884138,7423766363237876526,2024-10-09,"It is truly baffling that anyone says “yep, that’s my pick for president”",317
7423763675086884138,7423766157448053534,2024-10-09,"They just cheer, they don’t listen 😭",296
7425036749019172128,7425252387876553505,2024-10-13,right who forgot to thank Beyonce,232
7434632512497863979,7435284591060206379,2024-11-09,we all rlly gonna die bruh,220
7429377005856083243,7429379663749825313,2024-10-24,Suddenly it’s Fahrenheit to make it look worse,165
7428899122347773205,7429071867582366481,2024-10-23,hahahaha bakit wla Dito sa Mindanao kawawa hahaha,129
7424137487708163361,7424246155511005994,2024-10-10,i’m scared i won’t grow up tbh.,128
7423763675086884138,7423766651932803870,2024-10-09,and this is the best the republican party has?,126
7423763675086884138,7423765571937485614,2024-10-09,Scary. He can’t add or subtract.,116
7420486226056203562,7420575548098118430,2024-09-30,Meanwhile Phoenix AZ had 113 days in a row of 100+ weather and we will be over 100 for the next few weeks summers are becoming more unbearable. Global warming is real and something needs to be done.,113
7434632512497863979,7435093499953398570,2024-11-09,we are so cooked,113
7420486226056203562,7420540250533970730,2024-09-30,It’s not just hurricanes either. I’m in East Texas and our spring showers have become annual tornadic supercells. If there’s thunder there’s a tornado. It’s scary!,110
7434114730727394592,7434117499056145184,2024-11-06,The only time I’ll endorse these actions,103
7420486226056203562,7420543412976714526,2024-09-30,"Didn’t NC, SC, TN, KY, VA and north GA experience historic rain from a different system just prior to Helene that had already saturated the land leaving the rain from Helene no where else to go",102
7431288494904937761,7431433380954653457,2024-10-30,nature is REALLY telling us something but are we prepared?,96
7427855009364135200,7427899765541372704,2024-10-20,veramente mi paré abbia impedito ad uno di seguire il suo motorino trasportato via dalla corrente....,92
7419367750834851105,7419427958731522848,2024-09-27,¿Por qué nadie les da un tortazo? Soy yo y les falta campo para correr.,86
