source_word,target_word,weight
car,electric,12
car,government,4
car,hate,2
electric,government,2
electric,hate,2
government,hate,2
as,believe,2
as,climate,5
as,cycle,2
as,effect,3
as,much,4
as,never,2
as,people,8
as,think,7
believe,climate,10
believe,cycle,2
believe,effect,2
believe,much,2
believe,never,5
believe,people,5
believe,think,3
climate,climate,5
climate,cycle,18
climate,effect,7
climate,much,5
climate,never,7
climate,people,8
climate,think,14
cycle,effect,2
cycle,much,2
cycle,never,2
cycle,people,2
cycle,think,6
effect,much,2
effect,never,2
effect,people,3
effect,think,2
much,never,6
much,people,7
much,think,6
never,people,3
never,think,7
people,think,25
care,late,2
care,start,2
care,too,3
late,start,2
late,too,7
start,too,2
bro,deep,2
bro,end,4
bro,far,2
bro,too,5
deep,end,2
deep,far,2
deep,too,2
end,far,2
end,too,2
far,too,2
capitalism,rid,6
capitalism,sell,4
capitalism,yet,4
rid,sell,4
rid,yet,4
sell,yet,2
air,sell,2
air,soon,2
sell,soon,2
capitalism,make,6
capitalism,unfortunately,2
make,unfortunately,2
get,money,11
get,work,4
money,work,2
matter,put,2
matter,space,2
matter,trash,2
put,space,5
put,trash,2
space,trash,2
feel,own,2
feel,people,6
feel,safe,2
feel,seem,2
feel,top,2
own,people,3
own,safe,2
own,seem,2
own,top,2
people,safe,4
people,seem,2
people,top,2
safe,seem,2
safe,top,2
seem,top,2
own,work,2
%,bit,2
%,drop,2
%,seem,2
bit,drop,2
bit,seem,2
drop,seem,2
leave,one,2
leave,put,2
one,put,2
car,gas,29
car,learn,2
car,school,2
car,send,2
car,start,2
car,teacher,2
car,well,2
gas,learn,2
gas,school,2
gas,send,2
gas,start,2
gas,teacher,2
gas,well,2
learn,school,2
learn,send,2
learn,start,2
learn,teacher,2
learn,well,2
school,send,2
school,start,3
school,teacher,5
school,well,2
send,start,2
send,teacher,2
send,well,2
start,teacher,2
start,well,3
teacher,well,2
Earth,look,2
Earth,point,2
Earth,red,2
Earth,soon,2
Earth,sun,2
Earth,time,2
Earth,way,3
Earth,year,2
look,point,2
look,red,2
look,soon,2
look,sun,2
look,time,3
look,way,3
look,year,6
point,red,2
point,soon,2
point,sun,2
point,time,2
point,way,2
point,year,3
red,soon,2
red,sun,2
red,time,2
red,way,2
red,year,2
soon,sun,2
soon,time,3
soon,way,2
soon,year,3
sun,time,3
sun,way,3
sun,year,2
time,way,4
time,year,14
way,year,3
earth,mother,2
earth,play,2
mother,play,2
only,space,3
only,think,11
space,think,5
think,think,8
actually,end,2
actually,experience,2
end,experience,2
buy,own,2
die,wonder,2
UN,hate,2
UN,people,2
UN,tell,2
hate,people,3
hate,tell,2
people,tell,6
most,wrong,2
come,day,3
come,unfortunately,3
day,unfortunately,2
life,lol,2
life,’m,4
lol,’m,5
’m,’m,9
also,capitalism,2
also,cost,4
also,get,6
also,less,4
also,make,6
also,rid,2
also,sell,2
also,sense,2
capitalism,cost,5
capitalism,get,2
capitalism,less,2
capitalism,sense,2
cost,cost,2
cost,get,4
cost,less,4
cost,make,9
cost,rid,4
cost,sell,4
cost,sense,4
get,less,4
get,make,13
get,rid,3
get,sell,2
get,sense,2
less,make,4
less,rid,2
