id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7148607094466317614,2022-09-29,7102120216240981038,Every golfer’s dream #golf #fyp #HurricaneIan #Ian #Hurricane ,"['https://v77.tiktokcdn-eu.com/f9d2617806d42cb406179b286a7e1f79/678e19ea/video/tos/maliva/tos-maliva-ve-0068c799-us/5665dcc27cd7411694d218c8e39f80b9/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4722&bt=2361&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=ZWc8ZmVnO2c8aDY1ODM7PEBpanNrb2c6ZndpZjMzZzczNEBeNi9iYjY2Ni0xYjYuLV4tYSNjYm80cjRvNG5gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://v15m.tiktokcdn-eu.com/3c0e8c1c07ac8f7c7ed5b1acbdab0a78/678e19ea/video/tos/maliva/tos-maliva-ve-0068c799-us/5665dcc27cd7411694d218c8e39f80b9/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4722&bt=2361&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=ZWc8ZmVnO2c8aDY1ODM7PEBpanNrb2c6ZndpZjMzZzczNEBeNi9iYjY2Ni0xYjYuLV4tYSNjYm80cjRvNG5gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=09a8001592e34e099d989debec299dab&is_play_url=1&item_id=7148607094466317614&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjMyNGM3NmM1ZDg0YTZmNzc1YzNmZjIwNWFhMmYwMjFh&source=CHALLENGE_AWEME&video_id=v12044gd0000ccqf7trc77ud7lrhepfg']",11893,3682252,968
7149263028448546090,2022-09-30,7024839608509072431,#HuracanIan #news #southcarolina #hurricaneIan #TiktokInforma #VideosHuracanIan ,"['https://v77.tiktokcdn-eu.com/2726b5140f7c322e8b53528e986d9af5/678e19f4/video/tos/maliva/tos-maliva-ve-0068c799-us/087f74305acd49bd8fe5656f73d4c855/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3730&bt=1865&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=NTxoOzQ6ZDM7NjgzOzVnaUBpamlqNmc6ZmxuZjMzZzczNEAuMDViXl5iNTQxXjQ1YDJfYSNrZWgycjQwY29gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://v15m.tiktokcdn-eu.com/91368449995beb80f533e02aaf2e0c06/678e19f4/video/tos/maliva/tos-maliva-ve-0068c799-us/087f74305acd49bd8fe5656f73d4c855/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3730&bt=1865&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=NTxoOzQ6ZDM7NjgzOzVnaUBpamlqNmc6ZmxuZjMzZzczNEAuMDViXl5iNTQxXjQ1YDJfYSNrZWgycjQwY29gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=bf5dc28870a5437880eaa7a1e88e3912&is_play_url=1&item_id=7149263028448546090&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjc3YTVhZDFmMDZkZGI0M2MyZWVmZDViOGVhZTAxNTAz&source=CHALLENGE_AWEME&video_id=v12044gd0000ccrkfi3c77ud53kghfng']",22442,5159746,1243
7148143599966752043,2022-09-27,6716209457804166149,Ian got nothing on us #hurricaneian #florida #southflorida #foryou #HausLabsFoundation #umiami #realestate ,"['https://v77.tiktokcdn-eu.com/3c161cf31f558f4fe5e6cdfb1caeb319/678e19e9/video/tos/maliva/tos-maliva-ve-0068c799-us/06965745ca804b71bebb83c4374caef1/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4012&bt=2006&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=PGhnOGc1aThpZTY5aDo3aUBpamo0cDc6ZmZuZjMzZzczNEA1XzJeYGAwNTYxX180XjRjYSNjLWAxcjRvb21gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://v15m.tiktokcdn-eu.com/4ce586bdcca4bcc91302c949d283df25/678e19e9/video/tos/maliva/tos-maliva-ve-0068c799-us/06965745ca804b71bebb83c4374caef1/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=4012&bt=2006&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=PGhnOGc1aThpZTY5aDo3aUBpamo0cDc6ZmZuZjMzZzczNEA1XzJeYGAwNTYxX180XjRjYSNjLWAxcjRvb21gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=ff74a77eb6b34b9f853fc2cda55dbe89&is_play_url=1&item_id=7148143599966752043&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjY4ZTcyNjQ1YWFiNzhkODhhNzc2OGQ2OTI4MGY3YmZj&source=CHALLENGE_AWEME&video_id=v12044gd0000ccpkrcrc77u44mc10gfg']",917,9410627,5482
7149856973113003269,2022-10-02,6850511303556383750,🌪️ #fyp #uk #usa #hurricaneian ,"['https://v77.tiktokcdn-eu.com/2566cd082a406d558d602b2471256358/678e19e1/video/tos/useast2a/tos-useast2a-ve-0068c001/2abd45d739f947dfae7982b93dae12e3/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=672&bt=336&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=aDk8NGdkZjY7ZzY2ZTM3ZEBpajpmcmY6ZmlwZjMzNzczM0A0XzI1MGEyNTExLzEwX19hYSNnLWxtcjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b0000', 'https://v15m.tiktokcdn-eu.com/8d3e9033ebc0c2ca669ed0cdb9bb7526/678e19e1/video/tos/useast2a/tos-useast2a-ve-0068c001/2abd45d739f947dfae7982b93dae12e3/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=672&bt=336&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=aDk8NGdkZjY7ZzY2ZTM3ZEBpajpmcmY6ZmlwZjMzNzczM0A0XzI1MGEyNTExLzEwX19hYSNnLWxtcjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=dab4b03b43234d48835cda3d8159b67e&is_play_url=1&item_id=7149856973113003269&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjQ5NjViNTE0ZWIyMjVkYzE1N2QwMjZlMGE3NDRhNmI5&source=CHALLENGE_AWEME&video_id=v09044g40000ccsm9f3c77ucpooc07jg']",3404,1822982,3991
7149240121274027310,2022-09-30,6999646434947187717,Most parts of Family Kingdom is 2-3 feet under water currently. #fyp #foryoupage #weather #xtremeweathervids #hurricaneian #hurricaneian2022 #myrtlebeach #myrtlebeachsc ,"['https://v77.tiktokcdn-eu.com/10a10a5a2ef8126edf1ebd996235b437/678e1a11/video/tos/maliva/tos-maliva-ve-0068c799-us/9aa4e16dadb44cd5b3cc777e64cfaad4/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=5112&bt=2556&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=ODZkZWQ3PDdnNmQ1MzhlaEBpM3ZpcTw6ZjhtZjMzZzczNEAvNDYvM2MuX2AxLS5fYGItYSNkMmtecjQwNW9gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e00088000', 'https://v15m.tiktokcdn-eu.com/7748b29f6287c4a960097fba2532eaf6/678e1a11/video/tos/maliva/tos-maliva-ve-0068c799-us/9aa4e16dadb44cd5b3cc777e64cfaad4/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=5112&bt=2556&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=ODZkZWQ3PDdnNmQ1MzhlaEBpM3ZpcTw6ZjhtZjMzZzczNEAvNDYvM2MuX2AxLS5fYGItYSNkMmtecjQwNW9gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=0eebc5b0120a43cdb419f46a2b9a7325&is_play_url=1&item_id=7149240121274027310&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmNlZjcyNzVmMjZjYjI4ZWI1ZmFiMDQ3MDY0NzBkMmUz&source=CHALLENGE_AWEME&video_id=v12044gd0000ccrj853c77u9annf5sg0']",52012,3709154,2415
7147739515619233070,2022-09-26,6742227429739856901,Hurricane #Ian could throw us a curveball… This is one we gotta watch for! 🌀👀 #TrackingTheTropics #HurricaneIan #FloridasGulfCoast #TampaBay #HurricaneCharley ,"['https://v77.tiktokcdn-eu.com/1588cac439a62eb1842b2c4ced6011c7/678e1a0d/video/tos/maliva/tos-maliva-ve-0068c799-us/4fec193570634053a154ad78712be57d/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1866&bt=933&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=M2g2ZDc6ZDU2NzZkNzk3aUBpanBvOjs6Zjh3ZjMzZzczNEAwNC1eL2FhNmAxX2IxNC0zYSNhZGlgcjQwa2xgLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e00088000', 'https://v15m.tiktokcdn-eu.com/08667ea8636ad52db19e0653562a6d00/678e1a0d/video/tos/maliva/tos-maliva-ve-0068c799-us/4fec193570634053a154ad78712be57d/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1866&bt=933&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=M2g2ZDc6ZDU2NzZkNzk3aUBpanBvOjs6Zjh3ZjMzZzczNEAwNC1eL2FhNmAxX2IxNC0zYSNhZGlgcjQwa2xgLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=6f047644eab344c392dad724aa037e30&is_play_url=1&item_id=7147739515619233070&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjUwNmJhZGJkZWFjOGRiZjgzMDkyMDhjMGM3NzlhNzhi&source=CHALLENGE_AWEME&video_id=v12044gd0000ccotn53c77u8c7llgmdg']",1986,1480623,598
7147868533462928682,2022-09-27,6683042468457677830,Hurricane Ian Seen On Video From International Space Station.  #hurricane #HurricaneIan #Florida #Space #ISS #SpaceStation #storm #weather #tornado #news #Tampa #fyp,"['https://v77.tiktokcdn-eu.com/747f023eaa488fae91acf8853cee1218/678e19f5/video/tos/maliva/tos-maliva-ve-0068c799-us/3334e1fb306e4bcfa7faa625500b83a5/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=828&bt=414&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=Njg3aDM7aTloZWU3Ojc0N0BpM2Z1ZTg6ZnM4ZjMzZzczNEBhXzZiNF9hXzUxNV82LzNhYSNfYG5jcjRvNG1gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://v15m.tiktokcdn-eu.com/5c20a7b5a71ec65ac1f330a0ba19d6d8/678e19f5/video/tos/maliva/tos-maliva-ve-0068c799-us/3334e1fb306e4bcfa7faa625500b83a5/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=828&bt=414&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=Njg3aDM7aTloZWU3Ojc0N0BpM2Z1ZTg6ZnM4ZjMzZzczNEBhXzZiNF9hXzUxNV82LzNhYSNfYG5jcjRvNG1gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=d4612497b48b4b8eb6dfb870ee94b5d3&is_play_url=1&item_id=7147868533462928682&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmQ3MjVkNjg2OTYyNzU0ZjQ3MjE0YmE1OGY5NDI1NWYw&source=CHALLENGE_AWEME&video_id=v12044gd0000ccp57prc77u5fbqrccb0']",4639,2535781,786
7147844547807137070,2022-09-27,6683042468457677830,"Hurricane Ian to Bring Dangerous Storm Surge, Damaging Winds to Florida. #Hurricane #storm #weather #HurricaneIan #nature #prepare #tornado #news #fyp ","['https://v77.tiktokcdn-eu.com/efaa4bc84e1c5fe748ccae749835487d/678e1a06/video/tos/maliva/tos-maliva-ve-0068c799-us/e420f365c4c64231af81eb52ef559b15/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2060&bt=1030&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=NThoZDdmNWg6OjlnaTc6ZEBpanFqZTo6Zjc2ZjMzZzczNEA0MF9iNS00NS0xNDMvMTMuYSNmYmUycjRncG1gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e00088000', 'https://v15m.tiktokcdn-eu.com/544268c94c3d92ebcb17afb49155bf1e/678e1a06/video/tos/maliva/tos-maliva-ve-0068c799-us/e420f365c4c64231af81eb52ef559b15/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2060&bt=1030&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=NThoZDdmNWg6OjlnaTc6ZEBpanFqZTo6Zjc2ZjMzZzczNEA0MF9iNS00NS0xNDMvMTMuYSNmYmUycjRncG1gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=1a67442f6d7647078e720c84eabe3572&is_play_url=1&item_id=7147844547807137070&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjM0MWRlNjk4ODM2MmZhMjVhMDg2YzM0Y2FmZmIwYWIw&source=CHALLENGE_AWEME&video_id=v12044gd0000ccp3s4jc77u75bhgenig']",948,1023255,399
7148271680471829802,2022-09-28,6839850227966116870,#laboranddelivery #MomsofTikTok #hurricaneian #floridacheck ,"['https://v77.tiktokcdn-eu.com/4d53d03033a0bf070b9fe25d77eec1c3/678e19e1/video/tos/maliva/tos-maliva-ve-0068c799-us/ba53ff6fed454017a60ce3089f494a73/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1996&bt=998&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=ODo4aDRpZDQ6aGQ1aTlkO0BpamkzdTw6Znd2ZjMzZzczNEA2MGMyLmEzNjIxYjNhMWM0YSNzcF5ncjRvMm1gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b0000', 'https://v15m.tiktokcdn-eu.com/37da08bf40340c92808aaeaebe791fc5/678e19e1/video/tos/maliva/tos-maliva-ve-0068c799-us/ba53ff6fed454017a60ce3089f494a73/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1996&bt=998&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=ODo4aDRpZDQ6aGQ1aTlkO0BpamkzdTw6Znd2ZjMzZzczNEA2MGMyLmEzNjIxYjNhMWM0YSNzcF5ncjRvMm1gLS1kMS9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=78fa46df62ea4e57916adf115ef53795&is_play_url=1&item_id=7148271680471829802&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmJjMzk5MzBkNWM2YmIzMDQ3ZTA3NTgyNmVmZTIxOTI1&source=CHALLENGE_AWEME&video_id=v12044gd0000ccps5trc77u9jra0sfvg']",208,1278322,119
7147792627713248558,2022-09-26,6939312929113981957,#hurricane #hurricaneian  #hurricaneseason #hurricaneprep #LifeHack #hack #hurricaneseason #cooking #food #freezerhacks ,"['https://v77.tiktokcdn-eu.com/b83f61eb9ac4b17bdf4a7a8487e9296c/678e19e2/video/tos/maliva/tos-maliva-ve-0068c799-us/oUD6OSdtIB8vjQEO3fVJCX7DKOfaRgAjgoADFl/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=3586&bt=1793&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=NDg6ZmQzNWRlZjw2ZGRkNEBpajM6N3c5cmVrcDMzZzgzNEBeYi4wNi4tXjMxLmAuNC5fYSMzcGJuMmRjNHJgLS1kLy9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b0000', 'https://v15m.tiktokcdn-eu.com/579207c41ef30d64aff4510d978b7c6e/678e19e2/video/tos/maliva/tos-maliva-ve-0068c799-us/oUD6OSdtIB8vjQEO3fVJCX7DKOfaRgAjgoADFl/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=3586&bt=1793&cs=0&ds=6&ft=ty_4~80loaKn12NvCF38eIxRMVxMUF_45SY&mime_type=video_mp4&qs=0&rc=NDg6ZmQzNWRlZjw2ZGRkNEBpajM6N3c5cmVrcDMzZzgzNEBeYi4wNi4tXjMxLmAuNC5fYSMzcGJuMmRjNHJgLS1kLy9zcw%3D%3D&vvpl=1&l=20250119093938ECA04FFE6B4CCF6C3306&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=b11a7a1ac3194c6baa02109a3c17e5a1&is_play_url=1&item_id=7147792627713248558&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjkwODQzNDNjMTBlMDE0MTkwYjkzYjBhYjg2YjkzMGE1&source=CHALLENGE_AWEME&video_id=v12025gd0000cmuh7bfog65tq4e7s06g']",1863,2306919,337
