aweme_id,cid,create_time,text,reply_comment_total
7147128979391139114,7147155891250053930,2022-09-25,This is my first year living in Florida and I’ll be honest I’m terrified of Hurricanes I’m not ready for the mentally or emotionally! 🥺,219
7151582807192587566,7151629317943116586,2022-10-07,I would have had those cars sent well inland before the storm arrived. Even up a few floors inside a multilevel parking garage.,161
7149856973113003269,7149867032770069253,2022-10-02,Schools will remain open,143
7150685798008999211,7150761601004077870,2022-10-04,He’s doing an excellent job and Florida is grateful to have him! He’s done SO much in such a short time for us here in Arcadia,140
7147742399043931438,7147797067656987438,2022-09-26,We thank everyone coming into the storm to help save lives after. Electricity is life here with the heat and older generation!,96
7150685798008999211,7150725923848504110,2022-10-04,"omg! please, Floridians do something about this! 😳",93
7152915395798945070,7152956602879640366,2022-10-10,This lady needs the Tik Tok community to rally around her. Let’s get her more. One billion people on here.,89
7150685798008999211,7150717965482509098,2022-10-04,"I love our governor, people are just tried, he is the best for Florida 🥰",83
7151122593108741422,7151154913725956910,2022-10-06,When he made it about himself I would have lost it,77
7152915395798945070,7152915876008903467,2022-10-10,YOU ARE TELLING ME THEY DONT GIVE HER BENEFITS. WHAT THE HECK,76
7149856973113003269,7150706980750951173,2022-10-04,"We have had worse winds , remember that storm month",67
7151122593108741422,7151164552604713774,2022-10-06,Why is he here???,59
7147128979391139114,7147136888050762542,2022-09-25,I’m in fort Myers 😳,58
7150685798008999211,7150715817248260910,2022-10-04,why didn't he help??? this would been an opportunity to show hands on leadership in a time of crisis,57
7150685798008999211,7150729086286447406,2022-10-04,"Sorry Florida, we have a nasty governor in Texas too. I feel for you.❤️",56
7147128979391139114,7147157183234622250,2022-09-25,I'm in Lakeland about 40 minutes from Tampa and so scared,56
7149856973113003269,7150604431532393222,2022-10-04,We build houses out of bricks not plastic wood,52
7151122593108741422,7151177697697202990,2022-10-06,"desantis in the back singing ""why you always lying""😁",51
7148507639553576235,7148543284143194926,2022-09-28,"Now is not the time to criticize, they need help. Any rescues going on at all?",49
7151582807192587566,7151688954105660203,2022-10-07,something tells me you will be just fine,44
7147128979391139114,7147194993810391850,2022-09-25,i’m in orlando so i’m hoping i’m good,43
7157615871140285742,7157784979672793899,2022-10-23,Hint. 👀🤣 If you can’t see the Pilot House - they can’t see you. 😂,42
7151582807192587566,7151641881722569518,2022-10-07,That garage has more room than my house.,40
7151582807192587566,7151697934302872362,2022-10-07,Welp my homeowners insurance in north florida is going up next year 👍🏻,40
7154500615786204459,7154503144330887978,2022-10-15,The high end cars that are cert of destruction will most likely be sent over seas,40
7157615871140285742,7157752613047141163,2022-10-23,Mmmmh someone didn’t take pirate classes. If you did you would have know to say YO HO! Followed with ARG YE BARGE IS HITTING ME SHIP,36
7151122593108741422,7151182015956861738,2022-10-06,When it comes time to rebuild its on us in Florida insurance only pay so much our government ain’t gonna help much js,35
7147128979391139114,7147198098174673710,2022-09-25,When is this hurricane suppose to actually hit? We are going to clear water oct 5 I’m thinking about canceling,34
7156403451516210478,7156441560215896874,2022-10-20,Umm not for millions of dollars these people need a reality check. Theonly people interested are investors &they won’t spend that money guaranteed,33
7147128979391139114,7147154443640308523,2022-09-25,"I'm right on the water in New Port Richey, FL Pinellas/Pasco border, earlier it showed it as hitting us almost head on, I'm use to hurricanes but my",31
7155134235852950826,7155533061857461035,2022-10-17,NOOO CRABTREE IS SUCH A GOOD MALL WHT,30
7156403451516210478,7156406726555370282,2022-10-20,Insurance would be a nightmare as well.,28
7157615871140285742,7157737233013359406,2022-10-23,I thought larger vessel has the wright of way,27
7151122593108741422,7151162158227850030,2022-10-06,Man I wish I could find out want Desantis was thinking,27
7150048060478115118,7150060366740472622,2022-10-03,What do you even do in this situation? 😳,26
7148581794428816683,7148651767667278635,2022-09-29,"My bf is in North Ft Myers, he stayed. Last I heard from him was 3pm and now my messages don't go thru :(",25
7151122593108741422,7151158670058930986,2022-10-06,Desantis face says it all,24
7157615871140285742,7157688815764243246,2022-10-23,YOOOO!!!! YOOOOOO!! yes it is actually happening.. HIT THE THROTTLE TURN OFF COURSE or just Yell YOOOO!!!! LOL,23
7157615871140285742,7157735725570589482,2022-10-23,Why didn’t you yell “YO” into the VHF radio mic?,22
7155497775310916910,7155643768456299310,2022-10-18,Why is the water so brown,22
