id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7146640218739723563,2022-09-23,6603781368773361669,Welcome to the Jungle… #florida #floridaman #hurricanehermine #hurricaneian,"['https://v77.tiktokcdn-eu.com/30432e890a177becfb13b21ada1accdc/678f69f9/video/tos/maliva/tos-maliva-ve-0068c799-us/d6878faabfed4e84adb1b1f62f7579e4/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1542&bt=771&cs=0&ds=6&ft=p6JrAMMK8Zmo0iLrHb4jVMhF~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZGY8NTM7ZWQ8N2Y2NjszOUBpM2Q1Ozs6Zml5ZjMzZzczNEAyMzYuMzYwXjQxXzI0NTBhYSMzYjVhcjRvYmpgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120093325E6544247D818EDE7CAAE&btag=e000b8000', 'https://v45.tiktokcdn-eu.com/1cb887b860d36b9f0ac01c96cc3109a3/678f69f9/video/tos/maliva/tos-maliva-ve-0068c799-us/d6878faabfed4e84adb1b1f62f7579e4/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1542&bt=771&cs=0&ds=6&ft=p6JrAMMK8Zmo0iLrHb4jVMhF~SWrKsd.&mime_type=video_mp4&qs=0&rc=ZGY8NTM7ZWQ8N2Y2NjszOUBpM2Q1Ozs6Zml5ZjMzZzczNEAyMzYuMzYwXjQxXzI0NTBhYSMzYjVhcjRvYmpgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120093325E6544247D818EDE7CAAE&btag=e000bd000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=d630887353bc4479aa3b986012996c5a&is_play_url=1&item_id=7146640218739723563&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjIyOWZhZjk4NjQ4NWQ0MTM1OGY0N2ZiZjAzN2I1OTNl&source=CHALLENGE_AWEME&video_id=v12044gd0000ccmvefrc77u8d882ea60']",4132,323395,613
7146891037787835694,2022-09-24,6865054517386806277,Florida greeting hurricanes #hurricane #florida #tropicalstorm #hurricaneian #slayer ,"['https://v77.tiktokcdn-eu.com/ad1497f06331bf9c5d9075db9f51c9ff/678f69d8/video/tos/maliva/tos-maliva-ve-0068c799-us/62604d164cae4f2a908e89386655575f/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=824&bt=412&cs=0&ds=1&ft=XsFbEqT0mX9PD12zEeyJ3wU47WBJaeF~O5&mime_type=video_mp4&qs=0&rc=M2Q6M2Y6OjczOTM2NjNoOEBpank7dDM6ZjtnZjMzZzczNEBjYy4xMWExNTAxMS82Ll4yYSNqNTRncjRna2tgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012009330243425B185B15D6DF8B60&btag=e000b0000', 'https://v16m.tiktokcdn-eu.com/918a0bf29e5ed0be88f697730be265fe/678f69d8/video/tos/maliva/tos-maliva-ve-0068c799-us/62604d164cae4f2a908e89386655575f/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=824&bt=412&cs=0&ds=1&ft=XsFbEqT0mX9PD12zEeyJ3wU47WBJaeF~O5&mime_type=video_mp4&qs=0&rc=M2Q6M2Y6OjczOTM2NjNoOEBpank7dDM6ZjtnZjMzZzczNEBjYy4xMWExNTAxMS82Ll4yYSNqNTRncjRna2tgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012009330243425B185B15D6DF8B60&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=55ae1093234046308447d74c4017faf0&is_play_url=1&item_id=7146891037787835694&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjQ4MDZjOWNkNjVmYTQ5YzdjNDY4ZTUyMmM2Zjc0MDRm&source=CHALLENGE_AWEME&video_id=v12044gd0000ccndn8jc77u0jq788vmg']",13402,1346467,1785
7147128979391139114,2022-09-25,6935805351829685254,#hurricaneian #ian #florida #stateofemergency ,"['https://v16m.tiktokcdn-eu.com/891c75177f05f740e7dc3e420cb03e54/678f69e1/video/tos/maliva/tos-maliva-ve-0068c799-us/168a12b593e54c339efafc7c226436ae/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=6384&bt=3192&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SZMyRBPXtja61-xyqF_4&mime_type=video_mp4&qs=0&rc=Zjg0ZGdnOjw1OzhmZDw8O0BpM3Y2cTk6Zmp1ZjMzZzczNEA2L2IxNTMvXy8xL2JhYDU2YSNjZy5xcjRnMmtgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012009325834CE2C6CE0914DE4D1CE&btag=e000b8000', 'https://v45.tiktokcdn-eu.com/7e00abeea82a8204ffadf214c2f1fbdf/678f69e1/video/tos/maliva/tos-maliva-ve-0068c799-us/168a12b593e54c339efafc7c226436ae/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=6384&bt=3192&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SZMyRBPXtja61-xyqF_4&mime_type=video_mp4&qs=0&rc=Zjg0ZGdnOjw1OzhmZDw8O0BpM3Y2cTk6Zmp1ZjMzZzczNEA2L2IxNTMvXy8xL2JhYDU2YSNjZy5xcjRnMmtgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012009325834CE2C6CE0914DE4D1CE&btag=e000bd000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=9889c9daec254822b9276d8d4ae1259c&is_play_url=1&item_id=7147128979391139114&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmVhNjhkMjM1ZTE1YmVmNTVjODEzMmMxMmJiM2EzN2Yw&source=CHALLENGE_AWEME&video_id=v12044gd0000ccnr5gjc77u6tn13jsf0']",9047,6085683,3099
7147742399043931438,2022-09-26,6980433469270033413,#stormwork #hurricane #hurricaneian #florida #fypシ #foryoupage ,"['https://v45.tiktokcdn-eu.com/c00e545346ba923a0524fbc3c5646742/678f69dc/video/tos/maliva/tos-maliva-ve-0068c799-us/aaf35c7342f94786943268a31c2ab1c5/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=5604&bt=2802&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SFMyRBPXtja61-xyqF_4&mime_type=video_mp4&qs=0&rc=aDw6Zzk8MztpaTxlOWUzOkBpMzxrZjM6ZnV4ZjMzZzczNEBjNC82Yy9eXl8xLTQwMmA1YSNfX2IzcjQwLWxgLS1kMS9zcw%3D%3D&vvpl=1&l=202501200932568DB8352B12E12FEB871D&btag=e000bd000', 'https://v15m.tiktokcdn-eu.com/c79ed8743f799cba3d6ed1203e061cb5/678f69dc/video/tos/maliva/tos-maliva-ve-0068c799-us/aaf35c7342f94786943268a31c2ab1c5/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=5604&bt=2802&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SFMyRBPXtja61-xyqF_4&mime_type=video_mp4&qs=0&rc=aDw6Zzk8MztpaTxlOWUzOkBpMzxrZjM6ZnV4ZjMzZzczNEBjNC82Yy9eXl8xLTQwMmA1YSNfX2IzcjQwLWxgLS1kMS9zcw%3D%3D&vvpl=1&l=202501200932568DB8352B12E12FEB871D&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=87c05b367b094fbfa8a029f69d2779fe&is_play_url=1&item_id=7147742399043931438&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmE0YjE4YjQyMWRhYTAwYTAyOTQ5ZmE3NDFkNDU2YTBi&source=CHALLENGE_AWEME&video_id=v12044gd0000ccou0r3c77u06cehb9b0']",13258,2484533,5629
7147826662787517742,2022-09-27,6758580322201814022,😂😂 Nah people in Florida take evey Hurricane as a joke… Not me tho 😪 #fyp #hurricaneian #hurricane #florida #viral #zmang #highschool #college #hurricaneseason #news ,"['https://v77.tiktokcdn-eu.com/ddd027df76e774f56ecb838ee0494435/678f69d8/video/tos/maliva/tos-maliva-ve-0068c799-us/5f23c6c37cd14b9383d97806dff6fe52/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3748&bt=1874&cs=0&ds=6&ft=XsFbEqT0mgdPD124EeyJ3wUSTmtSjeF~O5&mime_type=video_mp4&qs=0&rc=ZGQzOzg0Zzg2OjRkNzszO0BpamlkNDQ6Zjo1ZjMzZzczNEBhMS82MjE2X18xYzFgNjA0YSNxLy1scjRfbm1gLS1kMS9zcw%3D%3D&vvpl=1&l=202501200932588F9E274E61A01AEC1780&btag=e000b0000', 'https://v16m.tiktokcdn-eu.com/0959c80d566426002b312b230b6df343/678f69d8/video/tos/maliva/tos-maliva-ve-0068c799-us/5f23c6c37cd14b9383d97806dff6fe52/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3748&bt=1874&cs=0&ds=6&ft=XsFbEqT0mgdPD124EeyJ3wUSTmtSjeF~O5&mime_type=video_mp4&qs=0&rc=ZGQzOzg0Zzg2OjRkNzszO0BpamlkNDQ6Zjo1ZjMzZzczNEBhMS82MjE2X18xYzFgNjA0YSNxLy1scjRfbm1gLS1kMS9zcw%3D%3D&vvpl=1&l=202501200932588F9E274E61A01AEC1780&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=783098c44af147b3b59d415598204ada&is_play_url=1&item_id=7147826662787517742&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjRlOTIxNGQwYjRhZThkNjU1ZWU2YTJlMGI5Mjk5YTYw&source=CHALLENGE_AWEME&video_id=v12044gd0000ccp2q7bc77u1o10a2ftg']",11372,1372885,6242
7148507639553576235,2022-09-28,7056593308990440494,RESCUE HELP NEEDED AS SOON AS POSSIBLE!!  3 adults and a rabbit Water is coming in their apartment and they only have about 2ft left 271 Fairweather Ft Myers beach- mid island- address coming soon. #hurricaneIan #rescueneeded #ftmyersbeach #searchandrescue #floridanationalguard #louisianacajunnavy ,"['https://v58.tiktokcdn-eu.com/video/tos/maliva/tos-maliva-ve-0068c799-us/375b04a404564f62a95c17f465cb60ed/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=824&bt=412&cs=0&ds=6&ft=pfEtKMzD8Zmo0WLrHb4jV_XHzVWrKsd.&mime_type=video_mp4&qs=0&rc=Mzo8OmhnMzZnM2Q3NTg4NEBpajZvazo6ZnI8ZjMzZzczNEAwNDVgNi9jNi0xYS9iYV82YSNrZC4xcjRvZm5gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120093302EFD90499BBCE0CE8CC50&VExpiration=1737452001&VSignature=2AoGVntvIisnS7EsEZNRNg&btag=e000b8000', 'https://v77.tiktokcdn-eu.com/4afd9fab3664e06130095d07ca34621c/678f69e1/video/tos/maliva/tos-maliva-ve-0068c799-us/375b04a404564f62a95c17f465cb60ed/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=824&bt=412&cs=0&ds=6&ft=pfEtKMzD8Zmo0WLrHb4jV_XHzVWrKsd.&mime_type=video_mp4&qs=0&rc=Mzo8OmhnMzZnM2Q3NTg4NEBpajZvazo6ZnI8ZjMzZzczNEAwNDVgNi9jNi0xYS9iYV82YSNrZC4xcjRvZm5gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120093302EFD90499BBCE0CE8CC50&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=91b5d5e224da400d93f02d9ec7897730&is_play_url=1&item_id=7148507639553576235&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjkxNTc0MzYwMDc0YmY2ZmQ0OTY3NTZiOGFiYzVmNjg2&source=CHALLENGE_AWEME&video_id=v12044gd0000ccq9iorc77u74h1lg3ng']",9983,1798567,8863
7148581794428816683,2022-09-29,6618333664294895621,#FortMyers #HurricaneIan #SWFL #Boat,"['https://v77.tiktokcdn-eu.com/de311cb76e0d400c7a5a8e703b76c92a/678f6a01/video/tos/maliva/tos-maliva-ve-0068c799-us/34b0f88225b44322bb6f2f72ad6f2b85/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3162&bt=1581&cs=0&ds=6&ft=XsFbEqT0mI2PD12GEeyJ3wU.cEYZaeF~O5&mime_type=video_mp4&qs=0&rc=aTVkaDxoOzZkZGRpNDM6aEBpajY3ZWg6ZnNnZjMzZzczNEA2Li4uYTEzXjYxNWI2NTBiYSNjYS8wcjRvaW5gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120093255490E77B07F6E39ED2705&btag=e00088000', 'https://v58.tiktokcdn-eu.com/video/tos/maliva/tos-maliva-ve-0068c799-us/34b0f88225b44322bb6f2f72ad6f2b85/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3162&bt=1581&cs=0&ds=6&ft=XsFbEqT0mI2PD12GEeyJ3wU.cEYZaeF~O5&mime_type=video_mp4&qs=0&rc=aTVkaDxoOzZkZGRpNDM6aEBpajY3ZWg6ZnNnZjMzZzczNEA2Li4uYTEzXjYxNWI2NTBiYSNjYS8wcjRvaW5gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120093255490E77B07F6E39ED2705&VExpiration=1737452033&VSignature=onc2D4-ty_sQ3NL3sX-jWQ&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=ee378091ef8a4a9aa3684ed91e1a129f&is_play_url=1&item_id=7148581794428816683&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjc4MWUwMjZlZjZiOGViODBjOGVkYzY0MWEwMDZlMmQ2&source=CHALLENGE_AWEME&video_id=v12044gd0000ccqdlprc77ue3b24d3fg']",85321,15116694,17079
7149273125157424389,2022-09-30,6666826928797777925,,"['https://v45.tiktokcdn-eu.com/f4a60304944b4788ada9cbf2abc049b4/678f6a02/video/tos/useast2a/tos-useast2a-pve-0068/a81bec6cef0a47db806b4f48d16cdc92/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3852&bt=1926&cs=0&ds=6&ft=td_Lr8QLodzR12NvTF_8eIxRtmhY73_45SY&mime_type=video_mp4&qs=0&rc=NGVkODVpOjo5OWRmNTlkO0Bpajhoczc6ZnRvZjMzNzczM0A1YjZgLTAyXzYxXy0zMF5eYSM2YmNrcjRvL29gLS1kMTZzcw%3D%3D&vvpl=1&l=20250120093301F5F2EDD891DF7CED2899&btag=e0008d000', 'https://v15m.tiktokcdn-eu.com/123fd0e1373bf66eb424e22f61abd36f/678f6a02/video/tos/useast2a/tos-useast2a-pve-0068/a81bec6cef0a47db806b4f48d16cdc92/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3852&bt=1926&cs=0&ds=6&ft=td_Lr8QLodzR12NvTF_8eIxRtmhY73_45SY&mime_type=video_mp4&qs=0&rc=NGVkODVpOjo5OWRmNTlkO0Bpajhoczc6ZnRvZjMzNzczM0A1YjZgLTAyXzYxXy0zMF5eYSM2YmNrcjRvL29gLS1kMTZzcw%3D%3D&vvpl=1&l=20250120093301F5F2EDD891DF7CED2899&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=a8aa36620cba4696b7573f02c59aeb81&is_play_url=1&item_id=7149273125157424389&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmMyZWY4Y2FiNjkxYzQwZjJmMWM2ZWZkYmI5YWE3MTkw&source=CHALLENGE_AWEME&video_id=v09044g40000ccrl2qrc77u4npfee59g']",306,523675,13212
7149626618011667758,2022-10-01,6951041408883491845,Fort Myers Beach before and after Hurricane Ian 💔 Makes me want to cry. More on IG - livinmiami305 📸: remotepilotmike and @burnthesky #fortmyersflorida #fortmyers #fortmyersbeach #fortmyersbeachflorida #ftmyersflorida #ftmyers #hurricaneian #fortmyerspier #ftmyersbeach ,"['https://v16m.tiktokcdn-eu.com/990f5fc8a5799b4a6c470fba5c61bead/678f69dc/video/tos/maliva/tos-maliva-ve-0068c799-us/b2f5159946f54f6eb4cf52f73f855b7a/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2482&bt=1241&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SZMyRBPXtja61-xyqF_4&mime_type=video_mp4&qs=0&rc=aGg3M2k8N2Y7ODxlaTYzNEBpMzpvdDg6Znk8ZjMzZzczNEBhXi9jXi8tXmExLzIvNTM2YSMybmpucjRfMnBgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012009325834CE2C6CE0914DE4D1CE&btag=e000b8000', 'https://v45.tiktokcdn-eu.com/2166e6eca735131ae996a5a677e8adbd/678f69dc/video/tos/maliva/tos-maliva-ve-0068c799-us/b2f5159946f54f6eb4cf52f73f855b7a/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2482&bt=1241&cs=0&ds=6&ft=FczkaNdkVcy5Uxl7KStG-XD5SZMyRBPXtja61-xyqF_4&mime_type=video_mp4&qs=0&rc=aGg3M2k8N2Y7ODxlaTYzNEBpMzpvdDg6Znk8ZjMzZzczNEBhXi9jXi8tXmExLzIvNTM2YSMybmpucjRfMnBgLS1kMS9zcw%3D%3D&vvpl=1&l=2025012009325834CE2C6CE0914DE4D1CE&btag=e000bd000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=9160832f5b2945d8ac0429aff024aede&is_play_url=1&item_id=7149626618011667758&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjJlOWRkMWQwNzU3ZDVhMmYwODY5NzRkOWVlNzdlMTZi&source=CHALLENGE_AWEME&video_id=v12044gd0000ccs95vbc77u5qqmlq750']",58122,12862996,9080
7149856973113003269,2022-10-02,6850511303556383750,🌪️ #fyp #uk #usa #hurricaneian ,"['https://v77.tiktokcdn-eu.com/c5977c8238150c086f933ce71b32178b/678f69d5/video/tos/useast2a/tos-useast2a-ve-0068c001/2abd45d739f947dfae7982b93dae12e3/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=672&bt=336&cs=0&ds=6&ft=XsFbEqT0mmjPD12zEeyJ3wUvBWHyMeF~O5&mime_type=video_mp4&qs=0&rc=aDk8NGdkZjY7ZzY2ZTM3ZEBpajpmcmY6ZmlwZjMzNzczM0A0XzI1MGEyNTExLzEwX19hYSNnLWxtcjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=20250120093302581972A7A75727EC55F7&btag=e000b0000', 'https://v16m.tiktokcdn-eu.com/6f98b035699cd50e7a493b0ac021b737/678f69d5/video/tos/useast2a/tos-useast2a-ve-0068c001/2abd45d739f947dfae7982b93dae12e3/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=672&bt=336&cs=0&ds=6&ft=XsFbEqT0mmjPD12zEeyJ3wUvBWHyMeF~O5&mime_type=video_mp4&qs=0&rc=aDk8NGdkZjY7ZzY2ZTM3ZEBpajpmcmY6ZmlwZjMzNzczM0A0XzI1MGEyNTExLzEwX19hYSNnLWxtcjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=20250120093302581972A7A75727EC55F7&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=dab4b03b43234d48835cda3d8159b67e&is_play_url=1&item_id=7149856973113003269&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjQ5NjViNTE0ZWIyMjVkYzE1N2QwMjZlMGE3NDRhNmI5&source=CHALLENGE_AWEME&video_id=v09044g40000ccsm9f3c77ucpooc07jg']",3404,1822983,3991
