aweme_id,cid,create_time,text,reply_comment_total
7273191672803101994,7273223272096285486,2023-08-30,"The second hand embarrassment for people that do not understand what the $700 was for, and the whole process is real 😳",153
7273191672803101994,7273230716459189035,2023-08-30,I'm not sure why they bother to allow Fox news to have press credentials when they aren't actually interested in asking real questions,115
7272535297378766123,7273434196776174366,2023-08-31,why are you so calm 😭 “and no insurance doesn’t cover my entire unearthed pool 😁☺️!!”,89
7272071106490600747,7272137828543791903,2023-08-28,"New To Florida. Just nine months. First experience here and everyone around me is like don’t worry, it’s not gonna be bad. I’m like 🫣 thank you",81
7273191672803101994,7273225367933993770,2023-08-30,Do people think all the rest of the people who work in the federal government are sitting around with their feet up when he’s on vacation?,78
7272071106490600747,7272110483233407787,2023-08-27,can you make video educating us? i'm new to florida and i've bought dry goods and toilet paper and stuff but what else do i need to be prepared,63
7272071106490600747,7272186833324540714,2023-08-28,*sips tea safe in Orlando*,58
7272071106490600747,7272143736187929387,2023-08-28,"I’ve lived in FL for 21 years. never downplay a storm, ever. I prepare year round.",58
7272071106490600747,7272146686724834090,2023-08-28,cries in fort myers 😭 we are still recovering from Ian.,52
7273191672803101994,7273253126579700522,2023-08-31,Do people understand the amount of time to prep in a hurricane compared to a wild fire . Days compare to hours,51
7273191672803101994,7273206315648090922,2023-08-30,Hope Peter does follow up with Hawaiis state officials & see what they say about the response time,50
7274007768485367083,7274051046056887083,2023-09-02,"Ron Desatan has got to get voted out of office in Florida, enough of this foolishness",42
7272071106490600747,7272363552219317038,2023-08-28,Are u new to fl?,38
7272071106490600747,7272109404919841566,2023-08-27,As a new person who is new to Florida this made me go to the stores asap thank you !,35
7272071106490600747,7272163853840597806,2023-08-28,Lived in soflo my whole life I’ll continue to remain unconcerned till cat 3,32
7271643255589080362,7271693781249786667,2023-08-26,Native Floridians & South Georgia don’t get concerned unless it’s cat 3+…otherwise it’s just windy rain and more annoying than anything 😂,26
7276160111658388782,7276166827376542507,2023-09-07,even the flamingo 🦩are running away from Florida,26
