aweme_id,cid,create_time,text,reply_comment_total
7273191672803101994,7273236002486649643,2023-08-30,"Can somebody remind me exactly how many days Joe has been on vacation, and compare that with previous Presidents. Thanks.",214
7273191672803101994,7273223272096285486,2023-08-30,"The second hand embarrassment for people that do not understand what the $700 was for, and the whole process is real 😳",153
7273191672803101994,7273230716459189035,2023-08-30,I'm not sure why they bother to allow Fox news to have press credentials when they aren't actually interested in asking real questions,115
7272535297378766123,7273252929049412395,2023-08-30,omg how do you have a pool right on the ocean?,114
7273191672803101994,7273273685847737130,2023-08-31,Didn’t he call the governor within about an hour and have the coast guard and navy help then fema too.,102
7273191672803101994,7273282040174297898,2023-08-31,Fox in court filings said they are an entertainment channel and not a journalism firm. Why does fox have credentials to be in WH,94
7272535297378766123,7273434196776174366,2023-08-31,why are you so calm 😭 “and no insurance doesn’t cover my entire unearthed pool 😁☺️!!”,89
7273191672803101994,7273225367933993770,2023-08-30,Do people think all the rest of the people who work in the federal government are sitting around with their feet up when he’s on vacation?,78
7273191672803101994,7273225852493169438,2023-08-30,"I believe doozy may be a little challenged,so it’s important to speak to him in the same context which he asks",70
7273191672803101994,7273253126579700522,2023-08-30,Do people understand the amount of time to prep in a hurricane compared to a wild fire . Days compare to hours,51
7273191672803101994,7273206315648090922,2023-08-30,Hope Peter does follow up with Hawaiis state officials & see what they say about the response time,50
7272389824391269674,7272460267614618411,2023-08-28,"Yeah, cat 3 is no joke. I remember how pretty the sky was a few days before Katrina.",47
7288021537909787937,7288263565591724806,2023-10-10,😃😃😃 Quel est le titre du film ?,45
7274007768485367083,7274051046056887083,2023-09-02,"Ron Desatan has got to get voted out of office in Florida, enough of this foolishness",42
7272535297378766123,7272541753684394795,2023-08-29,I was telling my mom about this earlier because we have problems with the pool here on Long Island from Hurricane Sandy!,39
7273191672803101994,7273200963258123051,2023-08-30,"Nah, the response time was terrible and they didn’t use the sirens, and blocked cars in to be burned",37
7272535297378766123,7272604662254469930,2023-08-29,What do you mean insurance won’t cover anything exterior? Did you not have the pool stated under the home insurance policy?,33
7273191672803101994,7273196909619118891,2023-08-30,"Hahahahah!!! Just because you say it like it’s not a lie, it’s still a lie! Great question Peter!!",30
7272389824391269674,7272484354344387370,2023-08-28,"But sometimes it does turn very serious. Born and raised in Ft Myers, we will never take a storm lightly again after Ian.",28
7271643255589080362,7271693781249786667,2023-08-26,Native Floridians & South Georgia don’t get concerned unless it’s cat 3+…otherwise it’s just windy rain and more annoying than anything 😂,26
