id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7271051377613212971,2023-08-25,7097557512820393003,hurricane idalia 2023 #florida #hurricane #tropicalstorm #islands #tropicaldepression #hurricaneidalia #weather #2023 #fyp #fypp #fypシ゚viral #viral #hurricaneseason #hurricaneseason2023 #🌀 #hurricaneidalia2023 #hurricaneharold #hurricaneharold2023 #tropicalstormharold2023 ,['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000cjjv8vrc77ud7dl06lig&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7271051377613212971&sign=aecffb40b684e4fb8d6fde3207f2200d&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjgzZmE4ZWFiOWQ5M2M4MzBkMzQyYmQ2YzM0NmYyZjk0&shp=d05b14bd&shcp=-'],19,12697,36
7271643255589080362,2023-08-26,6782720514957067269,#TropicalStormIdalia likely to form over the next 48 hours. Growing concern for possible hurricane impact in #Florida by Tuesday-Wednesday. Start simple preparations this wekeend as the forecast becomes more fine tuned with track & intensity. #Idalia #HurricaneIdalia #TropicalStorm #FloridaHurricane #FloridaStorm ,"['https://v77.tiktokcdn-eu.com/3f5d6325e016b9ab14f60c97430b95e8/678f704a/video/tos/maliva/tos-maliva-ve-0068c799-us/o0V2dNQVIhq8VEbBQEyCqzYAdUUppjHtwAKfzI/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2544&bt=1272&cs=0&ds=6&ft=XsFbEqT0mmjPD12wAeyJ3wU5hWHyMeF~O5&mime_type=video_mp4&qs=0&rc=NjVpZjM8aTQ1OmRkNjg7NkBpamRsZGc6ZnUzbTMzZzczNEA2NC9jMGIyNjUxNDExNjMyYSNeNGMycjRfcWlgLS1kMS9zcw%3D%3D&vvpl=1&l=202501200957461F21C4946F92C4E5FCF8&btag=e00090000', 'https://v58.tiktokcdn-eu.com/video/tos/maliva/tos-maliva-ve-0068c799-us/o0V2dNQVIhq8VEbBQEyCqzYAdUUppjHtwAKfzI/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2544&bt=1272&cs=0&ds=6&ft=XsFbEqT0mmjPD12wAeyJ3wU5hWHyMeF~O5&mime_type=video_mp4&qs=0&rc=NjVpZjM8aTQ1OmRkNjg7NkBpamRsZGc6ZnUzbTMzZzczNEA2NC9jMGIyNjUxNDExNjMyYSNeNGMycjRfcWlgLS1kMS9zcw%3D%3D&vvpl=1&l=202501200957461F21C4946F92C4E5FCF8&VExpiration=1737453642&VSignature=uesrKsbHtrzHRfcZ7teKsA&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=536895434a7a4782915fe930fc2f7293&is_play_url=1&item_id=7271643255589080362&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjYyNzY2MmNlYmQyMGE3Njg2ODNlNzhkZmNkZWZmZTFk&source=CHALLENGE_AWEME&video_id=v12044gd0000cjl0trbc77ud5afi7aag']",1440,142843,286
7272071106490600747,2023-08-27,6966634939376157702,"The arrogance and flippant attitude of some of you is crazy to me. Please pay attention, prepare, early, and stay safe. THERE’S NO HARM IN TREATING IT LIKE IT COULD BE A BIGGER PROBLEM. #hurricaneidalia #florida #hurricaneidalia2023 ",['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000cjlpakjc77u6t0n8fio0&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7272071106490600747&sign=ebb9366cbb2148f378cc05407be20731&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmNlMjhiY2Q1ZDM1MWEyN2UzNjIwMTNiODdjMzJhNDRj&shp=d05b14bd&shcp=-'],7031,673424,5197
7272389824391269674,2023-08-28,6787453173931852805,#denisphillips #hurricaneidalia 🌀#jennysellstheblock #tamparealtor @Rule #7 ,"['https://v77.tiktokcdn-eu.com/723e5c9464024a9e6f5005d404b2aaf2/678f6feb/video/tos/maliva/tos-maliva-ve-0068c799-us/okLEy7QnDeuWABSuUkLzRGgQMDIpbDenUsuDzr/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=3122&bt=1561&cs=0&ds=6&ft=XsFbEqT0mI2PD128AeyJ3wU1YJkhEeF~O5&mime_type=video_mp4&qs=0&rc=OTlpaGlnZWc6NGY4Z2k8NkBpM3g8eDg6ZmZlbTMzZzczNEAxNTE2LmMtXjQxYC8zLy5iYSNfYjZkcjRvM2pgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120095739808E6DD98FAF9AE20A78&btag=e00090000', 'https://v16m.tiktokcdn-eu.com/e355b265b5215ea1e5663d0745f810a7/678f6feb/video/tos/maliva/tos-maliva-ve-0068c799-us/okLEy7QnDeuWABSuUkLzRGgQMDIpbDenUsuDzr/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&br=3122&bt=1561&cs=0&ds=6&ft=XsFbEqT0mI2PD128AeyJ3wU1YJkhEeF~O5&mime_type=video_mp4&qs=0&rc=OTlpaGlnZWc6NGY4Z2k8NkBpM3g8eDg6ZmZlbTMzZzczNEAxNTE2LmMtXjQxYC8zLy5iYSNfYjZkcjRvM2pgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120095739808E6DD98FAF9AE20A78&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=e3192f6d25cc4177ad0bfd1f9e4f8646&is_play_url=1&item_id=7272389824391269674&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjNjZjcxODBiOWU4NWU1MzIwNjBiYjczYWMwOGIwZjI2&source=CHALLENGE_AWEME&video_id=v12044gd0000cjmb6crc77u5gu99eub0']",1728,1301460,1931
7272535297378766123,2023-08-29,6790813865506636805,Please dont drain your pool! Praying for all my fellow Florida friends. Hurricane Idalia isnt looking so good right now  🙏#hurricaneidalia ,"['https://v45.tiktokcdn-eu.com/83c7d73aac2a9cf14271688a876b1237/678f6fdb/video/tos/maliva/tos-maliva-ve-0068c799-us/oQPtIBg7bAIaYvv2QnRkfYByPDDS8EMN8TWUUe/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=5120&bt=2560&cs=0&ds=6&ft=td_Lr8QLodzR12Nvmi_8eIxR~vxe~3_45SY&mime_type=video_mp4&qs=0&rc=ZmZoZDxpOWZkOjhpO2hnN0BpMzR2Omk6ZmxtbTMzZzczNEAvMDRiYGFjNjExNTUxXjFiYSNtbm1jcjQwa2pgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120095739C0938483ADBE7EE7249B&btag=e00095000', 'https://v15m.tiktokcdn-eu.com/a815afc619a0b85f26fe439454f7ba75/678f6fdb/video/tos/maliva/tos-maliva-ve-0068c799-us/oQPtIBg7bAIaYvv2QnRkfYByPDDS8EMN8TWUUe/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=5120&bt=2560&cs=0&ds=6&ft=td_Lr8QLodzR12Nvmi_8eIxR~vxe~3_45SY&mime_type=video_mp4&qs=0&rc=ZmZoZDxpOWZkOjhpO2hnN0BpMzR2Omk6ZmxtbTMzZzczNEAvMDRiYGFjNjExNTUxXjFiYSNtbm1jcjQwa2pgLS1kMS9zcw%3D%3D&vvpl=1&l=20250120095739C0938483ADBE7EE7249B&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=e44dae488f85474a9cf6dfc9ea7e3c2c&is_play_url=1&item_id=7272535297378766123&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjE3Mjc5YmQ1Y2ZkYzk2Y2M2OTZhMTliNmM2MjZlYWQy&source=CHALLENGE_AWEME&video_id=v12044gd0000cjmjni3c77uff7psq1p0']",11233,26980257,3796
7273191672803101994,2023-08-30,6610797907615940613,White House Press Secretary Karine Jean-Pierre pushed back on a question of the Administrations response to the #Hawaii wildfires in comparison to the response to #HurricaneIdalia. #news #newsweek #politics #FEMA #whitehouse ,['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000cjnot0jc77ua4olkd66g&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7273191672803101994&sign=5305f8f92def0d5e6b9ba2dae73a4e87&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjMyZDk5NzNiNWUxOGVlMDNkOWIyYjU1MTkwMzU3NThi&shp=d05b14bd&shcp=-'],590,504711,3964
7273270653707390241,2023-08-31,7239587261129704454,"In seconds, the Idalia tsunami formed #idalia #hurricaneidalia #tropics #florida #flwx #bigbend #cedarkey #news #usnews #newstiktok #worldnews #weather #trending #fyp #foryoupage  #hurricane #hurricanes",['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v0f044gc0000cjntbs3c77u5v17is3d0&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7273270653707390241&sign=97ca03a1f54e65c4785a4dce4437a7f5&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjYyNWJkZTE0OGVhZWUxMDAyMTlkNmRhY2E2ZWU0ODEw&shp=d05b14bd&shcp=-'],19893,16468067,4096
7273620466760305963,2023-09-01,7176441536266404907,"Makes me sad that out of all the cars that could’ve got out and helped these men clear the roads for “us” to drive on, only me and one other gentleman did. I aint lazy and I will never think im to good or proud to help out. Team work makes the dream work 🙌🏽 good energy goes a long ways! Always sharing the love ♥️ #idalia #hurricane #hurricaneidalia #countrybarbiinaenae #foryou #foryoupage #fypシ #fyp #countrygirl #countrylife #goodvibes ",['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000cjohe03c77uftfhn8j40&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7273620466760305963&sign=09ee98febf5d51e9ac66cc294a7436a4&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmU5ZDQ4MTBhY2ZlMDg0ZDA4NDRkNzdmYWRkMzUxZTk3&shp=d05b14bd&shcp=-'],5710,531473,892
7274007768485367083,2023-09-02,6847548206487340038,The Florida governor rejected millions in climate funding. Now his state is suffering from a storm fueled by climate change. Florida Governor Ron DeSantis rejected $350 million in federal funds meant to help tackle climate change—just months before Hurricane Idalia flooded his state. #fyp #ToniWu #hurricaneidalia #🧿 #topgov,"['https://v16m.tiktokcdn-eu.com/69a72e4fde39a614810f8556e563ff39/678f701f/video/tos/maliva/tos-maliva-ve-0068c799-us/ooI8jRBkaeydrfpKAkTz6gQESmDNAAV1CEFdhT/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=722&bt=361&cs=0&ds=6&ft=XsFbEqT0mgdPD12dAeyJ3wUy2mtSjeF~O5&mime_type=video_mp4&qs=0&rc=MzgzNDQ2PDQ3PDs1ODM4Z0BpMzlkcTM6ZjM6bTMzZzczNEAwLzRfNTQ0Ni0xXzEtYjEzYSNmZzVecjQwX21gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120095746C675EC61453BD4E115C1&btag=e00090000', 'https://v77.tiktokcdn-eu.com/c803253a531477d0e9d7db0854aacf1f/678f701f/video/tos/maliva/tos-maliva-ve-0068c799-us/ooI8jRBkaeydrfpKAkTz6gQESmDNAAV1CEFdhT/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=722&bt=361&cs=0&ds=6&ft=XsFbEqT0mgdPD12dAeyJ3wUy2mtSjeF~O5&mime_type=video_mp4&qs=0&rc=MzgzNDQ2PDQ3PDs1ODM4Z0BpMzlkcTM6ZjM6bTMzZzczNEAwLzRfNTQ0Ni0xXzEtYjEzYSNmZzVecjQwX21gLS1kMS9zcw%3D%3D&vvpl=1&l=20250120095746C675EC61453BD4E115C1&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=6d45e00542b8490491797381b1702530&is_play_url=1&item_id=7274007768485367083&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjI0OGUwZjUxYWY1NzNjN2E2OWQxMWY3ZDQyYzk1YTZk&source=CHALLENGE_AWEME&video_id=v12044gd0000cjp7b03c77u0an8aj6i0']",1486,113686,1105
7274413941835681070,2023-09-03,6808945376549962758,President Biden represents all Americans. He shows that every day. This petty DeSantis and GOP crap needs to stop! #rondesantis #presidentbiden #hurricaneidalia #darkbrandon #florida #meidastouch ,['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000cjpugnjc77ucc3s0bnb0&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7274413941835681070&sign=45b67bac859edeea5e604301f25ec87d&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjhjZTdjMDQ4MzA0MGQ2NThjNzgwMGJlNjllODgwYjJi&shp=d05b14bd&shcp=-'],59,52421,199
