,source,target,weight,source_word,target_word,source_community,target_community
0,3,2,12,car,electric,2,2
1,3,1,4,car,government,2,5
2,3,0,2,car,hate,2,6
3,2,1,2,electric,government,2,5
4,2,0,2,electric,hate,2,6
5,1,0,2,government,hate,5,6
6,10,6,2,as,believe,11,7
7,10,5,5,as,climate,11,3
8,10,7,2,as,cycle,11,3
9,10,9,3,as,effect,11,3
10,10,11,4,as,much,11,5
11,10,4,2,as,never,11,0
12,10,8,8,as,people,11,11
13,10,12,7,as,think,11,11
14,6,5,10,believe,climate,7,3
15,6,7,2,believe,cycle,7,3
16,6,9,2,believe,effect,7,3
17,6,11,2,believe,much,7,5
18,6,4,5,believe,never,7,0
19,6,8,5,believe,people,7,11
20,6,12,3,believe,think,7,11
21,5,5,5,climate,climate,3,3
22,5,7,18,climate,cycle,3,3
23,5,9,7,climate,effect,3,3
24,5,11,5,climate,much,3,5
25,5,4,7,climate,never,3,0
26,5,8,8,climate,people,3,11
27,5,12,14,climate,think,3,11
28,7,9,2,cycle,effect,3,3
29,7,11,2,cycle,much,3,5
30,7,4,2,cycle,never,3,0
31,7,8,2,cycle,people,3,11
32,7,12,6,cycle,think,3,11
33,9,11,2,effect,much,3,5
34,9,4,2,effect,never,3,0
35,9,8,3,effect,people,3,11
36,9,12,2,effect,think,3,11
37,11,4,6,much,never,5,0
38,11,8,7,much,people,5,11
39,11,12,6,much,think,5,11
40,4,8,3,never,people,0,11
41,4,12,7,never,think,0,11
42,8,12,25,people,think,11,11
43,14,16,2,care,late,2,2
44,14,13,2,care,start,2,0
45,14,15,3,care,too,2,2
46,16,13,2,late,start,2,0
47,16,15,7,late,too,2,2
48,13,15,2,start,too,0,2
49,17,19,2,bro,deep,2,4
50,17,20,4,bro,end,2,4
51,17,18,2,bro,far,2,0
52,17,15,5,bro,too,2,2
53,19,20,2,deep,end,4,4
54,19,18,2,deep,far,4,0
55,19,15,2,deep,too,4,2
56,20,18,2,end,far,4,0
57,20,15,2,end,too,4,2
58,18,15,2,far,too,0,2
59,22,21,6,capitalism,rid,1,1
60,22,24,4,capitalism,sell,1,1
61,22,23,4,capitalism,yet,1,1
62,21,24,4,rid,sell,1,1
63,21,23,4,rid,yet,1,1
64,24,23,2,sell,yet,1,1
65,26,24,2,air,sell,7,1
66,26,25,2,air,soon,7,1
67,24,25,2,sell,soon,1,1
68,22,28,6,capitalism,make,1,1
69,22,27,2,capitalism,unfortunately,1,8
70,28,27,2,make,unfortunately,1,8
71,30,31,11,get,money,1,9
72,30,29,4,get,work,1,8
73,31,29,2,money,work,9,8
74,35,32,2,matter,put,2,2
75,35,34,2,matter,space,2,5
76,35,33,2,matter,trash,2,2
77,32,34,5,put,space,2,5
78,32,33,2,put,trash,2,2
79,34,33,2,space,trash,5,2
80,41,39,2,feel,own,1,10
81,41,8,6,feel,people,1,11
82,41,42,2,feel,safe,1,4
83,41,38,2,feel,seem,1,4
84,41,40,2,feel,top,1,4
85,39,8,3,own,people,10,11
86,39,42,2,own,safe,10,4
87,39,38,2,own,seem,10,4
88,39,40,2,own,top,10,4
89,8,42,4,people,safe,11,4
90,8,38,2,people,seem,11,4
91,8,40,2,people,top,11,4
92,42,38,2,safe,seem,4,4
93,42,40,2,safe,top,4,4
94,38,40,2,seem,top,4,4
95,39,29,2,own,work,10,8
96,43,45,2,%,bit,2,2
97,43,44,2,%,drop,2,2
98,43,38,2,%,seem,2,4
99,45,44,2,bit,drop,2,2
100,45,38,2,bit,seem,2,4
