,source,target,weight,source_word,target_word,source_community,target_community
0,3,2,13,car,electric,2,2
1,3,1,4,car,government,2,2
2,3,0,2,car,hate,2,2
3,2,1,2,electric,government,2,2
4,2,0,2,electric,hate,2,2
5,1,0,2,government,hate,2,2
6,8,5,2,as,believe,4,5
7,8,6,2,as,cycle,4,3
8,8,7,3,as,effect,4,7
9,8,9,4,as,much,4,0
10,8,4,2,as,never,4,0
11,5,6,2,believe,cycle,5,3
12,5,7,2,believe,effect,5,7
13,5,9,2,believe,much,5,0
14,5,4,5,believe,never,5,0
15,6,7,2,cycle,effect,3,7
16,6,9,2,cycle,much,3,0
17,6,4,2,cycle,never,3,0
18,7,9,2,effect,much,7,0
19,7,4,2,effect,never,7,0
20,9,4,6,much,never,0,0
21,11,10,2,care,start,2,0
22,11,12,3,care,too,2,2
23,10,12,2,start,too,0,2
24,16,15,6,fait,il,1,1
25,16,13,6,fait,pas,1,1
26,16,14,2,fait,solution,1,1
27,15,13,6,il,pas,1,1
28,15,14,2,il,solution,1,1
29,13,14,4,pas,solution,1,1
30,17,19,2,bro,deep,2,0
31,17,20,4,bro,end,2,0
32,17,18,2,bro,far,2,0
33,17,12,5,bro,too,2,2
34,19,20,2,deep,end,0,0
35,19,18,2,deep,far,0,0
36,19,12,2,deep,too,0,2
37,20,18,2,end,far,0,0
38,20,12,2,end,too,0,2
39,18,12,2,far,too,0,2
40,21,23,4,capitalism,sell,4,4
41,21,22,4,capitalism,yet,4,0
42,23,22,2,sell,yet,4,0
43,25,23,2,air,sell,5,4
44,25,24,2,air,soon,5,0
45,23,24,2,sell,soon,4,0
46,21,26,2,capitalism,unfortunately,4,0
47,31,28,2,matter,put,2,0
48,31,30,2,matter,space,2,0
49,31,29,2,matter,trash,2,2
50,28,30,5,put,space,0,0
51,28,29,2,put,trash,0,2
52,30,29,2,space,trash,0,2
53,37,35,2,feel,own,0,0
54,37,34,2,feel,seem,0,0
55,37,36,2,feel,top,0,0
56,35,34,2,own,seem,0,0
57,35,36,2,own,top,0,0
58,34,36,2,seem,top,0,0
59,38,39,2,%,bit,2,2
60,38,34,2,%,seem,2,0
61,39,34,2,bit,seem,2,0
62,41,40,2,leave,one,0,0
63,41,28,2,leave,put,0,0
64,40,28,2,one,put,0,0
65,44,46,10,con,de,1,1
66,44,45,9,con,la,1,1
67,44,43,5,con,nos,1,1
68,44,42,6,con,para,1,1
69,46,45,27,de,la,1,1
70,46,43,8,de,nos,1,1
71,46,42,9,de,para,1,1
72,45,43,3,la,nos,1,1
73,45,42,8,la,para,1,1
74,43,42,4,nos,para,1,1
75,3,51,29,car,gas,2,2
76,3,48,2,car,learn,2,0
77,3,49,2,car,school,2,2
78,3,53,2,car,send,2,5
79,3,10,2,car,start,2,0
80,3,50,2,car,teacher,2,2
81,3,52,2,car,well,2,0
82,51,48,2,gas,learn,2,0
83,51,49,2,gas,school,2,2
84,51,53,2,gas,send,2,5
85,51,10,2,gas,start,2,0
86,51,50,2,gas,teacher,2,2
87,51,52,2,gas,well,2,0
88,48,49,2,learn,school,0,2
89,48,53,2,learn,send,0,5
90,48,10,2,learn,start,0,0
91,48,50,2,learn,teacher,0,2
92,48,52,2,learn,well,0,0
93,49,53,2,school,send,2,5
94,49,10,3,school,start,2,0
95,49,50,5,school,teacher,2,2
96,49,52,2,school,well,2,0
97,53,10,2,send,start,5,0
98,53,50,2,send,teacher,5,2
99,53,52,2,send,well,5,0
100,10,50,2,start,teacher,0,2
101,10,52,3,start,well,0,0
102,50,52,2,teacher,well,2,0
103,55,57,2,Earth,look,0,3
104,55,54,2,Earth,point,0,0
105,55,24,2,Earth,soon,0,0
106,55,56,3,Earth,way,0,0
107,57,54,2,look,point,3,0
108,57,24,2,look,soon,3,0
109,57,56,3,look,way,3,0
110,54,24,2,point,soon,0,0
111,54,56,2,point,way,0,0
112,24,56,2,soon,way,0,0
113,58,59,2,como,del,1,1
114,61,32,2,earth,mother,0,3
115,61,60,2,earth,play,0,3
116,32,60,2,mother,play,3,3
117,62,63,2,Musk,only,1,4
118,62,30,2,Musk,space,1,0
119,63,30,3,only,space,4,0
120,64,20,2,actually,end,0,0
121,64,65,2,actually,experience,0,0
122,20,65,2,end,experience,0,0
123,67,66,2,en,los,1,1
124,67,68,2,en,más,1,1
125,66,68,6,los,más,1,1
126,69,35,2,buy,own,3,0
127,70,71,3,die,wonder,0,3
128,73,0,2,UN,hate,0,2
129,73,72,2,UN,tell,0,0
130,0,72,2,hate,tell,2,0
131,74,75,2,most,wrong,3,0
132,77,76,3,come,day,0,0
133,77,26,3,come,unfortunately,0,0
134,76,26,2,day,unfortunately,0,0
135,79,62,10,Elon,Musk,1,1
136,79,80,6,Elon,un,1,1
137,62,80,4,Musk,un,1,1
138,81,82,2,life,lol,0,5
139,81,47,4,life,’m,0,0
140,82,47,5,lol,’m,5,0
141,47,47,9,’m,’m,0,0
142,83,21,2,also,capitalism,4,4
