,node_id,word,frequency,community
0,0,hate,16,6
1,1,government,27,5
2,2,electric,13,2
3,3,car,71,2
4,4,never,53,0
5,5,climate,150,3
6,6,believe,29,7
7,7,cycle,29,3
8,8,people,147,11
9,9,effect,23,3
10,10,as,32,11
11,11,much,82,5
12,12,think,129,11
13,13,start,55,0
14,14,care,24,2
15,15,too,65,2
16,16,late,7,2
17,17,bro,58,2
18,18,far,22,0
19,19,deep,11,4
20,20,end,55,4
21,21,rid,8,1
22,22,capitalism,15,1
23,23,yet,16,1
24,24,sell,14,1
25,25,soon,15,1
26,26,air,20,7
27,27,unfortunately,10,8
28,28,make,137,1
29,29,work,103,8
30,30,get,147,1
31,31,money,42,9
32,32,put,43,2
33,33,trash,13,2
34,34,space,26,5
35,35,matter,16,2
36,36,mother,11,6
37,37,bad,64,1
38,38,seem,16,4
39,39,own,18,10
40,40,top,12,4
41,41,feel,44,1
42,42,safe,8,4
43,43,%,33,2
44,44,drop,7,2
45,45,bit,13,2
46,46,one,31,4
47,47,leave,32,3
48,48,’m,71,3
49,49,learn,18,7
50,50,school,25,7
51,51,teacher,27,7
52,52,gas,30,2
53,53,well,46,1
54,54,send,21,1
55,55,year,145,3
56,56,sun,9,3
57,57,point,33,3
58,58,red,7,1
59,59,Earth,14,1
60,60,time,101,8
61,61,way,52,1
62,62,look,53,6
63,63,play,22,6
64,64,earth,67,3
65,65,only,78,11
66,66,actually,40,10
67,67,experience,13,4
68,68,buy,22,5
69,69,die,36,0
70,70,wonder,14,6
71,71,tell,48,3
72,72,UN,10,10
73,73,most,36,2
74,74,wrong,12,1
75,75,day,45,4
76,76,come,51,0
77,77,stay,15,7
78,78,life,19,4
79,79,lol,30,7
80,80,also,73,11
81,81,cost,12,1
82,82,less,28,11
83,83,sense,17,1
84,84,eat,32,9
85,85,steak,12,1
86,86,probably,17,1
87,87,cause,30,5
88,88,supply,10,1
89,89,help,30,10
90,90,flower,35,6
91,91,bloom,9,6
92,92,happen,90,3
93,93,full,18,8
94,94,run,33,8
95,95,allow,13,1
96,96,even,62,4
97,97,south,7,0
98,98,ever,39,4
99,99,save,41,3
100,100,😭,149,9
101,101,idea,19,6
102,102,try,61,6
103,103,drink,11,5
104,104,more,108,5
105,105,water,56,5
106,106,eventually,10,3
107,107,move,20,3
108,108,fact,24,0
109,109,understand,24,9
110,110,want,73,6
111,111,take,65,5
112,112,world,58,10
113,113,true,41,10
114,114,degree,24,0
115,115,be,70,0
116,116,snow,35,0
117,117,💀,36,2
118,118,especially,10,0
119,119,away,16,7
120,120,good,77,8
121,121,name,12,9
122,122,let,40,5
123,123,fuel,18,2
124,124,become,16,9
125,125,long,22,6
126,126,rock,7,3
127,127,call,26,3
128,128,need,119,9
129,129,next,24,3
130,130,stop,33,3
131,131,hear,30,4
132,132,due,9,11
133,133,old,12,8
134,134,pay,14,9
135,135,show,35,11
