,node_id,word,frequency,community
0,0,hate,17,2
1,1,government,28,2
2,2,electric,14,2
3,3,car,80,2
4,4,never,56,0
5,5,believe,31,5
6,6,cycle,29,3
7,7,effect,25,7
8,8,as,32,4
9,9,much,82,0
10,10,start,58,0
11,11,care,24,2
12,12,too,66,2
13,13,pas,22,1
14,14,solution,19,1
15,15,il,59,1
16,16,fait,15,1
17,17,bro,70,2
18,18,far,24,0
19,19,deep,11,0
20,20,end,55,0
21,21,capitalism,17,4
22,22,yet,16,0
23,23,sell,16,4
24,24,soon,15,0
25,25,air,28,5
26,26,unfortunately,10,0
27,27,money,43,0
28,28,put,43,0
29,29,trash,13,2
30,30,space,26,0
31,31,matter,16,2
32,32,mother,11,3
33,33,bad,67,0
34,34,seem,16,0
35,35,own,18,0
36,36,top,12,0
37,37,feel,48,0
38,38,%,40,2
39,39,bit,13,2
40,40,one,31,0
41,41,leave,34,0
42,42,para,42,1
43,43,nos,16,1
44,44,con,32,1
45,45,la,72,1
46,46,de,93,1
47,47,’m,75,0
48,48,learn,19,0
49,49,school,25,2
50,50,teacher,27,2
51,51,gas,31,2
52,52,well,48,0
53,53,send,21,5
54,54,point,33,0
55,55,Earth,15,0
56,56,way,54,0
57,57,look,56,3
58,58,como,20,1
59,59,del,32,1
60,60,play,23,3
61,61,earth,67,0
62,62,Musk,14,1
63,63,only,79,4
64,64,actually,40,0
65,65,experience,13,0
66,66,los,30,1
67,67,en,15,1
68,68,más,18,1
69,69,buy,25,3
70,70,die,41,0
71,71,wonder,15,3
72,72,tell,53,0
73,73,UN,10,0
74,74,most,36,3
75,75,wrong,13,0
76,76,day,47,0
77,77,come,57,0
78,78,stay,16,0
79,79,Elon,16,1
80,80,un,54,1
81,81,life,19,0
82,82,lol,34,5
83,83,also,74,4
84,84,cost,12,4
85,85,less,28,4
86,86,sense,17,0
87,87,se,32,1
88,88,o,33,1
89,89,Dios,24,1
90,90,hay,13,1
91,91,gente,14,1
92,92,sin,12,1
93,93,eat,32,0
94,94,steak,12,0
95,95,probably,17,0
96,96,cause,32,0
97,97,supply,11,0
98,98,help,33,0
99,99,flower,35,3
100,100,happen,90,0
101,101,full,19,0
102,102,run,33,2
103,103,allow,13,2
104,104,even,63,0
105,105,ever,39,0
106,106,save,41,0
107,107,idea,21,3
108,108,try,62,3
109,109,drink,11,2
110,110,water,57,2
111,111,eventually,10,0
112,112,move,20,0
113,113,fact,25,0
114,114,understand,24,0
115,115,want,75,3
116,116,take,66,0
117,117,world,62,0
118,118,true,49,0
119,119,degree,24,0
120,120,be,70,0
121,121,snow,36,0
122,122,💀,48,2
123,123,especially,10,0
124,124,away,16,2
125,125,good,92,2
126,126,name,24,2
127,127,porque,14,1
128,128,solo,19,1
129,129,su,15,1
130,130,let,45,0
131,131,fuel,18,2
132,132,become,18,0
133,133,va,17,1
134,134,Florida,30,0
135,135,las,15,1
136,136,mar,11,1
137,137,por,39,1
138,138,nada,23,1
139,139,long,23,3
140,140,call,26,0
141,141,next,24,0
142,142,stop,36,0
143,143,hear,30,0
144,144,due,11,4
145,145,old,13,0
146,146,real,59,0
147,147,pay,16,2
148,148,show,35,4
149,149,man,46,5
150,150,pollute,20,0
151,151,environment,15,2
152,152,💪,14,8
153,153,qui,16,1
154,154,sur,12,1
155,155,et,14,1
156,156,pour,10,1
157,157,y,93,1
158,158,scare,10,3
159,159,todo,29,1
160,160,mundo,11,1
161,161,cosa,10,1
162,162,está,18,1
163,163,reason,27,3
164,164,es,18,1
165,165,exist,11,2
166,166,rate,11,2
167,167,ask,26,0
168,168,rain,23,0
169,169,God,23,0
170,170,really,37,0
171,171,funny,19,0
172,172,sound,18,0
173,173,read,22,0
174,174,friend,17,5
175,175,stand,14,8
176,176,Palestine,10,8
177,177,❤,55,8
178,178,🇵,14,8
179,179,🇸,12,8
180,180,there,59,0
181,181,week,32,0
182,182,last,66,0
183,183,dead,19,2
184,184,beach,10,2
185,185,sad,21,0
186,186,pollution,16,2
187,187,clock,30,0
188,188,hit,14,0
189,189,whole,29,0
190,190,cool,30,3
191,191,thing,66,0
192,192,van,10,0
193,193,ser,11,1
194,194,una,32,1
195,195,La,11,1
196,196,listen,13,0
197,197,talk,46,0
198,198,absolutely,33,0
199,199,amazing,34,0
200,200,give,39,0
201,201,child,12,0
202,202,hold,12,2
203,203,😳,22,6
204,204,word,18,0
205,205,destroy,11,0
206,206,human,32,0
207,207,lo,65,1
208,208,😞,13,7
209,209,rich,35,0
210,210,use,75,5
211,211,así,10,1
212,212,q,30,1
213,213,ni,12,1
214,214,al,17,1
215,215,😏,25,1
216,216,high,21,0
217,217,great,38,2
218,218,already,34,2
219,219,clean,22,2
220,220,here,63,0
221,221,up,14,0
222,222,guy,34,2
223,223,many,49,5
224,224,country,52,0
225,225,post,10,2
226,226,though,17,3
227,227,non,35,1
228,228,mais,18,1
229,229,c'est,17,1
230,230,une,11,1
231,231,microplastic,10,0
232,232,comment,21,1
233,233,low,12,0
234,234,😁,39,1
235,235,fail,14,3
236,236,first,39,0
237,237,tired,10,0
238,238,predict,12,0
239,239,hopefully,12,0
240,240,keep,37,2
241,241,ppl,14,8
242,242,heart,11,2
243,243,plastic,25,0
244,244,single,10,0
245,245,other,57,0
246,246,then,71,0
247,247,☹,10,0
248,248,🤣,56,6
249,249,turn,10,0
250,250,company,27,2
251,251,produce,25,2
252,252,literally,40,0
253,253,micro,10,0
254,254,ce,11,1
255,255,à,19,1
256,256,sa,47,7
257,257,je,20,1
258,258,ne,18,1
259,259,again,21,0
260,260,ya,15,6
261,261,vote,15,0
262,262,science,24,4
263,263,si,45,1
264,264,😔,23,1
265,265,😂,37,6
266,266,m,29,2
267,267,po,12,7
268,268,mean,33,3
269,269,mi,16,1
270,270,te,14,1
271,271,scared,13,2
272,272,wait,44,4
273,273,before,17,0
274,274,power,21,2
275,275,very,35,0
276,276,live,89,0
277,277,that,13,0
278,278,cold,29,0
279,279,anymore,12,0
280,280,always,60,3
281,281,future,22,2
282,282,kid,28,2
283,283,still,65,2
284,284,new,22,2
285,285,win,11,2
286,286,state,12,2
287,287,happy,20,0
288,288,sleep,11,5
289,289,big,57,0
290,290,back,34,0
291,291,ça,12,1
292,292,know,98,5
293,293,ago,25,0
294,294,movie,13,0
295,295,project,15,3
296,296,👹,12,1
297,297,info,12,7
298,298,kind,15,3
299,299,smart,13,4
300,300,house,54,3
301,301,hope,33,0
302,302,build,27,3
303,303,imagine,19,3
304,304,current,15,0
305,305,huge,13,0
306,306,attention,10,2
307,307,laugh,10,0
308,308,hard,35,0
309,309,super,14,0
310,310,game,17,2
311,311,mile,12,5
312,312,stuff,15,2
313,313,lose,19,5
314,314,’re,30,2
315,315,bless,14,0
316,316,woman,10,0
317,317,family,11,0
318,318,tiene,10,1
319,319,le,25,1
320,320,control,12,0
321,321,esto,11,1
322,322,s,19,2
323,323,exactly,13,0
324,324,base,42,0
325,325,explain,30,4
326,326,issue,14,0
327,327,e,68,1
328,328,bc,26,3
329,329,kinda,13,0
330,330,summer,23,0
331,331,now,75,0
