id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7280579015583206688,2023-09-19,91372865677103104,not the usual pll edit today 🥲 #pll4l1fe #ocean #plastic #pollution #pollutedocean #climatechange #globalwarming #plasticpollution #turtle #climate #sea #oceanlife #edit #edits #nature #foryou #foryoupage #fyp #viral #trend #trending ,"['https://v45.tiktokcdn-eu.com/259a4cf1696f9634729c245bf2160c9a/6790b103/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oIHfUCAPIlInUdGjuNLUJEOpyB60tzpmhQhoAh/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2902&bt=1451&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=PDw5Z2g5aDxlM2lmODZmZEBpMzo3ZWU6Zmt2bjMzZjczM0BfYV42NTRiNTQxYGEuYzJgYSNecmFecjRncTFgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e0008d000', 'https://v16m.tiktokcdn-eu.com/1663170dfc0e4b8d9c2aca1ffaf9a9b8/6790b103/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oIHfUCAPIlInUdGjuNLUJEOpyB60tzpmhQhoAh/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2902&bt=1451&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=PDw5Z2g5aDxlM2lmODZmZEBpMzo3ZWU6Zmt2bjMzZjczM0BfYV42NTRiNTQxYGEuYzJgYSNecmFecjRncTFgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=ca5cf315dccf407b89ee768e9da6d9b9&is_play_url=1&item_id=7280579015583206688&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmY0MzA5NGE2MDMyNDdmYzExNmU1MmI2ZWRlZTBkNzc0&source=CHALLENGE_AWEME&video_id=v0f044gc0000ck4sthjc77ubabd4u7a0']",3055,243256,60
7286673402717424903,2023-10-06,6853403085029508097,"Climate change, Octupus running from sea 🌊  Reminder to save our 🌎#viral #climatechange #climate #climateaction #climateactivist #climateactionnow ","['https://v45.tiktokcdn-eu.com/08be90f6ce6d67a617b0768475bd96e1/6790b0ee/video/tos/alisg/tos-alisg-pve-0037c001/oEbcofYD3FQ1HEulAUgIRd5embIxlUEUBnsBgU/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2282&bt=1141&cs=0&ds=6&ft=td_Ls8s6onVH12NvlZ68eIxRIEQEY3_45SY&mime_type=video_mp4&qs=0&rc=ZzY5Mzw2OTNmZmk8PDs2OUBpM3RyOmc6ZjRxbjMzODczNEBgMjI1YS0yNTAxL2FeYzUyYSNvaDJpcjRfYGNgLS1kMTFzcw%3D%3D&vvpl=1&l=2025012108482860D85856E7DF1F0B7DD2&btag=e000bd000', 'https://v77.tiktokcdn-eu.com/ca8ac311974ad8befdb177f4a5fb2c97/6790b0ee/video/tos/alisg/tos-alisg-pve-0037c001/oEbcofYD3FQ1HEulAUgIRd5embIxlUEUBnsBgU/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2282&bt=1141&cs=0&ds=6&ft=td_Ls8s6onVH12NvlZ68eIxRIEQEY3_45SY&mime_type=video_mp4&qs=0&rc=ZzY5Mzw2OTNmZmk8PDs2OUBpM3RyOmc6ZjRxbjMzODczNEBgMjI1YS0yNTAxL2FeYzUyYSNvaDJpcjRfYGNgLS1kMTFzcw%3D%3D&vvpl=1&l=2025012108482860D85856E7DF1F0B7DD2&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=5683f8a9d92f4c3c805603d9805653cd&is_play_url=1&item_id=7286673402717424903&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjdhOWU4MjZjZGRmNDQ1MDNlMzk0NWJmMzA2MTNiMGFm&source=CHALLENGE_AWEME&video_id=v14044g50000ckfnc1bc77udl75okqr0']",10211,2988388,2299
7276558066835852586,2023-09-08,6996451403301602309,Protestors block mom with baby from going to the hospital- what can she legally do? #fyp #climatechange #police #unitedkingdom #london #america #law #news #edutok #virał #viralvideos ,"['https://v16m.tiktokcdn-eu.com/ea4cae14a681ee6d6a6bade03f952131/6790b136/video/tos/maliva/tos-maliva-ve-0068c799-us/o4nekQKInEdZ4CD1ADblAQgoC8ekQJHIeqSjv3/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1650&bt=825&cs=0&ds=6&ft=XsFbEqT0m7jPD12AqWyJ3wUtMpmHaeF~O5&mime_type=video_mp4&qs=0&rc=ODZoZGczNTg1ZGc4aDs7ZUBpanQ7bmQ6ZmxybTMzZzczNEBiNmMwMDMwXjAxXl4zLzU2YSNoL2RrcjRnYHFgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084834BE1D1C12CDFB760BBE52&btag=e00090000', 'https://v77.tiktokcdn-eu.com/27bfe8cded8c34b3013c4e7f5a251267/6790b136/video/tos/maliva/tos-maliva-ve-0068c799-us/o4nekQKInEdZ4CD1ADblAQgoC8ekQJHIeqSjv3/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1650&bt=825&cs=0&ds=6&ft=XsFbEqT0m7jPD12AqWyJ3wUtMpmHaeF~O5&mime_type=video_mp4&qs=0&rc=ODZoZGczNTg1ZGc4aDs7ZUBpanQ7bmQ6ZmxybTMzZzczNEBiNmMwMDMwXjAxXl4zLzU2YSNoL2RrcjRnYHFgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084834BE1D1C12CDFB760BBE52&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=9b88286ea5ad4a32a532603d3afe93e5&is_play_url=1&item_id=7276558066835852586&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjY1YTdhZDg0OTA0OWRhNmU0YTBhMGQzNTkzZWMzZmNi&source=CHALLENGE_AWEME&video_id=v12044gd0000cjtocijc77uankg82qkg']",1432,2529515,2935
7284793343857413418,2023-10-01,6730814571772134406,#stitch with @Daily Mail #nycflood #climatechange #colonization #decolonize #nycflooding ,"['https://v77.tiktokcdn-eu.com/e29af7da7778480acfeb661c6478df67/6790b180/video/tos/maliva/tos-maliva-ve-0068c799-us/oosOQfBlDg1IYQRAoDmnbgAAx2PnGeAYMSpkdE/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2138&bt=1069&cs=0&ds=6&ft=XsFbEqT0mI2PD12AqWyJ3wUrOsLnaeF~O5&mime_type=video_mp4&qs=0&rc=OGlkaWU7OzdpNjwzMzZoPEBpMzN1NDM6ZmdmbjMzZzczNEBiLzNhL18zNV8xLi81YTU1YSMtNm1fcjRnYGBgLS1kMS9zcw%3D%3D&vvpl=1&l=202501210848351103560D03F4440BDDCC&btag=e00090000', 'https://v16m.tiktokcdn-eu.com/5b8e5f212c2290ccab00bb69eb95e2a1/6790b180/video/tos/maliva/tos-maliva-ve-0068c799-us/oosOQfBlDg1IYQRAoDmnbgAAx2PnGeAYMSpkdE/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2138&bt=1069&cs=0&ds=6&ft=XsFbEqT0mI2PD12AqWyJ3wUrOsLnaeF~O5&mime_type=video_mp4&qs=0&rc=OGlkaWU7OzdpNjwzMzZoPEBpMzN1NDM6ZmdmbjMzZzczNEBiLzNhL18zNV8xLi81YTU1YSMtNm1fcjRnYGBgLS1kMS9zcw%3D%3D&vvpl=1&l=202501210848351103560D03F4440BDDCC&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=898ed380201943bf8468b82bdf6a2fe5&is_play_url=1&item_id=7284793343857413418&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjRkZTkwYzMzMjA4MmVmZjVlZDM4NDNmZmViZWJlNGMx&source=CHALLENGE_AWEME&video_id=v12044gd0000ckcccdjc77u0b1pr9000']",11512,957790,1857
7287680374136786219,2023-10-08,6912615643208827909,Kids arent even tall enough to pump gas. #parentsoftiktok #fortnite #roblox #climatechange #momtok #discussion #pearlmania500 #mrspearlmania #podcast we decided that this is a minecraft house. ,"['https://v77.tiktokcdn-eu.com/a7619bc7e1aaf6fa76b437f91c440bee/6790b1c3/video/tos/maliva/tos-maliva-ve-0068c799-us/oUnljxboQnswleUEBuLBAqSMDIEDCIfgR7Y6kM/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1540&bt=770&cs=0&ds=6&ft=XsFbEqT0mI2PD129qWyJ3wUsfsrpEeF~O5&mime_type=video_mp4&qs=0&rc=NTZlOzQ3NTZoODU8ZDszOEBpM2Z5aTg6ZmRqbjMzZzczNEAyMzIuNC1hXjYxMzE1YGNiYSMza3BtcjRnaGVgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084836EE337AD38B36D20C69AB&btag=e00098000', 'https://v58.tiktokcdn-eu.com/video/tos/maliva/tos-maliva-ve-0068c799-us/oUnljxboQnswleUEBuLBAqSMDIEDCIfgR7Y6kM/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1540&bt=770&cs=0&ds=6&ft=XsFbEqT0mI2PD129qWyJ3wUsfsrpEeF~O5&mime_type=video_mp4&qs=0&rc=NTZlOzQ3NTZoODU8ZDszOEBpM2Z5aTg6ZmRqbjMzZzczNEAyMzIuNC1hXjYxMzE1YGNiYSMza3BtcjRnaGVgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084836EE337AD38B36D20C69AB&VExpiration=1737535939&VSignature=Q_ZeAt8KTgrCSbfwq_J2WQ&btag=e00098000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=e5f0c88a4962459ea3d20471185b6352&is_play_url=1&item_id=7287680374136786219&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjNjODBlYTk0MjA2ODdhMTU2YjFlNWI0OGMxNDhmZjg4&source=CHALLENGE_AWEME&video_id=v12044gd0000ckhgkajc77u5pfsvnc60']",29171,1947178,7580
7285526435232714030,2023-10-03,6707407786831856646,This is a nightmare i have to suffer on repeat for nights on end that will eventually become reality #cherrybombvikki #fypシ #BookTok #skit #fypシ #foryoupage #climatechange #thething #icecapsmelting #ancientviruses #ancientbactria #bookplots #nightmaresbecomereality #horrorconcepts ,"['https://v77.tiktokcdn-eu.com/9a1097d872c4d43f3deb36a4468a6c34/6790b0f8/video/tos/maliva/tos-maliva-ve-0068c799-us/oY8WICf3rrSeZHXbDMzAEJGARxlgYBcEr2hotr/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=864&bt=432&cs=0&ds=6&ft=XsFbEqT0m7jPD12xqWyJ3wUQepmHaeF~O5&mime_type=video_mp4&qs=0&rc=ZzhkODloZmZmN2c6NWU7NkBpMzo0dDM6ZnlwbjMzZzczNEA0MjJfYy4vX18xLmBfMmJhYSMuYHFscjRfMWFgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084839CBD117498020340B787D&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/b7db59b55b31e51c873cffa6ad992f63/6790b0f8/video/tos/maliva/tos-maliva-ve-0068c799-us/oY8WICf3rrSeZHXbDMzAEJGARxlgYBcEr2hotr/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=864&bt=432&cs=0&ds=6&ft=XsFbEqT0m7jPD12xqWyJ3wUQepmHaeF~O5&mime_type=video_mp4&qs=0&rc=ZzhkODloZmZmN2c6NWU7NkBpMzo0dDM6ZnlwbjMzZzczNEA0MjJfYy4vX18xLmBfMmJhYSMuYHFscjRfMWFgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084839CBD117498020340B787D&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=d3e85bb2c71d44bcbc2c1ef6b55a557d&is_play_url=1&item_id=7285526435232714030&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjJlOWRhYjRjYTU0MjAzM2YzNjA4MDMwZWI5YTBiMzAz&source=CHALLENGE_AWEME&video_id=v12044gd0000ckdm4vbc77u0oqt1c710']",6586,633881,1713
7284797188264299818,2023-10-01,6819967169918878726,"The world isn't dying, we are. #climatechange #hawaii #plantlife #antarctica #weatherpatterns ","['https://v77.tiktokcdn-eu.com/ac8e9e8290c4d75617054b6705e764e9/6790b0f0/video/tos/maliva/tos-maliva-ve-0068c799-us/ocIC9tGYRwqIz1kEOKFhAyApzBjfISOsy8WcFI/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1970&bt=985&cs=0&ds=6&ft=XsFbEqT0mmjPD12xqWyJ3wUTWjGAMeF~O5&mime_type=video_mp4&qs=0&rc=OGVoOmc8PDU5NTVmOGVlaUBpanY8ZTg6ZnNmbjMzZzczNEBgM2E1Ll5hX2MxNC0yMTUwYSNyMC5icjRfamBgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084840F8AC9D5F1497180C6521&btag=e000b0000', 'https://v16m.tiktokcdn-eu.com/c96d42ba571a20b005b8431d55d22c35/6790b0f0/video/tos/maliva/tos-maliva-ve-0068c799-us/ocIC9tGYRwqIz1kEOKFhAyApzBjfISOsy8WcFI/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1970&bt=985&cs=0&ds=6&ft=XsFbEqT0mmjPD12xqWyJ3wUTWjGAMeF~O5&mime_type=video_mp4&qs=0&rc=OGVoOmc8PDU5NTVmOGVlaUBpanY8ZTg6ZnNmbjMzZzczNEBgM2E1Ll5hX2MxNC0yMTUwYSNyMC5icjRfamBgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084840F8AC9D5F1497180C6521&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=3f8b4b550c7242f6b2d9a91d87de6bc5&is_play_url=1&item_id=7284797188264299818&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjhlMDJiYTU5M2Y4Yjg2MzE1ODBjNDAzNTJhMzJiZjZm&source=CHALLENGE_AWEME&video_id=v12044gd0000ckccmpbc77u5eb193sug']",1634,900981,1920
7275895775681400106,2023-09-07,6993899054099432453,"#GoodClimateNews Today, we are a step closer to a brighter future. I am so relieved. 🌎 #stopwillow #endfossilfuels #climatechange #savetheearth #ecotokcentral #LetTheEarthBreathe #arctic #arcticnationalwildliferefuge #foryou ",['https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?video_id=v12044gd0000cjsipbbc77u6664564a0&line=0&is_play_url=1&source=CHALLENGE_AWEME&item_id=7275895775681400106&sign=364381474ac3e2cf457db76c77401e51&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjE0ZDNhMmNmZDcyMjczNzg4ODA0MmJkYTVjN2VhNmU5&shp=d05b14bd&shcp=-'],11204,1035138,2062
7275799559224282374,2023-09-06,7165860667278279685,#africaclimatesummit #african #africa #africantiktok #climatechange #climate #sdgs #hustler #togetherness #presidency #africaunite #nairobi ,"['https://v77.tiktokcdn-eu.com/c4e0d204b660cd51719c686239311a62/6790b12d/video/tos/useast2a/tos-useast2a-ve-0068c003/ok7gNexuCnVeAS9jr48PgTRDjAwrAeQbIRCJcN/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1036&bt=518&cs=0&ds=6&ft=XsFbEqT0mmjPD12xqWyJ3wUyYyAcMeF~O5&mime_type=video_mp4&qs=4&rc=OmhoOzppPDVoZGg7ODY2PEBpM3YzaGY6Zm5nbTMzNzczM0BgLTYyMWMzNS4xYC1iYjAtYSNjcnA0cjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=202501210848404BA9C01276D4C40C118D&btag=e00090000', 'https://v58.tiktokcdn-eu.com/video/tos/useast2a/tos-useast2a-ve-0068c003/ok7gNexuCnVeAS9jr48PgTRDjAwrAeQbIRCJcN/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1036&bt=518&cs=0&ds=6&ft=XsFbEqT0mmjPD12xqWyJ3wUyYyAcMeF~O5&mime_type=video_mp4&qs=4&rc=OmhoOzppPDVoZGg7ODY2PEBpM3YzaGY6Zm5nbTMzNzczM0BgLTYyMWMzNS4xYC1iYjAtYSNjcnA0cjQwNnBgLS1kMTZzcw%3D%3D&vvpl=1&l=202501210848404BA9C01276D4C40C118D&VExpiration=1737535789&VSignature=yzvuHdGMSx6QIv4NjVI8nw&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=0933e3e508ce4a1e8269ff47589e0ec7&is_play_url=1&item_id=7275799559224282374&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjY2ZmE3MDAyZTNhZjU2YWNhZjkwOTE5ZGVhMzk5MDZl&source=CHALLENGE_AWEME&video_id=v09044g40000cjsd9k3c77uc7es0usf0']",4398,4156608,3209
7273819304284425477,2023-09-01,60895544625102848,mungkin bisa coba water-solluble oil paints instead?^^ #karyaseniku #artistsoftiktok #climatechange #acrylicpainting #acryliconcanvas #melukis #menggambar #weknowlah #artindonesia🇮🇩 #foryou ,"['https://v77.tiktokcdn-eu.com/df955df5dc0a2efe4681001a494c7abb/6790b123/video/tos/useast2a/tos-useast2a-pve-0068/oArIEASMDeAaD8QQERCnJnevcbzIvUkxsBbbBF/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2280&bt=1140&cs=0&ds=6&ft=XsFbEqT0mmjPD12aqWyJ3wU3rIdcMeF~O5&mime_type=video_mp4&qs=0&rc=NThnMzVnMzVmNmk7PDZoaUBpM3V0bWQ6ZnN2bTMzNzczM0AzYF82MTRfNTAxYWI0Xl42YSMzcmMzcjRva2xgLS1kMTZzcw%3D%3D&vvpl=1&l=202501210848402A7FA8BEB12B4B0BB516&btag=e00088000', 'https://v16m.tiktokcdn-eu.com/c0aadf789570fb3f44ae8bee818111c6/6790b123/video/tos/useast2a/tos-useast2a-pve-0068/oArIEASMDeAaD8QQERCnJnevcbzIvUkxsBbbBF/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2280&bt=1140&cs=0&ds=6&ft=XsFbEqT0mmjPD12aqWyJ3wU3rIdcMeF~O5&mime_type=video_mp4&qs=0&rc=NThnMzVnMzVmNmk7PDZoaUBpM3V0bWQ6ZnN2bTMzNzczM0AzYF82MTRfNTAxYWI0Xl42YSMzcmMzcjRva2xgLS1kMTZzcw%3D%3D&vvpl=1&l=202501210848402A7FA8BEB12B4B0BB516&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=9faea379e8df433c82b07d4290bdc562&is_play_url=1&item_id=7273819304284425477&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjE3MWEzZjViYjI4MDBiZjBkYmQ5OTY5MGY5MDRkZGVk&source=CHALLENGE_AWEME&video_id=v09044g40000cjosnprc77ua6jfqur60']",369,3215169,309
