id,createTime,authorId,text,video.urls,shareCount,playCount,commentCount
7263148696802577706,2023-08-03,6805778738527093766,ITS LIKE UR SO CLOSE BABES #heatwave #texas #heatrecord #recordbreaking #hot #climatechange #anticlimatechange #texasweather #texasheat #texasheatwave ,"['https://v45.tiktokcdn-eu.com/a1e5b134af67a33fe20a6ff27388d72c/6790b0ef/video/tos/maliva/tos-maliva-ve-0068c799-us/oQnhX4x1IpLESxyBlLlztDLRDiAfQ7fgB4CkUW/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1616&bt=808&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=NDpmOTM5Mzg7OjM2NmlkOUBpajh5b2U6Zmt4bTMzZzczNEBeYTMyNmExXy4xLTBjNi5jYSMyMGZocjRfMDJgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e000bd000', 'https://v16m.tiktokcdn-eu.com/74efa00ad1ff0ba3a3504c98d9da29cf/6790b0ef/video/tos/maliva/tos-maliva-ve-0068c799-us/oQnhX4x1IpLESxyBlLlztDLRDiAfQ7fgB4CkUW/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1616&bt=808&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=NDpmOTM5Mzg7OjM2NmlkOUBpajh5b2U6Zmt4bTMzZzczNEBeYTMyNmExXy4xLTBjNi5jYSMyMGZocjRfMDJgLS1kMS9zcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=f61a9ff333004718b540d690566cd7a1&is_play_url=1&item_id=7263148696802577706&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmQ0MjBjMzliODJmNmUxZmZiMWU2OWMwMjUwOWZkNTFm&source=CHALLENGE_AWEME&video_id=v12044gd0000cj5u3hbc77ubkliv355g']",1321,352328,435
7268260597245037857,2023-08-17,7225731857031169029,Appeal by CERN scientist … This is no joke and is to be taken very seriously. #12000yearcycle #globalcrisis #climatechange #creativesociety ,"['https://v45.tiktokcdn-eu.com/be4f0a883dbc3837a4372a6e4dbf7c2d/6790b25f/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/ogmsQPsy1nANDQoUvg8sDRkgWEeQMBM3IwbueD/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=862&bt=431&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=aGk5OGc8ODM5NGZoO2RkM0BpMzlqPGU6ZmczbTMzZjczM0BfYWBfX2MzNTQxY2BhYTNjYSNfci4zcjRfamNgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e000a5000', 'https://v16m.tiktokcdn-eu.com/77e0cd66557e71783f543ad506efb746/6790b25f/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/ogmsQPsy1nANDQoUvg8sDRkgWEeQMBM3IwbueD/?a=1233&bti=Ojs2NGYpQHM6OjZALjU2OmQvcCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=862&bt=431&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=aGk5OGc8ODM5NGZoO2RkM0BpMzlqPGU6ZmczbTMzZjczM0BfYWBfX2MzNTQxY2BhYTNjYSNfci4zcjRfamNgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e000a0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=f06adad8cefc41768065f9bdb5c6dfbe&is_play_url=1&item_id=7268260597245037857&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjc3OTFlYTYxNjk5MDg1ZWMzNzY0YmVkMDlhN2I3YWQ5&source=CHALLENGE_AWEME&video_id=v0f044gc0000cjf0mdbc77ub691gu6b0']",3020,555274,1632
7433867504386198817,2024-11-05,7367442677590393888,На Казахстан идёт вторая волна циклона. В выходные ожидается ухудшение погодных условий  #ураган #climate #погода #климат #climatechange #рекомендации ,"['https://v45.tiktokcdn-eu.com/c529353a8f744a3f065c111816a255d9/6790b10f/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/og5qQ9BqTq0lwE2AgEPByo7laylZIAuiEiZpc/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1280&bt=640&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=NzM7NDk1OWk5ODk8M2k2ZkBpM2Q5OXA5cnU5djMzZjczM0A2NC9hMS8xNi8xNS5jM2AxYSNocWtpMmQ0X2lgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e0008d000', 'https://v16m.tiktokcdn-eu.com/03334c77038ccd8d1c3d5304a93e1264/6790b10f/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/og5qQ9BqTq0lwE2AgEPByo7laylZIAuiEiZpc/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1280&bt=640&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=NzM7NDk1OWk5ODk8M2k2ZkBpM2Q5OXA5cnU5djMzZjczM0A2NC9hMS8xNi8xNS5jM2AxYSNocWtpMmQ0X2lgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=4cc36ff0198645269f462246d1287094&is_play_url=1&item_id=7433867504386198817&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmIzM2I4NTFhMzMwZWY3YzI5M2RmOTIzY2E2YWE3NmNk&source=CHALLENGE_AWEME&video_id=v0f044gc0000csl6br7og65ml6n6tak0']",58199,1899618,4996
7280579015583206688,2023-09-19,91372865677103104,not the usual pll edit today 🥲 #pll4l1fe #ocean #plastic #pollution #pollutedocean #climatechange #globalwarming #plasticpollution #turtle #climate #sea #oceanlife #edit #edits #nature #foryou #foryoupage #fyp #viral #trend #trending ,"['https://v45.tiktokcdn-eu.com/259a4cf1696f9634729c245bf2160c9a/6790b103/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oIHfUCAPIlInUdGjuNLUJEOpyB60tzpmhQhoAh/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2902&bt=1451&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=PDw5Z2g5aDxlM2lmODZmZEBpMzo3ZWU6Zmt2bjMzZjczM0BfYV42NTRiNTQxYGEuYzJgYSNecmFecjRncTFgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e0008d000', 'https://v16m.tiktokcdn-eu.com/1663170dfc0e4b8d9c2aca1ffaf9a9b8/6790b103/video/tos/useast2a/tos-useast2a-ve-0068-euttp/oIHfUCAPIlInUdGjuNLUJEOpyB60tzpmhQhoAh/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=2902&bt=1451&cs=0&ds=6&ft=td_Lr8QLodzR12NvxZ68eIxRDdhY73_45SY&mime_type=video_mp4&qs=0&rc=PDw5Z2g5aDxlM2lmODZmZEBpMzo3ZWU6Zmt2bjMzZjczM0BfYV42NTRiNTQxYGEuYzJgYSNecmFecjRncTFgLS1kMWNzcw%3D%3D&vvpl=1&l=20250121084826BACDD9F32A99380C3944&btag=e00088000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=ca5cf315dccf407b89ee768e9da6d9b9&is_play_url=1&item_id=7280579015583206688&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmY0MzA5NGE2MDMyNDdmYzExNmU1MmI2ZWRlZTBkNzc0&source=CHALLENGE_AWEME&video_id=v0f044gc0000ck4sthjc77ubabd4u7a0']",3055,243256,60
7388532322099858721,2024-07-06,7106233028938253317,The worlds done for II ib:@valla.aep for whatever reason cant find his account but thats his name II #davidattenborough #davidattenboroughedit #nature #wildlife #animals #world #climatechange #foryou #fyp #viral ,"['https://v77.tiktokcdn-eu.com/933d640c66b99025913174b5d39a74f1/6790b119/video/tos/useast2a/tos-useast2a-ve-0068-euttp/ow350CTiZPMEQBouH9Vx8AE5J1oQIwlBBViq2/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1970&bt=985&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=Ojw2Z2c4PGhpODlmZDs4NkBpM3M5dG85cndvdDMzZjczM0A0M2BjMDAxNS8xLTZiMWMwYSNpcTRvMmQ0XzFgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e00090000', 'https://v16m.tiktokcdn-eu.com/922beffcbf6f972260bef74f326fecc4/6790b119/video/tos/useast2a/tos-useast2a-ve-0068-euttp/ow350CTiZPMEQBouH9Vx8AE5J1oQIwlBBViq2/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1970&bt=985&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=Ojw2Z2c4PGhpODlmZDs4NkBpM3M5dG85cndvdDMzZjczM0A0M2BjMDAxNS8xLTZiMWMwYSNpcTRvMmQ0XzFgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e00090000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=33f548ea9c06452f8e49353dfdc36977&is_play_url=1&item_id=7388532322099858721&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjQ5ZGQ1MjUyYjYyNjlmZjVhZGRhZTRmOWMwZmE5YWJl&source=CHALLENGE_AWEME&video_id=v0f044gc0000cq4lbt7og65lrq76tpl0']",39990,5020238,4026
7424407108730309921,2024-10-11,7319910094128170017,#climatechange #climateclock #2029 #trendingvideo #dontflop #awarenessvideo #fyp #foryoupagee ,"['https://v77.tiktokcdn-eu.com/18697aa434b0d04806f703c34900e7ea/6790b0ec/video/tos/useast2a/tos-useast2a-ve-0068-euttp/ogocHRQIZ9QfEChOAigIjlKLeeoNFdIeGGmEgN/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1126&bt=563&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=aDVkZWRkN2ZkO2g1OmVoO0Bpanl2O3Q5cjpmdjMzZjczM0BgLzQ1MGEwNTExMjMyMGEtYSNtM2gxMmRraDFgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/7e3dacfacb347aaefbd8469a74719681/6790b0ec/video/tos/useast2a/tos-useast2a-ve-0068-euttp/ogocHRQIZ9QfEChOAigIjlKLeeoNFdIeGGmEgN/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1126&bt=563&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=aDVkZWRkN2ZkO2g1OmVoO0Bpanl2O3Q5cjpmdjMzZjczM0BgLzQ1MGEwNTExMjMyMGEtYSNtM2gxMmRraDFgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=08de3b57625e484a8c34da3a8b7a22ce&is_play_url=1&item_id=7424407108730309921&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjM2NjBmMWQ0OTYwMmM0MzQzZjg3NGExMTUyYzkwMzBh&source=CHALLENGE_AWEME&video_id=v0f044gc0000cs4ck7nog65q48ks6vpg']",529,169151,320
7259662284451040538,2023-07-25,123554224029736960,Hope everyone is safe #milan #climatechange ,"['https://v77.tiktokcdn-eu.com/2f95be723afe31953e00826412b06f41/6790b0fa/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oQfMdeBRPnkFvgEBgQEhAYHRQbuA8ODDMIIM4g/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1176&bt=588&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=Njo7aGc4ODs8O2llOjc6aEBpM3EzN2g6ZmpybDMzZjczM0BfX18vM2NeXy4xMy9fX18zYSMwZTNzcjQwLXNgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/ba970ccc41c5c0e56b3340ce99f9bcbc/6790b0fa/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oQfMdeBRPnkFvgEBgQEhAYHRQbuA8ODDMIIM4g/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1176&bt=588&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=Njo7aGc4ODs8O2llOjc6aEBpM3EzN2g6ZmpybDMzZjczM0BfX18vM2NeXy4xMy9fX18zYSMwZTNzcjQwLXNgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=6eb7b4b72b6f4819b8a5f56d2eb8b7b3&is_play_url=1&item_id=7259662284451040538&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmZmNmE1YmY0MjcwNjM1NGQ0MTBhY2QwYzRkZDc2ZWFi&source=CHALLENGE_AWEME&video_id=v0f044gc0000civo0g3c77uev460hn30']",90454,4936225,3390
7410394673866427681,2024-09-03,7378156103564067872,sad caption #ocean #climatechange #climateaction #saveouroceans #saveourplanet #awarenessedit #climateawareness #foryoupage ,"['https://v77.tiktokcdn-eu.com/616aab134626a0f6b32d01cbc363c409/6790b0ea/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oUGdPfVwBhTziYHCmXiA4cIsaAnEyWMo5SIvEA/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1144&bt=572&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=OWdlZDc0ZDpnaDU8O2c0OkBpM292ZnM5cm1qdTMzZjczM0BgY2FiNTMuNjQxYTAtNF4vYSNfbC1tMmRjMV9gLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b0000', 'https://v16m.tiktokcdn-eu.com/e735c933ff3fa4727ee3e527ce476faa/6790b0ea/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oUGdPfVwBhTziYHCmXiA4cIsaAnEyWMo5SIvEA/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=1144&bt=572&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=OWdlZDc0ZDpnaDU8O2c0OkBpM292ZnM5cm1qdTMzZjczM0BgY2FiNTMuNjQxYTAtNF4vYSNfbC1tMmRjMV9gLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=27a17d0839d24e7d971a6184eadbfdc6&is_play_url=1&item_id=7410394673866427681&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmM4MjRkMzUyZjE3YzhkMDhkOGRkMDdiOTkzMWQ2OGNm&source=CHALLENGE_AWEME&video_id=v0f044gc0000crbg4jfog65ppc0solb0']",732,96601,99
7444267852728651030,2024-12-03,6820721617673683974,"December in Lapland. Not the winderwonderland as in the reels and videos, no snow, just green fields and water puddles. 🌧️🧐 #ClimateChange #UnusualDecember #LaplandVibes #GreenDecember #WinterWhere? #lapland #Finland #winter #2024 ","['https://v77.tiktokcdn-eu.com/ab32439570e2cae74eaaa7aa38c5c16f/6790b0ef/video/tos/no1a/tos-no1a-ve-0068-no/oMPJA8rOMLEOX2eIBeQtrxgHnDIRgAxAi2jeRA/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3582&bt=1791&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=OztkN2VmO2dmODxpaTxnZ0BpM3R4M3Y5cjtvdzMzbzczNUAwNTQzLS5iNTIxYGMuYy0xYSNsbGJeMmQ0aDRgLS1kMTFzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b8000', 'https://v16m.tiktokcdn-eu.com/45462474c7c59c78284320e810f48b1b/6790b0ef/video/tos/no1a/tos-no1a-ve-0068-no/oMPJA8rOMLEOX2eIBeQtrxgHnDIRgAxAi2jeRA/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3582&bt=1791&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=OztkN2VmO2dmODxpaTxnZ0BpM3R4M3Y5cjtvdzMzbzczNUAwNTQzLS5iNTIxYGMuYy0xYSNsbGJeMmQ0aDRgLS1kMTFzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b8000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=4d0df91fffc9455c8de81c0b647a8838&is_play_url=1&item_id=7444267852728651030&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLjU2ZWY2OWY4YWMzYjcwM2I5OTAyNThkMDMxNzM1OTlh&source=CHALLENGE_AWEME&video_id=v24044gl0000ct7lk87og65sa0euoqo0']",8298,888447,377
7424170277614931233,2024-10-10,6669748356095787014,thought that was common knowledge but i guess not🤷‍♀️ #climateclock #climatechange #fyp ,"['https://v77.tiktokcdn-eu.com/31cb9fbc4600838e6a72663d3ef2dcec/6790b0e6/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oQvGSHIEeBfumH85RgaX8AAIGeAiLNQCEE2ceE/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3042&bt=1521&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=NGc0Zzs5ZWU3NDM3ZzY2NUBpajVydm45cmx5djMzZjczM0AzLTBfLmAxNjAxMl8vXzEuYSNrNTBrMmRzMzBgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b0000', 'https://v16m.tiktokcdn-eu.com/cfecbf8fcb75f703567211c724a55773/6790b0e6/video/tos/useast2a/tos-useast2a-ve-0068c001-euttp/oQvGSHIEeBfumH85RgaX8AAIGeAiLNQCEE2ceE/?a=1233&bti=NXYpNDs8QGo6OjZAOm00NTAuYCMxNDNg&ch=0&cr=13&dr=0&er=0&lr=all&net=0&cd=0%7C0%7C0%7C&cv=1&br=3042&bt=1521&cs=0&ds=6&ft=XsFbEqT0mgdPD12DqWyJ3wU0umtSjeF~O5&mime_type=video_mp4&qs=0&rc=NGc0Zzs5ZWU3NDM3ZzY2NUBpajVydm45cmx5djMzZjczM0AzLTBfLmAxNjAxMl8vXzEuYSNrNTBrMmRzMzBgLS1kMWNzcw%3D%3D&vvpl=1&l=2025012108482827719815AC3EC00B4715&btag=e000b0000', 'https://api16-normal-c-useast2a.tiktokv.com/aweme/v1/play/?faid=1233&file_id=1243b32db45041349b4bc618bd310d61&is_play_url=1&item_id=7424170277614931233&line=0&signaturev3=dmlkZW9faWQ7ZmlsZV9pZDtpdGVtX2lkLmY2NTg2YTI2YjdiYmNiYmI4NjUxYzI3ZDgxNmJkOGVl&source=CHALLENGE_AWEME&video_id=v0f044gc0000cs3v6ivog65kns3o82ng']",280,227182,722
