aweme_id,cid,create_time,text,reply_comment_total
7287680374136786219,7287703486640603934,2023-10-08,"As a parent, I would advice against roblox without supervision and opt for Minecraft instead",374
7272820833368739114,7272833117151904554,2023-08-29,I spoke to a guy who said they can’t know if there was climate change because humans weren’t around to take the temperature long ago 😖 clueless,132
7277317545454177582,7277406077766058794,2023-09-11,I love the fact that we are making our selves aware but tell me what we do…,130
7287680374136786219,7287682816212599595,2023-10-08,Minecraft and Pokemon are definitely the ways to go...debatable tbh but still,97
7287680374136786219,7287687865239536427,2023-10-08,my kid will be playing strictly red dead redemption 2,94
7280983016686554410,7281005275815887658,2023-09-20,I feel like Buttigieg is ultimately a Bill-Clinton-esque neolib and maybe a war hawk but he's an excellent communicator who says a lot of right stuff.,93
7278314820888169734,7278464659950617350,2023-09-14,No se parece en nada a Londres xd,84
7286673402717424903,7307329001723527982,2023-11-30,Can nobody tell that this is AI😭,82
7275786860796955937,7276057046725067553,2023-09-07,is America OK? 😳,80
7278314820888169734,7278702067316409093,2023-09-14,Londres no tiene barro en sus aceras xd ni empozamiento como en Villa María y VES,75
7287680374136786219,7287751735782769439,2023-10-09,fortnite was sounding like the hunger games 😂,75
7272820833368739114,7272841104004530987,2023-08-29,he was very close to the realization,63
7277894454084685089,7278041846730457889,2023-09-12,Netherlands climate org has much more support than in UK They are streets ahead of us as usual,60
7275786860796955937,7275896485867635502,2023-09-07,How are these people in charge??,58
7272820833368739114,7272846889035399978,2023-08-29,Do they not hear themselves?,56
7287680374136786219,7287802270866981675,2023-10-09,"“Yo, it’s the gasoline from Fortnite! Let’s get that one!!” - what Shell wants kids to say to their parents",51
7277894454084685089,7278243630786642734,2023-09-13,they have used septic water,50
7277894454084685089,7277960443946107680,2023-09-12,The Dutch are so greedy ‘dutch’ they rent this bloody thing from the Germans 🤢,47
7277317545454177582,7277808265378693931,2023-09-12,You sound like Brenda off scary movie lol but yo message is on point,47
7287680374136786219,7287691976730755883,2023-10-08,I work at a Shell for horrible pay and no benefits and now I know why little kids keep pointing to a new sign we have and getting excited,46
7275412673473514798,7275423413313258286,2023-09-05,My IQ just dropped for even allowing my brain to attempt trying process this.,46
7278314820888169734,7278515976651932421,2023-09-14,Londres??? No! Lima es única e inigualable- lima la gris,43
7275412673473514798,7275463524990763822,2023-09-05,How do her colleagues not burst into laughter?? Why do they remain silent and let this level of ignorance go on?,43
7280983016686554410,7281012748213027627,2023-09-20,Doug Lamalfa has a degree in Agricultural Business. You’d think he’d be concerned about environmental change,40
7277317545454177582,7278153440747307818,2023-09-13,"can you please make a video saying ""Cindy, your tvs leaking""",39
7283138470149672224,7283563485060383521,2023-09-27,"bro the UK contributes less than 1%, what are we gonna do?",38
7275786860796955937,7275797681955308330,2023-09-06,Crying in biology major,38
7278314820888169734,7278446497225917190,2023-09-13,Comparar Londres con Lima. 😂😂😂😂,38
7272820833368739114,7278342158696088325,2023-09-13,They have record temps where I live high one year low the next. What’s the point here??,36
7277317545454177582,7277401294058603306,2023-09-11,The thing is we hear everything! But what are we going to do about it as a whole 🤨,34
7275412673473514798,7275426859612455722,2023-09-05,Better to remain silent and be thought a fool than to speak and to remove all doubt,34
7283138470149672224,7283148151371825953,2023-09-26,"Europe produces barely any of the world's carbon, so pushing the deadline back isn't gonna affect jack shit",34
7287680374136786219,7287682077655368494,2023-10-08,That description of Fortnite made me wanna play it for the first time ever,32
7275412673473514798,7275703228632073003,2023-09-06,Shouldn't there be at least a simple test to get in the Congress?,31
7287680374136786219,7287681129246589742,2023-10-08,no Minecraft? lol,31
7285526435232714030,7286135322206995246,2023-10-04,I'd rather have zombies ngl,30
7284316139633577259,7284470227952272174,2023-09-30,Id vote for you to be president.,30
7275786860796955937,7275877070685111048,2023-09-07,HOW is she still in power 🤦🏼‍♀️,29
7271410119622020395,7271415047029490478,2023-08-26,No idea what we’re going to do because both parties are off their nuts right now,26
7281621191889014048,7282004165860901665,2023-09-23,Are you Yes Yet Scotland? 🤷🏼,25
7287680374136786219,7287938565861311262,2023-10-09,How did you not mention Minecraft? I think more kids are playing that now then Fortnite.,24
7282816128613649696,7283847250522014469,2023-09-28,"WHAAATTT😓😓😓😭😭😭, MY BIGGEST FEAR. LORD PLEASE PROTECT US AND HEAL THE WORLD😭😭😭😭",23
7282816128613649696,7284284702138827521,2023-09-29,I'M TOO YOUNG TO DIEEEE 😭😭😭,23
7288021537909787937,7288263565591724806,2023-10-10,😃😃😃 Quel est le titre du film ?,23
7275412673473514798,7275425322643260191,2023-09-05,"And think, millions of people are like, ""Yeah! I love her! She always says what needs to be said.""",23
7275083944171719979,7275385124342366981,2023-09-05,is no one gonna talk about the PUBLIC FLESHLIGHT?,23
7279350028651613442,7279653661923246849,2023-09-17,testo chiso ma chiso nai khane chai ko hola 😆,22
7277894454084685089,7277941765482103585,2023-09-12,Come on uk learn something here,22
7275412673473514798,7275434027447681822,2023-09-05,I know for a fact I did not have an adult gummie yet today. Why do I feel like I did???😂,21
7272820833368739114,7272825991692960554,2023-08-29,Pops brain melted,21
7272820833368739114,7276335699430654763,2023-09-08,Now they’re saying it will be one of the most brutal winters. And that colder weather weather is forming on the opposite poles. Dk what to believe,21
7287680374136786219,7287681804316214059,2023-10-08,"the ""Sneako fans"" dig was so accurate lmao. love your content",21
7287680374136786219,7287681587340673834,2023-10-08,Honestly just avoid the online only games stick to story mode single player driven games like Mario/Zelda,20
7285526435232714030,7286708910013793067,2023-10-06,Also it is one of the signs showing no coming back from climate change the next one is the water levels rising rate change,20
7280983016686554410,7281012776125547307,2023-09-20,"If adapting to the needs of people and planet will bankrupt a business, the business model is a failure.",20
7282816128613649696,7282854710888350496,2023-09-25,I’ll just fly,19
7278314820888169734,7278469543751516933,2023-09-14,en villa María parece diluvio nomás diré,19
7271410119622020395,7271418728902656814,2023-08-26,He said agenda not climate change.,18
7277894454084685089,7301431453719741189,2023-11-14,Y si mejor les echan gasolina?!,18
7276894831199145249,7295666571572495136,2023-10-30,Es nicht zu tun Kostet mehr!,17
7287680374136786219,7287683211501470510,2023-10-08,"Yeah, you forgot Minecraft.",17
7272820833368739114,7272848928973603626,2023-08-29,Did he say he had heat stroke earlier in the day? maybe heat exhaustion…,16
7275083944171719979,7275092101279957803,2023-09-04,this is literally just as funny as that damn submersible,15
7273854909378759969,7274238706927698721,2023-09-02,"we need wood after all, but not like that.",15
7280983016686554410,7281010006996255534,2023-09-20,It’s mainly costly when your whole economy is based on burning fossil fuels and you don’t invest in renewables,15
7278314820888169734,7278512895477089030,2023-09-14,"La gente que dice que no se parece en nada a londres, son tan eruditos de poca que no entiende el sacarmo😁. Es por el climan",14
7280983016686554410,7280990005358347039,2023-09-20,That last line ! 👌,14
7277894454084685089,7280922374743622433,2023-09-20,genuine question...is this legal in UK?,13
7272820833368739114,7272902865692476206,2023-08-30,"Literally, in the face of facts!😂😂🤣",13
7275412673473514798,7275467037349675822,2023-09-05,that made my brain feel itchy...,13
7285526435232714030,7285573694127325998,2023-10-03,last of us part three here we come,13
7280983016686554410,7280990073828426542,2023-09-20,Funny since I'm pretty sure we're in Summer still. At least the Autumnal Equinox isn't for another few days.,13
7287680374136786219,7292094868297155371,2023-10-20,I did not have “flowers blooming in Antarctica” on my bingo card,13
7287680374136786219,7287698088282964782,2023-10-08,*Not an add for Shell V powered Nitro plus premium gasoline,13
7288021537909787937,7288191162232767238,2023-10-10,"France genlè pa okouran non
Mw mande yo dim c pa vre....hum antouka",12
7281621191889014048,7281705002144826145,2023-09-22,The idea that a Tory Government can tell the truth… gone!,11
7287680374136786219,7287684413574628139,2023-10-08,This sounds like a sponsor video,11
7287680374136786219,7293772248660853522,2023-10-25,"the fact that 91 is premium in the USA is crazy to me, that's our lowest quality in Australia. 98 octane is our premium",11
7284316139633577259,7285453945521947423,2023-10-02,"soil is important and not many people pay attention. as a soil science student, it's crazy to see how much they push pesticides, need crop rotation",10
7276434003060854062,7279004269675594539,2023-09-15,"Thank you, my brother. I hail from a farm and ranch operation in Texas run by my family. Corporate farming is destroying our country.",10
7273854909378759969,7278597923859743493,2023-09-14,البشر اسوه كان حي,10
7282816128613649696,7283141929989112581,2023-09-26,Its not gonna melt any time soon its a dign of an ice age in a few hundred years,10
7283138470149672224,7283220982415377185,2023-09-26,Climate change isn’t real,10
7287680374136786219,7287682542864663326,2023-10-08,hear me out companies were banned from advertising in ads but not putting ads in games kids play ironically,10
7277317545454177582,7278337687652582190,2023-09-13,There’s nothing we can do tho like frfr,9
7286673402717424903,7298916740490232618,2023-11-08,"am I the only one that thought of ""finding Dory"" 😭",9
7276434003060854062,7279212070842106670,2023-09-16,"When a video starts with, “Let me tell you abt the pork YOU eat” rather than “Let me tell you about the pork WE eat” 😳",9
7275083944171719979,7275149585876943658,2023-09-05,I saw on the news that they're being advised not to walk barefoot because something something poisonous.,9
7277894454084685089,7277905628965536518,2023-09-12,Oh no 🥺,9
7283876381547695393,7419680662393520902,2024-09-28,But making electric cars damages nature more than a gasoline car.,8
7273122381269617925,7274461765831475973,2023-09-03,kuya flat ba talaga ang earth?,8
7277317545454177582,7277371542203826987,2023-09-11,It’s a war against good & evil,8
7287680374136786219,7287681979377599274,2023-10-08,Hwat Happened to Good Ole Minecraft,8
7275786860796955937,7275788364695356206,2023-09-06,Flawless logic,8
7273854909378759969,7274387374979728133,2023-09-03,500 anos em algumas horas,8
7283876381547695393,7368623030944039726,2024-05-13,GRETTA YOU ARE BRAVE & AN INSPIRATION 🙌🏼,8
7273854909378759969,7274474501428593413,2023-09-03,"e triste, infelizmente os humanos não liga pra isso eles só liga pra dinheiro e fama um dia irei mudar isso.",8
7276894831199145249,7277988446253630240,2023-09-12,the answer is nearly zero,8
7287257421683150113,7287588826473071393,2023-10-08,I think you need to check your oil 😂,8
7280478920753958145,7280683463875281665,2023-09-19,Western Sydney infrastructure is a disgrace. High Council rates are a joke too. I don’t understand why Councils never plant enough trees. Needs change,7
7273122381269617925,7273126920266089222,2023-08-30,Possible po ba ang mutation ng mga marine life dahil sa pagtatapon ng Japan ng nuclear waste sa dagat?,7
7280983016686554410,7280985429905474335,2023-09-20,What a sleazy piece of crap! He looks like a caveman,7
7280983016686554410,7281066851764257579,2023-09-21,been in landscaping for 15yrs it's the hottest it's ever been I remember in Florida it would start to get cool this time of year now we have hurricane,7
7273854909378759969,7274258348604916481,2023-09-02,я плачу,7
7278835906868514090,7279015004472427306,2023-09-15,hi friend! Is there a way to download the letter so I can attach it to the email??? It’s not letting me and idk if that’s just me or others:3,7
7278835906868514090,7278933722996966187,2023-09-15,"just sent all 12 emails, thank you for informing us on this 💙💙",7
7283876381547695393,7445148828585706270,2024-12-06,the fact most the comments are hating on a literal child who's speaking out against issues she should never had to worry about in the first place is insane,7
7278314820888169734,7278494619964556037,2023-09-14,Lima la gris ✨✨amo los días lluviosos y sin sol👏👏,6
7272820833368739114,7272822074250347297,2023-08-29,Almost got it😂,6
7284316139633577259,7285576768235733806,2023-10-03,Do one on the ocean too please. Commercial fishing and aquatic farming has led to a massive reduction of plankton which produces most of the oxygen.,6
7272820833368739114,7272892971040998150,2023-08-29,"What I don't get about the money argument is fossil fuel companies. Like, you think they aren't motivated by money?",6
7288021537909787937,7288250824140210949,2023-10-10,ça commencé !!!! tout les profesie seront réalisés car c'est Dieu qui parle et il fait ce qu'il dit que ça volonté soit faite,6
7276434003060854062,7276573784214143787,2023-09-08,"For profit
we are being poisoned",6
7271410119622020395,7271526675295798048,2023-08-26,time to make revolution is not time to explain,6
7275412673473514798,7275518371831481130,2023-09-06,"Other than the topic, this reminds me of listening to my kids describing their day when I picked them up from elementary school.",6
7288021537909787937,7288231434313548549,2023-10-10,il y a combien de france et Espagne ?,5
7282816128613649696,7283791781740380960,2023-09-28,And that’s like 1million years away,5
7271410119622020395,7271411333836636971,2023-08-25,It’s anti-intellectualism,5
7281621191889014048,7282398776840258337,2023-09-24,he needs to go!!!!,5
7287680374136786219,7287683649101579054,2023-10-08,I love your wife at the end! ‘Or we can buy skinsssss’ 🤣🤣🤣,5
7286289576493108523,7289159528087356192,2023-10-12,155 days in a row? in Ireland we call that summer.,5
7287680374136786219,7306397932822676230,2023-11-28,Paid partnership - Shell 💀,5
7277317545454177582,7277374266948436766,2023-09-11,I get it and understand… but what can we do?,5
7287257421683150113,7287450348889228065,2023-10-08,Und wir haben eine klimasteuer 😂😂😂😂,5
7277317545454177582,7277371896248369963,2023-09-11,Girlll that was some scurry ishhh....,4
7276894831199145249,7295621287560364833,2023-10-30,Deze vraag heeft Nederland niet gesteld,4
7286289576493108523,7287295687807779616,2023-10-07,casting spells? did i hear correctly?,4
7286289576493108523,7286455331793863430,2023-10-05,How can this be?? There weren’t even cars emissions damaging the atmosphere!!!,4
7273854909378759969,7273855843148808992,2023-09-01,Why did they cut it down?,4
7276434003060854062,7283130781664772907,2023-09-26,"it eat pure seafood, clams, crabs, shrimp, lobster, scallops,fish, you name it, I eat it, from the OCEAN, and I catch most of it.😳",4
7283876381547695393,7357407756683543328,2024-04-13,Bro is nobody gonna talk a bout the search💀💀💀💀,4
7275412673473514798,7275415674848690990,2023-09-05,"At this point, it just hurts…🤦🏼‍♀️",4
7277317545454177582,7277321114249249578,2023-09-10,I’ve been woke for a while now,4
7275412673473514798,7276287076981818155,2023-09-08,Can they at least require they watch Schoolhouse Rock as a minimum before running for office?,4
7275412673473514798,7275414847725208363,2023-09-05,Where is the damn disclaimer for this roller coaster ride?!!!,4
7282816128613649696,7283865922510717714,2023-09-28,Avatar way of water,4
7276894831199145249,7281060950199092001,2023-09-21,La pregunta correcta sería cuánto subirá la temperatura si no se hace.,4
7286289576493108523,7286293773582795550,2023-10-05,Sounds like now,4
7288021537909787937,7288209266988417798,2023-10-10,Moun yo knn fe video bien😂😂epi fom kite haïti ui èvèjan an,4
7271410119622020395,7272269629740024618,2023-08-28,He did say the agenda is a hoax not the theory,4
