aweme_id,cid,create_time,text,reply_comment_total
7147826662787517742,7147921668768924459,2022-09-27,Where all my Florida people at,601
7153080462712245546,7154142281814688558,2022-10-13,UPDATE: Rogue was found today and he has passed. Love you so much my sweet big guy. 💔,246
7150324972521573675,7150379589852939054,2022-10-03,Who builds a house in sand???? Basically on the beach??,173
7151582807192587566,7151629317943116586,2022-10-07,I would have had those cars sent well inland before the storm arrived. Even up a few floors inside a multilevel parking garage.,161
7147826662787517742,7147915798211035947,2022-09-27,I'm mad I still got school,116
7152915395798945070,7152956602879640366,2022-10-10,This lady needs the Tik Tok community to rally around her. Let’s get her more. One billion people on here.,89
7148581794428816683,7148651871919473454,2022-09-29,I kind of want to experience something like this but I also dont want any property damage,78
7151122593108741422,7151154913725956910,2022-10-05,When he made it about himself I would have lost it,77
7152915395798945070,7152915876008903467,2022-10-10,YOU ARE TELLING ME THEY DONT GIVE HER BENEFITS. WHAT THE HECK,76
7151122593108741422,7151164552604713774,2022-10-05,Why is he here???,59
7153080462712245546,7153191752538637099,2022-10-11,start looking in auctions near and in Florida. I shared your post and a lot of ppl told me that there's sellers taking missing horses to auctions,40
7151582807192587566,7151697934302872362,2022-10-07,Welp my homeowners insurance in north florida is going up next year 👍🏻,40
7151582807192587566,7151641881722569518,2022-10-07,That garage has more room than my house.,40
7147826662787517742,7148003611036992299,2022-09-27,Getting ready for school now🥲,39
7149273125157424389,7149273250979463941,2022-09-30,"to everyone displaced and left with this mess, I am so so sorry.",34
7153080462712245546,7153222265534104363,2022-10-11,No air tag? Try next time prayers u find him. Beautiful animal,34
7156403451516210478,7156441560215896874,2022-10-20,Umm not for millions of dollars these people need a reality check. Theonly people interested are investors &they won’t spend that money guaranteed,33
7150792535764520238,7150874645254931246,2022-10-05,"For all you naysayers against DeSantis, I hope you start being grateful. id like too see you do his job..hes overwhelmed but he WILL get this done",33
7151582807192587566,7151708105433105198,2022-10-07,😂😂😂😂 just ignored the warning did ya,32
7155134235852950826,7155533061857461035,2022-10-17,NOOO CRABTREE IS SUCH A GOOD MALL WHT,31
