aweme_id,cid,create_time,text,reply_comment_total
7424419750303878408,7424772903915258631,2024-10-12,"1. milton - due to heating up of earth.
2. sahara desert flooding - it flooded fifty years ago
3. star of jacob - its sirius star.
4. second moon-just an asteroid
5. black circle- ITS MOSQUITOES",1633
7422814373627940139,7422835309627097887,2024-10-07,if you can make it to SC my home is open to you and yours. please let me know. I have enough room. and kids who would love to make new friends.,693
7426167450623954207,7426193868028527403,2024-10-16,"Question, why is it the American government always runs out of money to help Americans but somehow always finds it to send overseas to other countries I don’t understand it please explain",426
7423940143821770026,7424410768140124961,2024-10-11,Trump gave about 25 millions to home owners who Lost their home in Helene,388
7423123307991502123,7423173584540123946,2024-10-07,"How are they gonna help us??? They don’t have money or resources, their own words concerning NC, “We don’t have funds to help out” 🤷‍♀️🤷‍♀️",371
7423123307991502123,7423138329191826207,2024-10-07,"What is going on in this beautiful country, I never remember being like this, we always had political parties and voting but it has never been this much hatred.",359
7423123307991502123,7423132730547012382,2024-10-07,"they already said they were broke (before giving lebanon 157B) so if they & fema are broke, what assistance is there to offer us. playing politics",347
7423123307991502123,7423146366648714030,2024-10-07,"If he doesn't want federal assistance for his people, then he must have his own way of supporting them 🤷‍♀️I'm sure he has a plan 👀.... 👀",316
7423806833598467370,7423865399920067358,2024-10-09,"I’m gonna say it, I hope its owners get smacked with all the force of Milton and…",316
7427123707467812139,7427131600032760606,2024-10-18,I can’t and will never understand leaving your pet behind 🥺,290
7424419750303878408,7424508244519879442,2024-10-11,The day of judgement is Soo close,283
7422329569190874398,7422342760393016110,2024-10-05,Scientists worried or manipulating the weather?!?,280
7424419750303878408,7424795498634576673,2024-10-12,God forgive me for my sins and let me trust and fear you Amen! 🙏,279
7422814373627940139,7422847092429800235,2024-10-07,"Girl, just get in your car and go. Even just sleeping in your car to stay alive is worth it. La Quintas and Dury Inns except dogs. Drive north, however long, to be safe.",275
7426167450623954207,7426182014212621086,2024-10-16,"But Lebanon, Ukraine and every other foreign country can get money directly from the president but Americans can’t",261
7426167450623954207,7426190190987182891,2024-10-16,Why the hell are we getting loans but every other country getting free money.,239
7422814373627940139,7423146350701101855,2024-10-07,"Huge family here, 7 kids, 2 adults and 2 dogs! We were in the same situation and we bought two 10 person tents for less than $150 and drove until we were in a 100% safe zone and camped. The kids loved it.",230
7426167450623954207,7426176072197276458,2024-10-16,Congress needs to go!!! This is absolutely abhorrent!!! what kind of country is this?,223
7425319802358582561,7426439723691918086,2024-10-16,"I will wait for the day when you'll all be begging for a cease fire, and the great Israel 🇮🇱 will destroy you all ! enjoy your propaganda moments, your end is approaching!",203
7422814373627940139,7423099847279379243,2024-10-07,"I lived in Florida. get your family in the car and drive north! I did that every year. u drive until you cnt drive anymore. I HATED to hear people say "" where am I going""?! out of harms way!",198
7422329569190874398,7422421089949254431,2024-10-05,And another thing is that FEMA has no funds,185
7422329569190874398,7422344941118735134,2024-10-05,cloud seeding,168
7423392429912378667,7423581028388061998,2024-10-09,I’m here in Tampa fl. 6 dogs and a disabled mom. May god be with us 😭♥️🙏,166
7423123307991502123,7423215662342128415,2024-10-08,"You guys do understand he doesn’t require a personal conversation with either one of them to get the help right? An emergency has already been declared, so the help is there",165
7423123307991502123,7423138191735751455,2024-10-07,"I'm sure that he might be a bit busy and will likely grab the call when he can, that reporter seems like grabbing at more political straws during a crisis 🤬",161
7423806833598467370,7423852687470641966,2024-10-09,"NO ANIMAL LEFT BEHIND. if you find the owner, tie them to a pole.",146
7423123307991502123,7423356235518968606,2024-10-08,If he’s spoken with Biden why would he need to speak with Harris? I thought the VP has no power so she can’t be attached to any policies?,119
7427912759372745989,7428143791758279456,2024-10-21,chat should I watch Evangelion,116
7423806833598467370,7423960215999152901,2024-10-10,My blood is boiling. How can anyone do this to this angel baby 😭,113
7422329569190874398,7422335744737641246,2024-10-05,Is it not strange that this is developing in the gulf and immediately heading east?,107
7422814373627940139,7422865559069164319,2024-10-07,The number of people in these comments willing to offer shelter and money and resources to help this family is restoring my faith in humanity today Thank you to you all. Be safe mama!,107
7423123307991502123,7423459693564281643,2024-10-08,"I know no matter what my political party, I would be angry at the Governor for this. I know I would choose someone else for office next time.",105
